iteration,total_cost,jerk_cost,time_cost,position_cost
0,1.5095641811620086e+19,1.0924392396264372e+18,1.3283307058450108e+19,7.19895513543541e+17
1,8.101234240470931e+18,3.219522424252824e+18,4.855114110666445e+18,2.6597705551662724e+16
2,1.511413866678423e+17,7.254036777622051e+16,7.512832247614806e+16,3472696415473727.5
3,1.0637296658493166e+17,3.166247410798353e+16,7.29182725810932e+16,1792219895854925.2
4,1.0284956599271757e+17,3.6307218270238904e+16,6.518380741508955e+16,1358540307389112.8
5,9.951906393208912e+16,3.751044881760599e+16,6.108372531481572e+16,924889799667403.2
6,9.49830418600302e+16,3.9133705151874504e+16,5.527334248202507e+16,575994226130616.5
7,9.393918416920997e+16,4.0313444318505016e+16,5.276273654282831e+16,863003307876638.9
8,9.22890318247364e+16,4.0639318133850024e+16,5.063832832526451e+16,1011385365621867.4
9,9.089598264841486e+16,3.658945188475784e+16,5.286801876974384e+16,1438511993913188.5
10,8.917161596017656e+16,3.2166102508911424e+16,5.533857277882855e+16,1666940672436593.0
11,7.640438843804275e+16,1.7946238310359072e+16,5.6986476138898264e+16,1471673988785400.5
12,4.563619062190034e+16,8691004424813829.0,3.624021958098563e+16,704966616100871.1
13,2.3583257934170716e+16,5056772673667298.0,1.8141881742077364e+16,384603518426053.06
14,9669899861074386.0,6049209332089123.0,3507973427604012.0,112717101381249.83
15,2291644198174925.5,1437859610337539.8,831439333731504.6,22345254105880.977
16,19532961723204.523,6223211078490.879,13279680163785.334,30070480928.312378
17,997203033628.2148,352167674147.1945,629230299182.5612,15805060298.459267
18,17522402830.80582,2282714501.4992867,14004120221.45188,1235568107.8546534
19,506694101.38834965,65670847.606078975,378347542.9628158,62675710.81945487
20,529523.0441760622,227842.33591113077,292054.57126890885,9626.136996022558
21,1762.52352950896,526.3405864657076,1181.0520366432693,55.13090639998328
22,8.14043031332007,3.370915322394722,4.604514395273883,0.1650005956514652
23,3.1246826701493258,0.4251919643911255,2.697263348955909,0.002227356802291097
24,3.123782462210943,0.4192332208148708,2.7022390123309634,0.0023102290651089694
25,3.1237818355961164,0.41976588808187754,2.7017075190584636,0.002308428455775446
