iteration,total_cost,jerk_cost,time_cost,position_cost
0,2.427412186174364e+19,1.091730739136774e+19,1.328480152774114e+19,7.201294263476384e+16
1,1.647079017904242e+19,1.2471846149436708e+18,1.5100814030804429e+19,1.2279153329432085e+17
2,8.678854143083517e+18,4.0306427750962135e+18,4.609638047325619e+18,3.857332066168469e+16
3,8.523849729046291e+18,3.1287357334281477e+18,5.350331704131743e+18,4.4782291486401944e+16
4,7.055217407840532e+18,2.5134096763909294e+18,4.502659512394843e+18,3.9148219054760424e+16
5,4.598289057584507e+18,1.3115925499198659e+18,3.2558010186278456e+18,3.0895489036795604e+16
6,1.219020209374638e+18,3.357002003882122e+17,8.719234377887843e+17,1.1396571197641638e+16
7,5.79486084835148e+17,3.390744600961226e+17,2.3699407110358854e+17,3417553635436899.0
8,5.2758290709622195e+17,2.7132239215603338e+17,2.5220677804322902e+17,4053736896959537.0
9,5.038309361234919e+17,2.596246152440305e+17,2.4029727662243776e+17,3909044257023664.0
10,4.685872380724032e+17,2.642475529988792e+17,2.0107798555918422e+17,3261699514339758.0
11,4.5149300153937235e+17,2.947576427620958e+17,1.5441306874413837e+17,2322290033138184.0
12,4.5149300153937216e+17,2.947576427620964e+17,1.5441306874413763e+17,2322290033138171.5
13,4.514930015393721e+17,2.947576427620973e+17,1.544130687441367e+17,2322290033138141.5
14,4.508813726578755e+17,2.9492655954752806e+17,1.536785052738353e+17,2276307836512180.5
15,4.504705425012348e+17,2.955090285020916e+17,1.5276119501834698e+17,2200318980796295.8
16,4.504702832957618e+17,2.955292619939295e+17,1.5274266070138285e+17,2198360600449496.5
