iteration,total_cost,jerk_cost,time_cost,position_cost
0,4.853196699115344e+19,2.145051930971998e+19,2.569478894579692e+19,1.3866587356365343e+18
1,3.2257831656064307e+19,1.249215025559205e+19,1.86958721605231e+19,1.0698092399491579e+18
2,9.361994794736413e+18,7.953772484841969e+18,1.4021113218789292e+18,6110988015515375.0
3,3.964709628674311e+18,2.9580991910818196e+18,9.64840510719536e+17,4.176992687295554e+16
4,5.915001253855995e+17,5.1429150816296506e+17,7.508485647554902e+16,2123760747085427.8
5,1.1363535792074726e+17,9.416938604203405e+16,1.8992938126240896e+16,473033752472321.1
6,1.0494712113240238e+17,7.036971369347469e+16,3.3656279087748776e+16,921128351178928.5
7,1.0052525935826093e+17,7.136376154593614e+16,2.8430278804013124e+16,731219008311662.0
8,9.977967135121541e+16,7.301322178692883e+16,2.6172750834066548e+16,593698730220027.5
9,9.948684141959293e+16,7.38027888036589e+16,2.51776913848251e+16,506361231108926.2
10,9.766422992722005e+16,7.0421955869983576e+16,2.6748057443543908e+16,494216613692562.9
11,9.02908428911815e+16,6.153211800270816e+16,2.8110336001229492e+16,648388887243859.8
12,8.185379048184402e+16,5.1256419323160264e+16,2.9673149844752376e+16,924221313931378.4
13,6.2163246588608936e+16,3.970630154050607e+16,2.1516060473092876e+16,940884575009995.0
14,4.639221879224562e+16,2.7303457404768892e+16,1.814164441982768e+16,947116967649039.8
15,2.932799874446803e+16,1.5511822381257632e+16,1.312372495861806e+16,692451404592339.0
16,7255688062975966.0,1992626606530448.8,5017632086275737.0,245429370169779.78
17,266402476290811.06,24693753130621.65,232409144454803.16,9299578705386.254
18,15361094463054.334,9059798013179.203,6092335097933.755,208961351941.3761
19,498879019116.35077,484009980928.9233,14603537837.466673,265500349.9608317
20,9232967246.94582,5335408192.915731,3733821613.856837,163737440.17325187
21,306798530.430809,186760302.15428978,119700338.65293644,337889.62358278845
22,14848355.667908287,10129358.403517319,4618998.375022581,99998.88936838682
23,105256.77290831006,80926.88416214011,23200.55368868546,1129.3350574844858
24,332.85822863957435,41.92552218828082,284.26929951737975,6.663406933913764
25,5.17238806773962,0.8343819293654546,4.310149759387825,0.027856378986341076
26,4.707143453672469,0.8972601180435966,3.7538514403634657,0.05603189526540697
27,4.7065284040497986,0.9194021505779758,3.7341019245251603,0.05302432894666264
28,4.706527354346889,0.918687704446701,3.734725326950809,0.053114322949379025
