iteration,total_cost,jerk_cost,time_cost,position_cost
0,2.4922780718007955e+19,1.09184653500707e+19,1.328424589632692e+19,7.200694716103354e+17
1,1.7562567892041894e+19,1.3635396729249477e+18,1.5006138818669031e+19,1.1928894004479142e+18
2,1.5098444386486217e+19,1.7674479005779287e+18,1.2125033910609904e+19,1.2059625752983844e+18
3,1.0826142681311035e+19,1.0639027827054679e+18,8.867057679822885e+18,8.95182218782684e+17
4,4.75513829367697e+18,2.7723759530252688e+17,4.066478156518261e+18,4.114225418561817e+17
5,2.968658511185463e+17,2.1579654007492205e+17,7.992037486190797e+16,1148936181716268.2
6,1.728719154677694e+17,1.2131841924695382e+17,4.552432675672758e+16,6029169464088005.0
7,1.6465826279327674e+17,1.0800589809690675e+17,4.946117076952835e+16,7191193926841624.0
8,1.6190593160057206e+17,1.0509278696649693e+17,4.988485573149639e+16,6928288902578753.0
9,1.5888821117960656e+17,1.0174706081881013e+17,5.0922722776506024e+16,6218427584290390.0
10,1.5837088429135283e+17,1.0011480931548981e+17,5.200888294998557e+16,6247192025877455.0
11,1.5748926621111264e+17,9.955276173615003e+16,5.154717816760751e+16,6389326307355118.0
12,1.5587138476384403e+17,9.867020102932182e+16,5.06621846433367e+16,6538999091185510.0
13,1.546206026340283e+17,1.006883508749192e+17,4.752053165387783e+16,6411720105231268.0
14,1.533614037590452e+17,1.010279500754141e+17,4.603893028276676e+16,6294523400864323.0
15,1.4727210532486915e+17,1.0300579357337006e+17,3.98887884676231e+16,4377523283875972.5
16,1.451237846316978e+17,9.877038951570992e+16,4.15469210428881e+16,4806474073099792.0
17,1.4284228877094965e+17,9.274347738032984e+16,4.458460164223439e+16,5514209748385421.0
18,1.4131954221297645e+17,8.785603990397069e+16,4.7068613815898584e+16,6394888493107162.0
19,1.3831886778065757e+17,7.767304662525973e+16,5.2165354781149816e+16,8480466374248031.0
20,1.3470464050423392e+17,8.14145267100117e+16,4.62222108186217e+16,7067902975600524.0
21,1.2848348194388771e+17,8.183482493937667e+16,4.103284065027636e+16,5615816354234689.0
22,1.1884187960043048e+17,7.963080148280174e+16,3.5374670700431364e+16,3836407417197375.0
23,1.0648532667448368e+17,7.357485593693651e+16,3.088569664820111e+16,2024774089346049.8
24,9.034160041134211e+16,6.201613157368257e+16,2.715780534678938e+16,1167663490870165.2
25,6.559308295380397e+16,4.561700503465607e+16,1.9064610631514852e+16,911467287633042.1
26,4.897339331900292e+16,1.0874755321598724e+16,3.3413447238810696e+16,4685190758593495.0
27,2.433127165434144e+16,8928535897207046.0,1.326063804046869e+16,2142097716665705.8
28,8185468054190189.0,4784858257227971.0,2930028299628585.0,470581497333633.44
29,1068717080041943.0,704875532537817.1,361102879157912.56,2738668346213.2314
30,12366825415252.625,5122668390462.601,7144841561427.729,99315463362.29654
31,3072806511.4869323,1871534347.8437474,1029525005.8630481,171747157.7801365
32,26357564.39631633,7221915.07763043,18202132.487707578,933516.8309783231
33,261284.18200692692,164272.1715268668,92615.77922984965,4396.231250210488
34,852.5001853753034,522.8636527618382,327.04720041272924,2.5893322007359125
35,9.177579274062783,3.01574233322006,5.859674620687474,0.3021623201552492
36,4.709198031976005,0.8991976076257062,3.7596215802360873,0.05037884411421196
37,4.7065279983048605,0.9178222162997666,3.735466711829496,0.05323907017559837
38,4.7065273677349175,0.9186826521793194,3.7347280326496253,0.05311668290597311
