iteration,total_cost,jerk_cost,time_cost,position_cost
0,2.492268234688664e+19,1.0918275164895859e+19,1.3284328401983904e+19,7.200787800068812e+17
1,2.0463408011250713e+19,5.50877763295118e+18,1.4060052170834014e+19,8.945782074655158e+17
2,1.909435420985551e+19,2.3095167019955707e+18,1.5635660875707382e+19,1.149176632152556e+18
3,8.252049227988692e+18,9.856972098549316e+17,6.763591157654468e+18,5.027608604792928e+17
4,6.174475531359231e+17,3.0209850790956634e+17,2.8202032889511197e+17,3.3328716331244824e+16
5,1.046037493081223e+17,7.290769059611304e+16,2.7835231372196856e+16,3860827339812414.5
6,6983882477632154.0,4392577169738802.0,2339405920656690.5,251899387236662.03
7,6455031787391364.0,4240529133846403.0,1957806499306888.0,256696154238072.75
8,6435081147293272.0,4257857799809042.0,1919294987936804.8,257928359547424.97
9,6404916090703206.0,4257802976806551.0,1885510285092882.2,261602828803772.88
10,6361862674371898.0,4261917210465902.0,1838156682814610.2,261788781091386.22
11,6275909835853053.0,4218865027238049.5,1796564652561238.2,260480156053765.06
12,3537080443302610.5,2993179194433520.0,470300512889058.0,73600735980032.52
13,1620868202763368.0,1407837489851526.0,194647227988018.1,18383484923823.91
14,504195219090900.2,365193999506772.2,131646086547572.06,7355133036555.928
15,16247565628368.75,5823860003013.278,10139226984957.586,284478640397.8863
16,475110358788.0872,164293066312.4434,297252803604.20795,13564488871.435837
17,1809796490.695559,1172391377.0478477,577268586.66833,60136526.979381256
18,8823587.97088555,5436490.942990375,2973368.260470006,413728.7674251706
19,17917.976670449774,14742.44613502446,2973.4860774076183,202.04445801769648
20,29.751262093288673,23.52099548866374,6.18506049984937,0.04520610477556118
21,4.721967381697939,0.827223807982909,3.8376898598504394,0.05705371386459151
22,4.706639541993994,0.913416587773396,3.739710783566358,0.05351217065423996
23,4.706527411006532,0.9187637031662648,3.7346419436044416,0.053121764235826055
24,4.706527380489918,0.9186697749090125,3.734739285117498,0.05311832046340838
25,4.706527378949511,0.9186656098687258,3.734743418356052,0.05311835072473307
26,4.706527378928955,0.9186655775448636,3.734743448688046,0.05311835269604541
