iteration,total_cost,jerk_cost,time_cost,position_cost
0,9.620022452496823e+19,1.0923142082351616e+19,1.3283513015751549e+19,7.199356942686506e+19
1,5.48239085506896e+19,4.556094343785004e+19,5.997353356387123e+18,3.2656117564524396e+18
2,3.7231956689173135e+19,8.22017769114926e+17,7.389753230977824e+18,2.902018568908039e+19
3,7.56472952364851e+18,6.707763321555534e+17,1.262305540284795e+18,5.631647651208161e+18
4,5.1576633532477786e+17,2.6177129698928682e+17,1.7661541024057686e+17,7.737962809491419e+16
5,4.55290662124481e+17,2.6665805395213216e+17,1.0557623582379086e+17,8.3056372348558e+16
6,4.2244996982086874e+17,2.6720038706070403e+17,1.2590591590883397e+17,2.9343666851330764e+16
7,4.221044075088554e+17,2.654338392659664e+17,1.1847793542377494e+17,3.819263281911413e+16
8,4.2164015982208595e+17,2.6510283627554093e+17,1.1885868811352851e+17,3.7678635433016536e+16
9,4.2098994053134554e+17,2.650913873400265e+17,1.1911001714083464e+17,3.678853605048444e+16
10,4.206533020502377e+17,2.6529010558284704e+17,1.1747364477504166e+17,3.788955169234901e+16
11,4.201125175233708e+17,2.6533541944169728e+17,1.1471779212732598e+17,4.005930595434757e+16
12,4.1978863103520723e+17,2.6575423049733843e+17,1.1041015886145776e+17,4.3624241676411064e+16
13,4.195804075648109e+17,2.659216700514565e+17,1.1075618840349507e+17,4.290254910985936e+16
14,4.193269546255936e+17,2.6577967443553494e+17,1.1323910466643603e+17,4.0308175523622664e+16
15,4.165977561610348e+17,2.6672373643700208e+17,1.152227463692486e+17,3.4651273354784144e+16
16,4.1542243162195283e+17,2.674433118772113e+17,1.1176432917701445e+17,3.621479056772713e+16
17,4.137867053255629e+17,2.7396632343131155e+17,9.931716359323584e+16,4.05032183010155e+16
18,4.134948278300589e+17,2.7836753905688246e+17,9.410670280924853e+16,4.1020585963927896e+16
19,4.1292232349992486e+17,2.7817956288526384e+17,9.449056854596675e+16,4.025219206869428e+16
20,4.089486881898385e+17,2.737433274385922e+17,1.0167288103425742e+17,3.353247971698895e+16
21,4.075127679013667e+17,2.697044756293851e+17,1.0769657721739046e+17,3.011171505459119e+16
22,4.0446934122473e+17,2.619133706651016e+17,1.11026473277781e+17,3.152949728184741e+16
23,4.039026815633648e+17,2.5069093030571434e+17,1.1574989103368595e+17,3.74618602239645e+16
24,4.030800304206782e+17,2.520213066283454e+17,1.1335631053331242e+17,3.770241325902033e+16
25,4.02066797060001e+17,2.5345517157944733e+17,1.0943951502303e+17,3.91721104575237e+16
26,4.016079669779679e+17,2.5615035527934822e+17,1.0699933359670334e+17,3.845827810191632e+16
27,4.014718168598719e+17,2.5598615670575514e+17,1.0700406939909762e+17,3.848159075501913e+16
28,4.01234711153099e+17,2.560117875397356e+17,1.070533252677951e+17,3.816959834556823e+16
29,4.0119512689940454e+17,2.570396600189258e+17,1.0686215413837184e+17,3.729331274210687e+16
30,4.0111483576604006e+17,2.5780184503132573e+17,1.0718374515604102e+17,3.612924557867327e+16
31,4.0107101810727885e+17,2.569878387926034e+17,1.0828958975230747e+17,3.5793589562368012e+16
32,4.010528771568803e+17,2.567460732788096e+17,1.084049824706292e+17,3.5901821407441556e+16
33,4.010444902925708e+17,2.567382166386115e+17,1.0850013365096291e+17,3.5806140002996424e+16
34,4.010313510552926e+17,2.5674555550936816e+17,1.0853446795343677e+17,3.5751327592487668e+16
35,3.986198167349502e+17,2.5459452883625075e+17,1.0552340769570976e+17,3.8501880202989704e+16
36,3.976767166435924e+17,2.5369770639617427e+17,1.0456056648169275e+17,3.941844376572536e+16
37,3.9764820818323085e+17,2.537141065767362e+17,1.0480350423899093e+17,3.913059736750374e+16
38,3.97601783661168e+17,2.5371491327917658e+17,1.0505867055337966e+17,3.8828199828611784e+16
39,3.975151576582029e+17,2.5367461965888138e+17,1.0542920850441259e+17,3.841132949490893e+16
40,3.974111786863612e+17,2.5365174585985213e+17,1.0627190662223029e+17,3.748752620427882e+16
41,3.9740378849322816e+17,2.536666608840392e+17,1.067853179938786e+17,3.695180961531033e+16
42,3.974002797737206e+17,2.536661286197057e+17,1.0674519828574717e+17,3.698895286826773e+16
43,3.973990106444491e+17,2.536610837858796e+17,1.0660244972058758e+17,3.713547713798187e+16
44,3.97396103461114e+17,2.536673133630389e+17,1.0678846845961592e+17,3.694032163845914e+16
45,3.9739563560529914e+17,2.5366864895865635e+17,1.0683076927426571e+17,3.6896217372377096e+16
46,3.973943122372379e+17,2.5368892328970838e+17,1.0701591450814672e+17,3.668947443938277e+16
47,3.973943091543859e+17,2.5368937951434832e+17,1.0701968588850413e+17,3.668524375153345e+16
48,3.973919704353251e+17,2.536975159722411e+17,1.0692562286434278e+17,3.676883159874123e+16
49,3.973884369427327e+17,2.537193668194571e+17,1.0671372216311867e+17,3.695534796015696e+16
50,3.9738757839636986e+17,2.5373550066803533e+17,1.0657387260159978e+17,3.707820512673476e+16
