iteration,total_cost,jerk_cost,time_cost,position_cost
0,6.0202492718002135e+19,1.092463907476593e+19,1.328330739182458e+19,3.5994546251411624e+19
1,2.933573727481897e+19,3.0732624838308347e+18,4.5161305784634865e+18,2.1746344212524646e+19
2,3.572296288457147e+17,3.0300478248178074e+17,4.759561489071164e+16,6629231473222309.0
3,2.6479804447204445e+17,1.7852799427191213e+17,7.328742308269989e+16,1.2982627117432404e+16
4,2.6282030645844224e+17,1.648808343255532e+17,8.484868813014779e+16,1.3090784002741258e+16
5,2.5992456255370384e+17,1.65180479490447e+17,8.05967322228721e+16,1.4147350840384738e+16
6,2.5516775665425056e+17,1.6579986959183414e+17,7.312493527916458e+16,1.6242951783251856e+16
7,2.5386008818630026e+17,1.7195782796046163e+17,6.207531531345157e+16,1.9826944912387036e+16
8,2.514564745693023e+17,1.6658890839579136e+17,6.32606800751797e+16,2.1606886098331228e+16
9,2.4932603360349974e+17,1.5890126745348538e+17,6.4081213930199336e+16,2.634355221981505e+16
10,2.4699046712345142e+17,1.5602161399821526e+17,6.712348496648269e+16,2.384536815875348e+16
11,2.382966453988376e+17,1.4407693587356829e+17,7.839657435175043e+16,1.5823135173518868e+16
12,2.359803849341033e+17,1.405890673971708e+17,8.111925927727032e+16,1.4272058259662188e+16
13,2.319841888166636e+17,1.3919201952845757e+17,7.783555842002907e+16,1.4956610868176954e+16
14,2.248749948928008e+17,1.3642568435139086e+17,7.223043289079187e+16,1.6218877650618084e+16
15,2.1666114902855754e+17,1.3752606800187677e+17,6.107177395207117e+16,1.806330707460961e+16
16,2.1513616524168195e+17,1.3911533749923184e+17,5.688425619194044e+16,1.9136571550509664e+16
17,2.1448878060653667e+17,1.417721470204038e+17,5.22974752719233e+16,2.041915831420957e+16
18,2.1323974903027424e+17,1.4002166742367651e+17,5.3783527553351976e+16,1.9434554053245776e+16
19,2.0934770354087206e+17,1.3465638562665022e+17,5.921466682345607e+16,1.5476651090765754e+16
20,2.0046993085957018e+17,1.3230698394158891e+17,5.143297152463938e+16,1.6729975393341888e+16
21,1.8105377821808704e+17,1.2934243427185554e+17,3.381701325749691e+16,1.7894330688734596e+16
22,1.673359555705275e+17,1.2781746503243163e+17,2.045503752033621e+16,1.906345301775964e+16
23,1.1140301907277046e+17,7.123613270359124e+16,2.3932597208306524e+16,1.62342891608727e+16
24,3.6641596479040344e+16,2.0409606988927036e+16,1.05655225331602e+16,5666466956953109.0
25,2.16990717354854e+16,1.597829720398331e+16,3495723387300367.5,2225051144201724.2
26,4838353946517341.0,3045215382050068.0,843088216832702.4,950050347634570.5
27,98448404929721.5,9315994888746.441,29624370138076.062,59508039902899.0
28,21427913314933.047,2247404307186.65,7474953556076.482,11705555451669.912
29,247291219220.45813,133769858875.0889,66707784077.37104,46813576267.998215
30,29464953545.974815,14932093503.521257,5860126922.365257,8672733120.088305
31,236984514.2368765,123121177.07156867,95461835.37854162,18401501.786766194
32,28838177.085522365,6157068.082870497,6212490.639597922,16468618.363053946
33,2329267.6793498807,331856.40080091904,607800.5204592556,1389610.7580897058
34,10675.129420097233,4354.286316144818,4160.06781125461,2160.7752926978073
35,144.2532081676533,16.224170750669117,39.97787905513088,88.0511583618533
36,8.618251542033347,2.666633770556929,3.260469737994971,2.6911480334814466
37,6.759471738607132,2.4398121546894465,3.527710923503294,0.7919486604143912
38,5.736696623292216,1.7665707538995938,3.429212284647111,0.5409135847455113
39,5.636103429442498,1.7844010890432462,3.2703187558524465,0.5813835845468054
40,5.633612871410382,1.8243023728415637,3.2633902399140724,0.545920258654746
41,5.633566413272876,1.816818237394841,3.266134615619703,0.5506135602583325
42,5.633566390041576,1.8168978298311744,3.266063393811824,0.5506051663985777
43,5.633566389226903,1.8169722526556091,3.265995911691389,0.5505982248799062
