iteration,total_cost,jerk_cost,time_cost,position_cost
0,1.4447748388533358e+20,1.0920691721280987e+19,1.328368066867617e+20,7.199854772908841e+17
1,1.4882230591422275e+18,2.914494986050747e+17,1.1949641419416023e+18,1809418595550501.5
2,1.0135264616350493e+18,1.046255469396901e+17,9.078573431057888e+17,1043571589570370.9
3,4.057936551232192e+17,1.0844278714515683e+17,2.961988570092281e+17,1152010968834312.8
4,3.049843186408261e+17,1.1565242295458101e+17,1.8671207343420224e+17,2619822252042852.5
5,2.9873983794725594e+17,1.2638961909413941e+17,1.7021169689958038e+17,2138521953536148.0
6,2.9701475535078714e+17,1.276546726923278e+17,1.674395881728334e+17,1920494485625901.5
7,2.9510629361881536e+17,1.2792050671568093e+17,1.6543126207757363e+17,1754524825560810.2
8,2.9295416224774874e+17,1.2822925713560746e+17,1.630063894521929e+17,1718515659948441.5
9,2.6801168622581805e+17,1.0459342573957533e+17,1.6149847153116022e+17,1919788955082486.8
10,2.1998378347124854e+17,6.392462393720327e+16,1.539178749525525e+17,2141284581492775.8
11,1.583203517567613e+17,2.594069354234195e+16,1.3035932001066802e+17,2020338203751326.5
12,1.0076502824572067e+17,1.0497224947801368e+16,8.888810895544694e+16,1379694342472352.8
13,4.783503728732223e+16,6119656636547414.0,4.109916046826831e+16,616220182506504.4
14,1.7606872726559006e+16,1.144921538611491e+16,6154641805678740.0,3015534765356.402
15,1575857937186320.5,1023557809484755.2,550916200876405.9,1383926825159.5544
16,18868157617992.97,2042827356805.78,16573799258935.06,251531002252.12924
17,309572875565.554,34232419407.971573,270766972862.2115,4573483295.3709755
18,2008436032.6718223,868664471.4264107,1134830055.6675491,4941505.577862557
19,95586515.4914132,21174090.170134712,74354041.62326956,58383.69800893506
20,618966.5381482585,157472.43726985308,461263.6981978341,230.40268057129455
21,4019.329565863598,2476.4506974885694,1540.3513646007284,2.52750377430041
22,32.60361165694859,6.308285196990672,26.292849676823558,0.002476783134357385
23,31.219606854855364,4.160190753445901,27.057063550395736,0.002352551013727247
24,31.216971033371145,4.176452294231215,27.03818917574738,0.0023295633925499793
25,31.21694884236003,4.182444207163853,27.032179517607315,0.00232511758886449
