iteration,total_cost,jerk_cost,time_cost,position_cost
0,1.3399729646980752e+21,1.0925821416305132e+19,1.3283272798944958e+21,7.198633872744138e+17
1,1.2093403667221966e+21,4.615671963738719e+19,1.1629974094836875e+21,1.8623760112172675e+17
2,2.8203131597123604e+20,1.6954762931731128e+18,2.8026333018420858e+20,7.25094938543391e+16
3,2.7344714745243533e+19,2.987151106318969e+18,2.434041363891878e+19,1.7150000005783068e+16
4,4.4914128710017874e+18,6.27218980579056e+17,3.864135667683008e+18,58222739723518.29
5,3.173235044894216e+18,5.3572741586632205e+17,2.637009152851724e+18,498476176170668.4
6,2.524995283057703e+18,6.432575250980365e+17,1.8816892536317588e+18,48504327907497.62
7,2.3466206045179617e+18,6.148938593883858e+17,1.7317119261050345e+18,14819024541841.91
8,1.3329494190614866e+18,1.995455331192797e+17,1.1331624968709702e+18,241389071236574.97
9,8.325495410343832e+16,1.3715319827454056e+16,6.951894440098325e+16,20689875001006.504
10,5.034063043429757e+16,9199826604393410.0,4.110399876772842e+16,36805062175740.05
11,4534324684674683.0,835146326537055.2,3695866150524963.5,3312207612663.913
12,14922253614351.682,2700214187540.9985,12219975390272.828,2064036537.8550124
13,4774038942.453913,909646199.8291807,3861534108.271736,2858634.3529956085
14,51220.64228934058,966.348916406025,50224.61397099357,29.679401940996527
15,350.7433211878573,15.88800787079079,334.8068514098976,0.0484619071689526
16,253.93000267953911,13.036933662284033,240.88992720516535,0.003141812089724171
17,253.92862732454807,13.117761279338959,240.80776215028848,0.003103894920637082
18,253.92862056297167,13.11624688195651,240.80926868407522,0.003104996939948138
19,253.92862055767407,13.11624580798241,240.80926975331684,0.0031049963748247516
20,253.92862055767407,13.116245807982432,240.8092697533168,0.0031049963748246813
