iteration,total_cost,jerk_cost,time_cost,position_cost
0,6.758124145512379e+20,1.092173231488958e+19,6.641707328526826e+20,7.199493836657609e+17
1,5.4927611378203086e+20,7.708923092004818e+19,4.721483725131891e+20,3.8510348793636264e+16
2,4.306664145011146e+20,3.675486949608424e+19,3.9384849838779485e+20,6.304661723551003e+16
3,2.688186878100965e+20,1.4299163143126718e+19,2.544428024334593e+20,7.672223351048602e+16
4,1.4256530312412846e+20,1.2488741935703086e+18,1.4116318658110487e+20,1.5324234945328246e+17
5,7.978644880430095e+19,1.2452795944237388e+19,6.722445952538391e+19,1.091933346796441e+17
6,1.993036941346972e+19,7.123059116953418e+18,1.280682266142915e+19,487635087150636.56
7,1.1591043687818301e+19,4.875607799645388e+18,6.715287152700967e+18,148735471947052.88
8,7.349377118406005e+18,1.1011226065788984e+18,6.248038994248756e+18,215517578350372.22
9,5.91399676882029e+18,1.9360729314471217e+18,3.9775233879278705e+18,400449445296704.75
10,5.656848382611718e+18,1.7675219193128092e+18,3.8886446141330586e+18,681849165850915.1
11,5.474246431022036e+18,1.445717856663886e+18,4.026919671994709e+18,1608902363440792.0
12,5.464251844812465e+18,1.3972874786382303e+18,4.065362095400603e+18,1602270773632165.5
13,5.457527123510102e+18,1.387923150304644e+18,4.0680257163852646e+18,1578256820193118.0
14,5.457527123510101e+18,1.3879231503046374e+18,4.0680257163852703e+18,1578256820193145.0
15,5.457527123510099e+18,1.387923150304672e+18,4.0680257163852334e+18,1578256820193362.0
16,5.457170604909757e+18,1.3889943151956265e+18,4.0665897467926113e+18,1586542921519720.0
17,5.456599340595048e+18,1.391288957470751e+18,4.0637060400822057e+18,1604343042092272.2
18,5.456229799384065e+18,1.3955064024750664e+18,4.059086162415048e+18,1637234493951003.5
