iteration,total_cost,jerk_cost,time_cost,position_cost
0,1.2313132471530024e+20,1.0911721435308176e+20,1.3293279254029732e+19,7.208311081887421e+17
1,5.735206334212279e+19,2.814052770995005e+19,2.7131246843727598e+19,2.0802887884451407e+18
2,5.787853276791413e+18,3.958595028393531e+18,1.7593641006176369e+18,6.9894147780245416e+16
3,1.9383026738889395e+18,1.3643130964134252e+18,5.471333616183477e+17,2.685621585716672e+16
4,1.6695566820423104e+18,1.4148553832643812e+18,2.4188635548764618e+17,1.2814943290282932e+16
5,1.6516925799126894e+18,1.3992703116088553e+18,2.397055594705929e+17,1.2716708833241438e+16
6,1.6221266396330447e+18,1.3984539352763796e+18,2.123608732327001e+17,1.1311831123965038e+16
7,1.5848797489343752e+18,1.399012543431229e+18,1.7643430584783904e+17,9432899655307388.0
8,1.5719762480499482e+18,1.3535503856608945e+18,2.0737853893370448e+17,1.1047323455349286e+16
9,1.555415651577311e+18,1.316113178247114e+18,2.2725072756510944e+17,1.2051745765087544e+16
10,1.536880384135252e+18,1.289598021619885e+18,2.3485637237648742e+17,1.2425990138879544e+16
11,1.511155388653676e+18,1.2048389063927967e+18,2.911789026268039e+17,1.5137579634075362e+16
12,1.5060962333560228e+18,1.2413747407038024e+18,2.5152541033625126e+17,1.31960823159691e+16
13,1.4907555428492787e+18,1.1647611420960054e+18,3.099850848669472e+17,1.600931588632594e+16
14,1.4894068092136394e+18,1.1427449880148867e+18,3.297474591880267e+17,1.691436201072624e+16
15,1.441449374375193e+18,1.1346828799520869e+18,2.91667477783392e+17,1.5099016639714308e+16
16,1.3939811583401818e+18,1.1521551262140582e+18,2.2976209807471418e+17,1.2063934051409438e+16
17,1.3741022868476142e+18,1.1348919827484914e+18,2.272709784360715e+17,1.1939325663051324e+16
18,1.2755070751400515e+18,1.0895680257391054e+18,1.7659033998902038e+17,9348709411925864.0
19,1.2343530224941893e+18,1.1413824944701075e+18,8.899038902688234e+16,3980138997199263.0
20,1.1897215866310413e+18,1.1115269886807712e+18,7.520537395499408e+16,2989223995276024.0
21,1.1098774218583864e+18,1.0326401114550074e+18,7.412693655528467e+16,3110373848094415.5
22,9.693083633529574e+17,8.925602342443596e+17,7.333633180343555e+16,3411797305162356.5
23,8.108097110342143e+17,6.848606750120141e+17,1.1960668633862291e+17,6342349683577247.0
24,7.940193600115932e+17,6.630057231544694e+17,1.2445068369597086e+17,6562953161153068.0
25,7.114596250259114e+17,5.5898963971662266e+17,1.4512805332523907e+17,7341931984049681.0
26,5.7100806190541306e+17,4.2868468833207776e+17,1.3589615463169386e+17,6427218941641405.0
27,4.3756536681965414e+17,3.2351180865073946e+17,1.0963075965148317e+17,4422798517431539.0
28,3.5646738048453856e+17,2.745613858777689e+17,7.93955066297588e+16,2510487977010867.0
29,2.130286313838343e+17,1.6294467554523862e+17,4.854975975972865e+16,1534196078867042.5
30,2.4470508532368732e+16,1.7827842406903844e+16,6385662963608835.0,257003161856050.94
31,1730355326061257.0,1528532336364080.5,191782358832871.75,10040630864304.66
32,398117208676564.1,364841669870719.0,31769316040441.992,1506222765403.125
33,1906517672677.9985,1891244574538.6997,14863868120.462063,409230018.83657056
34,192962277861.2082,129532344531.07532,61409228439.58582,2020704890.5470731
35,23473279211.00068,9093811741.357718,13922441786.795437,457025682.8475273
36,485576383.76801944,217636828.28003085,259244507.33995062,8695048.14803799
37,5656393.431844202,4933671.560308067,699407.1605856181,23314.71095051683
38,10465.988864986428,9643.457260000398,755.5885087901971,66.94309619583399
39,10.684791888233468,4.200019627347704,6.048862446261499,0.4359098146242658
40,7.734497414562812,1.94178840414564,5.483982007528157,0.3087270028890149
41,7.7224192940366425,1.9424515340180797,5.475213102590553,0.3047546574280094
42,7.722400056804073,1.9434373671759757,5.474255314338168,0.30470737528992947
