iteration,total_cost,jerk_cost,time_cost,position_cost
0,1.2312892645225696e+20,1.0911334032504449e+20,1.329465555949456e+19,7.209305677179062e+17
1,6.728707219143475e+19,3.6839619687691694e+19,2.8313596860203094e+19,2.13385564353996e+18
2,2.4546218171297853e+19,2.298579737542593e+19,1.377671225362418e+18,1.8274957050950624e+17
3,2.4477982008829604e+19,2.3139345817257157e+19,1.1741928149106734e+18,1.644433766617755e+17
4,2.4029707223208047e+19,2.2782241684017725e+19,1.0916337994869082e+18,1.5583173970341325e+17
5,1.994246850575633e+19,1.9022191687778173e+19,7.957981602331634e+17,1.2447865774499398e+17
6,1.3930770531629242e+19,1.3400977947734778e+19,4.529614793075364e+17,7.683110458692872e+16
7,1.1956543825020375e+19,1.1427147752493453e+19,4.918263747350494e+17,3.75696977918729e+16
8,1.1717744068530936e+19,1.1234876234008924e+19,4.395059082126138e+17,4.336192630939876e+16
9,1.085863933165066e+19,1.0384507391542151e+19,4.114474653321966e+17,6.268447477631162e+16
10,9.771812805669904e+18,9.255908899153453e+18,4.429214869536623e+17,7.298241956278944e+16
11,6.249643562890999e+18,5.660635694545007e+18,5.08122619795124e+17,8.088524855086787e+16
12,5.602653703823799e+18,4.909831170074996e+18,5.943009672235642e+17,9.852156652523907e+16
13,4.820598435733932e+18,3.6803589805004636e+18,9.918336273961943e+17,1.48405827837274e+17
14,4.4132240891602514e+18,3.177117327260572e+18,1.078708874895728e+18,1.573978870039513e+17
15,4.4108859102225224e+18,3.1997115767210624e+18,1.056156154887319e+18,1.5501817861414106e+17
16,4.353702605649556e+18,3.247856538975565e+18,9.612580296618897e+17,1.4458803701210176e+17
17,4.3435936161717125e+18,3.2742118761191654e+18,9.285790214654322e+17,1.4080271858711475e+17
18,4.263570937829881e+18,3.167724477982115e+18,9.529385555299444e+17,1.4290790431782162e+17
19,3.871194152266648e+18,2.7745563607238815e+18,9.612395689099668e+17,1.3539822263279973e+17
20,3.805371298208995e+18,2.7481247433958953e+18,9.300828712301201e+17,1.2716368358297944e+17
21,3.7869476106527345e+18,2.747385890893017e+18,9.154375049236731e+17,1.2412421483604435e+17
22,3.7523091338367135e+18,2.72242262498177e+18,9.065552999840867e+17,1.2333120887085674e+17
23,3.448625142503097e+18,2.515297304170247e+18,8.185360328722085e+17,1.147918054606411e+17
24,3.0534696817952174e+18,2.3259891196886226e+18,6.322382098224474e+17,9.52423522841478e+16
25,3.01391711428725e+18,2.363515903075419e+18,5.631692164212902e+17,8.723199479054064e+16
26,3.0139171142872494e+18,2.3635159030753736e+18,5.631692164213307e+17,8.723199479054546e+16
27,3.0139171142872494e+18,2.3635159030753684e+18,5.6316921642133523e+17,8.7231994790546e+16
