iteration,total_cost,jerk_cost,time_cost,position_cost
0,1.1051343046567618e+21,1.0911142840482911e+21,1.329880106725117e+19,7.212195412195772e+17
1,9.593353871103493e+20,9.579974706744488e+20,1.3289385086837087e+18,8977927216761746.0
2,7.724635149369377e+20,7.650371814173248e+20,7.161300518868602e+18,2.6503300074421862e+17
3,4.637638374783138e+20,4.556762567511159e+20,7.822695799343466e+18,2.6488492785443443e+17
4,1.3831846229048363e+20,1.3307567214929984e+20,5.100460252696032e+18,1.423298884877561e+17
5,7.345584263248419e+18,6.663184780983824e+18,6.201282755936742e+17,6.2271206670919816e+16
6,3.892448448048041e+18,3.442268888752467e+18,4.0439256160106906e+17,4.578699769450474e+16
7,3.398272507491476e+18,3.0042039475275986e+18,3.523522366228382e+17,4.171632334103919e+16
8,3.2964350532197627e+18,3.0026374740609285e+18,2.6075673822124653e+17,3.3040840937587904e+16
9,3.2567033658164316e+18,2.9479793954811704e+18,2.74464419200125e+17,3.425955113513643e+16
10,3.112401429986028e+18,2.904829039779405e+18,1.8342859998442406e+17,2.4143790222199304e+16
11,3.08018093051264e+18,2.964057065777434e+18,1.0160992447678466e+17,1.4513940258421304e+16
12,3.0162307489998807e+18,2.8942252132342927e+18,1.06844592824375e+17,1.5160942941213148e+16
13,2.924361047631636e+18,2.7743372119057024e+18,1.318440485930845e+17,1.8179787132849216e+16
14,2.8028448183825587e+18,2.613681276429377e+18,1.6696371197251277e+17,2.2199829980669028e+16
15,2.713990105064545e+18,2.499588363049184e+18,1.897720378359916e+17,2.4629704179369156e+16
16,2.588848224678943e+18,2.3495182260528164e+18,2.124556795483094e+17,2.687431907781725e+16
17,2.4658916259110533e+18,2.226753416328911e+18,2.1250299845909018e+17,2.663521112305183e+16
18,2.1477343710157865e+18,1.9242182648754796e+18,1.9893014166155555e+17,2.458596447875136e+16
19,3.135018462299428e+17,3.098736561688607e+17,3569700668108498.5,58489392973624.2
20,6.660712777688299e+16,5.590283527049313e+16,9768440178119952.0,935852328269911.4
21,1.3317959075126808e+16,1.1056871236477846e+16,2067104527596952.8,193983311052009.7
22,394786200454721.2,391843705525170.06,2793801949012.2144,148692980538.94684
23,66554293141413.8,65801760648808.55,698804473584.3124,53728019020.93814
24,10145264760.24676,8404124168.979028,1572121151.2729542,169019439.99477765
25,14241032.310301263,13949008.068705294,277549.60178833565,14474.639807631924
26,25061.70960691243,24316.047876961922,734.9882290646635,10.673500885845856
27,104.51166143285097,77.04566526662173,24.512962086772365,2.9530340794568777
28,12.44444501946997,0.682732620051987,10.657228445161575,1.1044839542564084
29,12.232128630342839,1.3329032074844545,9.899504849663852,0.9997205731945323
30,12.231235279791186,1.3243235956862105,9.90617777360159,1.0007339105033848
31,12.231231707330622,1.3240551828813947,9.906416690331493,1.0007598341177335
