iteration,total_cost,jerk_cost,time_cost,position_cost
0,1.1051290580697944e+21,1.0911079358734151e+21,1.3299824300814438e+19,7.212978955647775e+17
1,8.074085662601555e+20,7.1137685598392e+20,9.309680082230485e+19,2.9349094539306726e+18
2,1.1751487733833428e+20,1.1476132595309768e+20,2.657143133384238e+18,9.640825185236104e+16
3,9.531441291550735e+19,8.232791130353559e+19,1.2549967948867314e+19,4.36533663104458e+17
4,5.057068739241603e+19,4.3292528564552245e+19,7.022003284387887e+18,2.5615554347589504e+17
5,1.5768217756745611e+19,1.527591258392592e+19,4.6847979415783405e+17,2.3825378661856544e+16
6,1.3799755490742174e+19,1.2736135010677856e+19,1.0173811415794118e+18,4.6239338484906504e+16
7,1.361460808556459e+19,1.237768109785292e+19,1.184364626095861e+18,5.256236161580885e+16
8,1.3317352396871305e+19,1.2055060184111507e+19,1.209024197601259e+18,5.326801515853786e+16
9,1.2753862488683983e+19,1.1609981229069185e+19,1.0953271340346546e+18,4.855412558014247e+16
10,1.1713509514924655e+19,1.0877087775907449e+19,8.000204234836038e+17,3.6401315533603256e+16
11,1.1042418323181089e+19,1.0397467624558363e+19,6.158665690176412e+17,2.9084129605084308e+16
12,1.0301821256791691e+19,1.0011179885979367e+19,2.7642913368860147e+17,1.421223712372351e+16
13,1.0248528154839765e+19,1.0065743246604366e+19,1.7367620382547603e+17,9108704409924206.0
14,1.0144584637119033e+19,9.958330403160685e+18,1.76971876292818e+17,9282357665530186.0
15,9.215665998463818e+18,9.005646125221542e+18,1.9960048652745584e+17,1.0419386714819768e+16
16,7.845740614569847e+18,7.530055243041619e+18,3.0076997619054016e+17,1.4915395337688294e+16
17,7.402150510138401e+18,6.826224640681409e+18,5.5110647672788064e+17,2.4819392729111908e+16
18,7.361319998042241e+18,6.847675748466888e+18,4.9108765240997664e+17,2.2556597165376464e+16
19,7.352062638085228e+18,6.865493036687397e+18,4.650264243495531e+17,2.154317704827783e+16
20,7.335896090874099e+18,6.845435773178119e+18,4.687818159709925e+17,2.167850172498707e+16
21,7.313134146980267e+18,6.799949275000585e+18,4.9069923681610797e+17,2.248563516357476e+16
22,7.301433760216201e+18,6.780198322371596e+18,4.9853574144604845e+17,2.2699696398556296e+16
23,7.289631405866229e+18,6.766741745533377e+18,5.000913467684206e+17,2.2798313564431012e+16
24,7.276356843668304e+18,6.769286646731652e+18,4.848295448495313e+17,2.2240652087121268e+16
25,7.262206255121275e+18,6.760771085029071e+18,4.793836236799504e+17,2.205154641225316e+16
26,7.240009821174105e+18,6.728995697601251e+18,4.8859532615323117e+17,2.2418797419622116e+16
27,7.118040275518248e+18,6.544191765294965e+18,5.490667332957536e+17,2.4781776927529904e+16
28,7.056868858503272e+18,6.446450018858819e+18,5.843511600262314e+17,2.606767961822244e+16
29,7.020080708241668e+18,6.381625064723967e+18,6.114465044421962e+17,2.7009139075504984e+16
30,6.983761025284355e+18,6.267675118095627e+18,6.86437278514271e+17,2.964862867445619e+16
31,6.98197452619462e+18,6.187650868385234e+18,7.620289029699508e+17,3.2294754839435544e+16
32,6.918408140370806e+18,6.160481224757118e+18,7.268420889362303e+17,3.108482667745795e+16
33,6.826014542416618e+18,6.098885309267269e+18,6.970690122801805e+17,3.00602208691688e+16
34,6.753203956688449e+18,6.08147331510785e+18,6.436201873527788e+17,2.8110454227819084e+16
35,6.702998088837932e+18,6.139679314370719e+18,5.3911370596247443e+17,2.420506850473893e+16
36,6.612032456092255e+18,6.048191415007033e+18,5.3968692198044e+17,2.4154119104782068e+16
37,6.449707177903158e+18,5.937075108334567e+18,4.905324320724169e+17,2.2099637496173228e+16
38,6.416698801685128e+18,5.996736191974399e+18,4.0159269579113434e+17,1.8369913919594028e+16
39,6.376629239546404e+18,5.962209036387992e+18,3.9621751411605766e+17,1.820268904235426e+16
40,6.320464702814192e+18,5.92160719868752e+18,3.811952516509514e+17,1.7662252475721166e+16
41,6.268394753237533e+18,5.868973642025503e+18,3.816637478852787e+17,1.7757363326750388e+16
42,6.209977018708497e+18,5.827945209875671e+18,3.649715737342511e+17,1.7060235098575124e+16
43,3.755243603015231e+18,3.56857495581012e+18,1.7807505346688826e+17,8593593738222773.0
44,4.573690148483114e+17,4.547221686324951e+17,2632779271989422.5,14066943826883.684
45,1.3862475314299362e+17,1.222583522217593e+17,1.5128530842527384e+16,1237870078706921.0
46,5.995904205573528e+16,5.105695307366373e+16,8176235821777486.0,725853160294060.4
47,564424402519073.0,535371839386161.75,25801414588797.55,3251148544113.625
48,22709838187326.355,22107142014658.965,525278627173.22437,77417545494.16931
49,111879159047.55356,100208632416.56277,11197323288.11189,473203342.8788947
50,1174083598.8328125,1166872061.9431877,6859431.39032609,352105.4992987966
51,3560181.6202484462,3486226.1623804006,71554.48031359434,2400.977554451369
52,505.73939456242766,454.8910164253372,49.444544791331786,1.4038333457586543
53,14.556324642718003,5.117916069128655,8.62213183589632,0.8162767376930277
54,12.238001757196937,1.391635203180694,9.853541696700427,0.9928248573158162
55,12.231286727797004,1.323203837370015,9.90722882912796,1.000854061299028
56,12.231232401455799,1.3240792960204493,9.906395575765474,1.0007575296698765
57,12.23123175123238,1.324000782307932,9.906464533584176,1.0007664353402734
