iteration,total_cost,jerk_cost,time_cost,position_cost
0,5.59575019413824e+20,5.455538988827421e+20,1.329982271975597e+19,7.212978113259713e+17
1,3.476210998064575e+20,3.0634703489012754e+20,3.849240543590164e+19,2.7816594804283213e+18
2,1.204134058055612e+20,1.0446029248259849e+20,1.4917485967258984e+19,1.0356273557037198e+18
3,1.589014367414433e+19,1.5266014823053367e+19,6.036755803811384e+17,2.0453270709822696e+16
4,7.265783979277696e+18,7.062648437093407e+18,1.9283378470147702e+17,1.0301757482812334e+16
5,6.182418290786839e+18,5.383017850761357e+18,7.645893377677368e+17,3.4811102257743396e+16
6,5.957068473815587e+18,5.302254923683618e+18,6.254585776946047e+17,2.9354972437365056e+16
7,5.693401301708281e+18,5.268607873689209e+18,4.0464402680792083e+17,2.0149401211151304e+16
8,5.691967303148229e+18,5.314096160874207e+18,3.597040713410621e+17,1.8167070932959164e+16
9,5.690216074051469e+18,5.31380162018622e+18,3.5831066940681683e+17,1.810378445843206e+16
10,5.621500965457723e+18,5.238763138955274e+18,3.643930227972328e+17,1.8344803705216108e+16
11,5.505388508406444e+18,5.087729570647963e+18,3.9790767920430246e+17,1.9751258554178344e+16
12,5.409585662222143e+18,4.94929592543511e+18,4.3899216254173114e+17,2.129757424530212e+16
13,5.389138305840892e+18,4.901090493016724e+18,4.656144091999373e+17,2.2433403624229932e+16
14,5.365771906709265e+18,4.827365318850528e+18,5.139588864751681e+17,2.4447701383569636e+16
15,5.354195608499878e+18,4.76797169167083e+18,5.598928409170979e+17,2.6331075911950132e+16
16,5.353661419147776e+18,4.807772532232541e+18,5.2112444934076096e+17,2.4764437574473216e+16
17,5.353661419147772e+18,4.807772532232545e+18,5.211244493407539e+17,2.4764437574472932e+16
18,5.353661419147735e+18,4.80777253223249e+18,5.211244493407708e+17,2.476443757447374e+16
19,5.353661419147662e+18,4.807772532232149e+18,5.2112444934103014e+17,2.4764437574483268e+16
20,5.353661419146931e+18,4.807772532228368e+18,5.211244493439725e+17,2.4764437574590868e+16
21,5.353661419006223e+18,4.807772531519791e+18,5.2112444989176845e+17,2.4764437594664116e+16
22,5.3532961493456e+18,4.805392326204214e+18,5.230682121106906e+17,2.4835611030694444e+16
23,5.353238499768723e+18,4.802420280025654e+18,5.2587984270284064e+17,2.493837704022849e+16
24,5.353195532306207e+18,4.803420434976156e+18,5.248734781644514e+17,2.4901619165599544e+16
25,5.353195171052832e+18,4.803494007250306e+18,5.248021509506876e+17,2.4899012851838412e+16
