iteration,total_cost,jerk_cost,time_cost,position_cost
0,5.5959653141879056e+20,5.4557029048761025e+20,1.330461608910125e+19,7.216248420790209e+17
1,3.9653392374943e+20,3.187673338323694e+20,7.552709666276077e+19,2.2394932542998262e+18
2,3.6249792644522476e+20,3.07337663081542e+20,5.3711508608718045e+19,1.4487547549647204e+18
3,3.038953982813536e+20,2.5781483156489093e+20,4.4865498775724925e+19,1.2150679407377508e+18
4,2.6674498034145267e+20,2.2765844665685918e+20,3.801752923577315e+19,1.0690044488203359e+18
5,2.1925297582584467e+20,2.0048883760231078e+20,1.8241585614167556e+19,5.2255260936631366e+17
6,2.171451891326308e+20,2.005973819252105e+20,1.6086688586710366e+19,4.611186207099494e+17
7,2.129046422472342e+20,1.9702528394442775e+20,1.5437101761081788e+19,4.422565417246288e+17
8,9.90618508441902e+19,9.895605004411635e+19,1.0440514121921494e+17,1395658854627952.8
9,3.682044942240702e+19,3.5703491932930957e+19,1.0061203545583205e+18,1.1083713491774275e+17
10,8.995063590136612e+18,8.248170153590307e+18,6.546322162720724e+17,9.2261220274232e+16
11,8.674788113669503e+18,7.695333034823405e+18,8.623539051183393e+17,1.1710117372775982e+17
