iteration,total_cost,jerk_cost,time_cost,position_cost
0,2.8799142344398754e+19,2.1062884042309243e+18,2.5324714607356666e+19,1.368139332811166e+18
1,2.8799142344398754e+19,2.1062884042309243e+18,2.5324714607356666e+19,1.368139332811166e+18
2,2.48722059457894e+19,1.8137244249717847e+18,2.1875622764651155e+19,1.1828587561664602e+18
3,1.649507112398894e+19,1.185842726191802e+18,1.4520706852650852e+19,7.885215451462858e+17
4,1.649507112398894e+19,1.185842726191802e+18,1.4520706852650852e+19,7.885215451462858e+17
5,5.722576389780716e+18,3.90018304023959e+17,5.053814303112661e+18,2.7874378264409578e+17
6,3.120296956516949e+17,1.2590740297517128e+16,2.8184268142672384e+17,1.7596273927453976e+16
7,3.120296956516949e+17,1.2590740297517128e+16,2.8184268142672384e+17,1.7596273927453976e+16
8,3.120296956516949e+17,1.2590740297517128e+16,2.8184268142672384e+17,1.7596273927453976e+16
9,3.120296956516949e+17,1.2590740297517128e+16,2.8184268142672384e+17,1.7596273927453976e+16
10,2.2418784000521565e+17,3.049854656269108e+16,1.9093553926897667e+17,2753754173547890.0
11,4.956211806505743e+16,1.0584105088330928e+16,3.860909812184693e+16,368914854879578.5
12,4.956211806505743e+16,1.0584105088330928e+16,3.860909812184693e+16,368914854879578.5
13,4.7906789192823416e+16,479294750202203.25,4.405052420223122e+16,3376970240390000.5
14,4.080325859005205e+16,9354190486699598.0,3.1177916763330296e+16,271151340022154.62
15,1.5317911742530554e+16,388290407337849.0,1.3643297168853934e+16,1286324166338769.2
16,1.1962305783366518e+16,4631535755434517.0,7298162620007548.0,32607407924454.4
17,1.0089460785013172e+16,686346738919242.5,8515300607687018.0,887813438406912.2
18,1.0089460785013172e+16,686346738919242.5,8515300607687018.0,887813438406912.2
19,5769701640751676.0,1235748534767559.5,4055798584194638.0,478154521789478.1
20,5769701640751676.0,1235748534767559.5,4055798584194638.0,478154521789478.1
21,5225894634174534.0,2719364433943841.0,2405023211887141.0,101506988343552.16
22,5225894634174534.0,2719364433943841.0,2405023211887141.0,101506988343552.16
23,4587943174780292.0,2300411143458084.0,2129777516720226.5,157754514601981.75
24,4587943174780292.0,2300411143458084.0,2129777516720226.5,157754514601981.75
25,4587943174780292.0,2300411143458084.0,2129777516720226.5,157754514601981.75
26,4559952946884227.0,2271632080636674.5,2125899944049860.5,162420922197692.16
27,4476557917707054.0,1845402617930205.0,2375751450209739.5,255403849567109.56
28,4448382107222752.5,1922351399554950.5,2289784689800353.5,236246017867448.34
29,4448382107222752.5,1922351399554950.5,2289784689800353.5,236246017867448.34
30,4443121121308335.0,2070273979638833.0,2171395307250305.5,201451834419196.53
31,4443121121308335.0,2070273979638833.0,2171395307250305.5,201451834419196.53
32,4440601734633218.0,1943855713212873.2,2266162466880335.0,230583554540010.25
33,4437556487325095.5,1973733935765278.0,2240216547336132.5,223606004223684.94
34,4437556487325095.5,1973733935765278.0,2240216547336132.5,223606004223684.94
35,4434465091066938.0,2008763617922340.5,2210567742172126.2,215133730972470.78
36,4434465091066938.0,2008763617922340.5,2210567742172126.2,215133730972470.78
37,4434465091066938.0,2008763617922340.5,2210567742172126.2,215133730972470.78
38,4434465091066938.0,2008763617922340.5,2210567742172126.2,215133730972470.78
39,4431374014057759.0,1999870738681035.2,2214773441462407.0,216729833914317.1
40,4430649590090142.5,2028921033465411.2,2191990904109556.2,209737652515175.12
41,4430649590090142.5,2028921033465411.2,2191990904109556.2,209737652515175.12
42,4426930203491440.5,2047374906081597.8,2174950513415177.5,204604783994665.62
43,4421728615247149.5,2003955711855525.8,2203482511502891.8,214290391888732.22
44,4421728615247149.5,2003955711855525.8,2203482511502891.8,214290391888732.22
45,4409355101107069.0,2047069808229748.0,2160460646810157.8,201824646067163.03
46,4398503936577404.5,2009939887695274.5,2179320233265822.0,209243815616307.9
47,4388805663797930.0,1954211923664259.2,2213926672583129.0,220667067550542.06
48,4347949674495281.5,2002716282174379.8,2142260410519850.2,202972981801051.7
49,4347949674495281.5,2002716282174379.8,2142260410519850.2,202972981801051.7
50,4296515904807798.0,1870001045563503.0,2201118544332191.8,225396314912103.06
51,4209263105496279.0,1894929303863059.0,2107380559690012.0,206953241943207.88
52,4209263105496279.0,1894929303863059.0,2107380559690012.0,206953241943207.88
53,4061291905581940.5,1681701231348245.8,2149300516957263.0,230290157276431.66
54,3873087535458848.0,1745882682848231.8,1937308912517557.8,189895940093058.3
55,3873087535458848.0,1745882682848231.8,1937308912517557.8,189895940093058.3
56,3482557426091486.5,1311841779450891.8,1950304723547492.5,220410923093102.4
57,3096287918485325.5,1329366264485167.0,1600689830969981.0,166231823030177.53
58,2677156517969226.0,1121800256396342.0,1406104992882148.8,149251268690735.25
59,1983840782171959.5,513110628431310.25,1314450169425037.2,156279984315611.9
60,1024692899366086.0,405264941354282.75,557838839529622.1,61589118482181.08
61,582270098978913.5,14475353259325.91,518955331383357.56,48839414336229.99
62,582270098978913.5,14475353259325.91,518955331383357.56,48839414336229.99
63,271147178176736.38,80398553069778.98,187047894309234.62,3700730797722.746
64,271147178176736.38,80398553069778.98,187047894309234.62,3700730797722.746
65,152604444616845.44,24299190773022.684,115094572400679.84,13210681443142.916
66,5317132926243.154,70273920188.84784,4886053889016.602,360805117037.7053
67,5317132926243.154,70273920188.84784,4886053889016.602,360805117037.7053
68,5317132926243.154,70273920188.84784,4886053889016.602,360805117037.7053
69,5317132926243.154,70273920188.84784,4886053889016.602,360805117037.7053
70,5317132926243.154,70273920188.84784,4886053889016.602,360805117037.7053
71,5317132926243.154,70273920188.84784,4886053889016.602,360805117037.7053
