iteration,total_cost,jerk_cost,time_cost,position_cost
0,2.4963491870981673e+19,2.1062881587316765e+19,2.5324711330221834e+18,1.368139150642724e+18
1,2.4963491870981673e+19,2.1062881587316765e+19,2.5324711330221834e+18,1.368139150642724e+18
2,2.1507662701738365e+19,1.8137242116346032e+19,2.1875619892485704e+18,1.182858596143764e+18
3,1.4099017720546292e+19,1.185842580725391e+19,1.4520704822751235e+18,7.885214310172588e+17
4,1.4099017720546292e+19,1.185842580725391e+19,1.4520704822751235e+18,7.885214310172588e+17
5,4.684307562311574e+18,3.9001824861647227e+18,5.0538134361639814e+17,2.7874373253045197e+17
6,1.7168787855649776e+17,1.2590735679008098e+17,2.818425580169108e+16,1.7596265964725682e+16
7,1.7168787855649776e+17,1.2590735679008098e+17,2.818425580169108e+16,1.7596265964725682e+16
8,1.7168787855649776e+17,1.2590735679008098e+17,2.818425580169108e+16,1.7596265964725682e+16
9,1.7168787855649776e+17,1.2590735679008098e+17,2.818425580169108e+16,1.7596265964725682e+16
10,1.7168787855649776e+17,1.2590735679008098e+17,2.818425580169108e+16,1.7596265964725682e+16
11,1.1007089686841043e+17,1.05841068810306e+17,3860912710364895.5,368915347739531.9
12,4.468284672225915e+16,4.399703376883976e+16,654263183293455.4,31549770125937.336
13,4.468284672225915e+16,4.399703376883976e+16,654263183293455.4,31549770125937.336
14,2.9193124612907184e+16,1.58000778393342e+16,7845727202588162.0,5547319570984825.0
15,2.4388346576632892e+16,2.403214581663727e+16,215634808277486.28,140565951718132.22
16,1.168125936215051e+16,4354486716390285.5,4138392182826396.0,3188380462933827.5
17,1.168125936215051e+16,4354486716390285.5,4138392182826396.0,3188380462933827.5
18,9005570107172676.0,2944252868316357.0,3369591344182445.0,2691725894673874.5
19,9005570107172676.0,2944252868316357.0,3369591344182445.0,2691725894673874.5
20,7178745914294270.0,4924243215231333.0,1138543953362782.5,1115958745700153.6
21,7126884766009728.0,2286033541776373.0,2643426020933066.0,2197425203300288.5
22,6708906864123195.0,4133650808100982.0,1319920089032666.8,1255335966989546.2
23,6708906864123195.0,4133650808100982.0,1319920089032666.8,1255335966989546.2
24,6339614071376324.0,3333559243021236.0,1566835235439395.0,1439219592915693.2
25,6339614071376324.0,3333559243021236.0,1566835235439395.0,1439219592915693.2
