iteration,total_cost,jerk_cost,time_cost,position_cost
0,4.652441821015822e+19,2.106288679279089e+19,2.532471746936736e+19,1.3681394799997302e+17
1,4.652441821015822e+19,2.106288679279089e+19,2.532471746936736e+19,1.3681394799997302e+17
2,4.013115765534461e+19,1.8137246592670302e+19,2.1875625174725054e+19,1.182858879492587e+17
3,2.645798917546412e+19,1.1858428720409225e+19,1.4520708293294141e+19,7.885216176075006e+16
4,2.645798917546412e+19,1.1858428720409225e+19,1.4520708293294141e+19,7.885216176075006e+16
5,8.981872394692239e+18,3.900183425628532e+18,5.053814589573105e+18,2.7874379490603292e+16
6,4.09509606555946e+17,1.2590738042941205e+17,2.818425992933356e+17,1759626833198360.0
7,4.09509606555946e+17,1.2590738042941205e+17,2.818425992933356e+17,1759626833198360.0
8,4.09509606555946e+17,1.2590738042941205e+17,2.818425992933356e+17,1759626833198360.0
9,4.09509606555946e+17,1.2590738042941205e+17,2.818425992933356e+17,1759626833198360.0
10,4.09509606555946e+17,1.2590738042941205e+17,2.818425992933356e+17,1759626833198360.0
11,1.4448714050578163e+17,1.058411019820912e+17,3.8609146961678696e+16,36891562011754.28
12,5.054284049280807e+16,4.3997048848803864e+16,6542636667001815.0,3154977002395.1636
13,5.054284049280807e+16,4.3997048848803864e+16,6542636667001815.0,3154977002395.1636
14,4.534980402365217e+16,4081157283424089.5,4.095043232107911e+16,318214419148968.25
15,3.7692979016862296e+16,2973918532660423.5,3.444281489207644e+16,276245592125429.72
16,3.2626508591100364e+16,2.9910550012215184e+16,2706894017331111.0,9064561554068.555
17,1.939832387486509e+16,1.6538067417566964e+16,2827394319370347.5,32862137927777.402
18,1.939832387486509e+16,1.6538067417566964e+16,2827394319370347.5,32862137927777.402
19,1.8833106667383336e+16,3977442689944918.0,1.4717550360045704e+16,138113617392710.16
20,1.858181482812058e+16,1.5227920864626572e+16,3314558525555985.0,39335437938022.586
21,1.6567080858412006e+16,5622205162454728.0,1.0836775495378486e+16,108100200578791.94
22,1.6319494537166392e+16,1.1315296326749562e+16,4947028653033479.0,57169557383351.84
23,1.6140717914189868e+16,6490971622714802.0,9551872608613896.0,97873682861170.25
24,1.6140717914189868e+16,6490971622714802.0,9551872608613896.0,97873682861170.25
25,1.5811506218373112e+16,7329630311313320.0,8393639544522807.0,88236362536983.28
26,1.5811506218373112e+16,7329630311313320.0,8393639544522807.0,88236362536983.28
27,1.5811506218373112e+16,7329630311313320.0,8393639544522807.0,88236362536983.28
28,1.58067237090841e+16,7533183093789612.0,8187010680587179.0,86529934707307.12
29,1.573556875140162e+16,8790018949821382.0,6870421565783093.0,75128235797144.97
30,1.573556875140162e+16,8790018949821382.0,6870421565783093.0,75128235797144.97
31,1.573556875140162e+16,8790018949821382.0,6870421565783093.0,75128235797144.97
32,1.5735001525599416e+16,8806720790481132.0,6853305939439154.0,74974795679130.12
33,1.5722998659643052e+16,8242933590633005.0,7400289121088891.0,79775947921155.22
34,1.5703285936632588e+16,8751703174304211.0,6876429212782799.0,75153549545578.22
35,1.5690448796807536e+16,8222005073287662.0,7388799769370257.0,79643954149615.11
36,1.5690448796807536e+16,8222005073287662.0,7388799769370257.0,79643954149615.11
37,1.5619684020527556e+16,8490091216528722.0,7052949842724974.0,76642961273859.48
38,1.5619684020527556e+16,8490091216528722.0,7052949842724974.0,76642961273859.48
39,1.5579898394322902e+16,8429384214825743.0,7073725512757287.0,76788666739872.92
40,1.5453529220886664e+16,8209508475456990.0,7166540576189680.0,77480169239994.38
41,1.5453529220886664e+16,8209508475456990.0,7166540576189680.0,77480169239994.38
42,1.529041610404609e+16,8684406989539530.0,6534277969235598.0,71731145270961.11
43,1.512601965204381e+16,9074095738131300.0,5985339609779173.0,66584304133337.31
44,1.4818358859591448e+16,7903155592676743.0,6841176322885173.0,74026944029533.0
45,1.4463227622371392e+16,9257495872706422.0,5147506536119472.0,58225213545498.164
46,1.379739686439058e+16,8828279470598177.0,4913543652623569.0,55573741168833.3
47,1.2727161759858422e+16,7824493114661307.0,4848397502158276.0,54271143038838.8
48,1.2727161759858422e+16,7824493114661307.0,4848397502158276.0,54271143038838.8
49,1.0632433768258904e+16,7575600770359367.0,3021660343925849.5,35172653973688.008
