iteration,total_cost,jerk_cost,time_cost,position_cost
0,4.775573527010387e+19,2.1062883081815704e+19,2.532471295297031e+19,1.3681392353178534e+18
1,4.775573527010387e+19,2.1062883081815704e+19,2.532471295297031e+19,1.3681392353178534e+18
2,4.119572332998051e+19,1.81372433934902e+19,2.187562126877291e+19,1.182858667717393e+18
3,2.716765376626163e+19,1.1858426615271033e+19,1.4520705675986866e+19,7.885214750037298e+17
4,2.716765376626163e+19,1.1858426615271033e+19,1.4520705675986866e+19,7.885214750037298e+17
5,9.232740109639807e+18,3.900182716865302e+18,5.053813649919176e+18,2.7874374285532982e+17
6,4.2534614792426054e+17,1.2590735129764123e+17,2.8184253246355568e+17,1.7596264163063624e+16
7,4.2534614792426054e+17,1.2590735129764123e+17,2.8184253246355568e+17,1.7596264163063624e+16
8,4.2534614792426054e+17,1.2590735129764123e+17,2.8184253246355568e+17,1.7596264163063624e+16
9,4.2534614792426054e+17,1.2590735129764123e+17,2.8184253246355568e+17,1.7596264163063624e+16
10,4.2534614792426054e+17,1.2590735129764123e+17,2.8184253246355568e+17,1.7596264163063624e+16
11,1.4481915230757235e+17,1.0584109007619117e+17,3.860914658003949e+16,368915651341688.1
12,9.312156559044829e+16,1.449430198107475e+16,7.342239204822669e+16,5204871561146851.0
13,8.140144943929621e+16,6.562265047325194e+16,1.5688382458430928e+16,90416507613340.36
14,8.140144943929621e+16,6.562265047325194e+16,1.5688382458430928e+16,90416507613340.36
15,3.342991691392803e+16,3.047870799927432e+16,2878453053180926.0,72755861472784.1
16,2.9743985838099388e+16,2253354107714563.5,2.5368018305015324e+16,2122613425369499.2
17,2.3511266257560196e+16,2704163757755699.5,1.9115131986825692e+16,1691970512978803.8
18,2.3511266257560196e+16,2704163757755699.5,1.9115131986825692e+16,1691970512978803.8
19,1.852156892943401e+16,1.5084100933752298e+16,3073821461630789.5,363646534050921.6
20,1.7912922444524056e+16,4515327726903776.0,1.2217694167683094e+16,1179900549937186.8
21,1.7882114538008716e+16,1.4070516674218592e+16,3406509887544362.0,405087976245762.5
22,1.7158070163368176e+16,5309218054431105.0,1.0779034867174802e+16,1069817241762267.6
23,1.6269467242890656e+16,1.0695454574846154e+16,4999505270965389.0,574507397079111.6
24,1.6186623121187902e+16,6664753689567333.0,8626365191042222.0,895504240578345.2
25,1.6175739701590216e+16,1.0342353123682288e+16,5235951067713977.0,597435510193952.2
26,1.6116129626149438e+16,7014215840493895.0,8238147594509419.0,863766191146124.2
27,1.593795934331538e+16,9225166641834104.0,6040337907105322.0,672454794375954.2
28,1.5934622819860638e+16,7672392132806942.0,7464236550923473.0,797994136130222.1
29,1.5928843970366396e+16,9084852781252012.0,6160551047913697.0,683440141200687.6
30,1.5928843970366396e+16,9084852781252012.0,6160551047913697.0,683440141200687.6
31,1.589344549485006e+16,8685796866122994.0,6494270842757009.0,713377785970055.9
32,1.589344549485006e+16,8685796866122994.0,6494270842757009.0,713377785970055.9
33,1.5884380079296468e+16,8308417677041104.0,6832695419325058.0,743266982930306.4
34,1.5871954297849654e+16,8360885716621019.0,6773139088505221.0,737929492723414.8
35,1.5871954297849654e+16,8360885716621019.0,6773139088505221.0,737929492723414.8
36,1.5866204343875878e+16,8107911298586786.0,7000576248277095.0,757716797011997.2
37,1.5866204343875878e+16,8107911298586786.0,7000576248277095.0,757716797011997.2
38,1.5837713237753152e+16,8378339682178534.0,6725905977592433.0,733467577982183.1
39,1.5837713237753152e+16,8378339682178534.0,6725905977592433.0,733467577982183.1
40,1.5819214698821802e+16,7808611580032259.0,7233359583978491.0,777243534811052.6
41,1.5759508077275796e+16,8002971787719122.0,6999903027067735.0,756633262488939.4
42,1.5705826951987168e+16,8106236803251433.0,6855944128351959.0,743646020383775.8
43,1.5675470544040892e+16,7198314856874969.0,7665290761843736.0,811864925322188.8
44,1.546206511083485e+16,7668929920658636.0,7036315858894300.0,756819331281914.5
45,1.5329449251209574e+16,6978001791392883.0,7552839175584375.0,798608284232315.1
46,1.5329449251209574e+16,6978001791392883.0,7552839175584375.0,798608284232315.1
47,1.4744235593297178e+16,6729888410891232.0,7247612745826210.0,766734436579736.2
48,1.4744235593297178e+16,6729888410891232.0,7247612745826210.0,766734436579736.2
49,1.4267242415080682e+16,6542035525916927.0,6985546130825296.0,739660758338457.8
50,1.3312545618886168e+16,5258890297849902.0,7301119645648576.0,752535675387689.8
51,1.3312545618886168e+16,5258890297849902.0,7301119645648576.0,752535675387689.8
52,1.1497628183694332e+16,4843062983334049.0,6026433785960839.0,628131414399443.8
53,9855802348254330.0,3682280757903024.5,5601479305921060.0,572042284430246.0
54,9855802348254330.0,3682280757903024.5,5601479305921060.0,572042284430246.0
55,5788336766382408.0,1637329352837430.5,3780415668600335.5,370591744944641.9
56,5788336766382408.0,1637329352837430.5,3780415668600335.5,370591744944641.9
57,2694210902574055.5,654423222802574.5,1860902970253476.2,178884709518004.53
58,1317137532950757.2,679484576437800.9,607755508594247.1,29897447918709.227
59,440573635882789.44,79618556578781.28,337588182907345.3,23366896396662.805
60,440573635882789.44,79618556578781.28,337588182907345.3,23366896396662.805
61,440573635882789.44,79618556578781.28,337588182907345.3,23366896396662.805
62,440573635882789.44,79618556578781.28,337588182907345.3,23366896396662.805
63,208833603489631.03,16470574089251.996,177398774580947.06,14964254819431.955
64,208833603489631.03,16470574089251.996,177398774580947.06,14964254819431.955
65,179252764868677.53,155268628269512.6,23758903064451.574,225233534713.37186
66,94396144492848.95,12909590362746.746,74747557141133.16,6738996988969.048
67,5079599828895.789,2562855308787.394,2473032229147.211,43712290961.18349
68,5079599828895.789,2562855308787.394,2473032229147.211,43712290961.18349
69,5079599828895.789,2562855308787.394,2473032229147.211,43712290961.18349
70,5079599828895.789,2562855308787.394,2473032229147.211,43712290961.18349
71,5079599828895.789,2562855308787.394,2473032229147.211,43712290961.18349
72,5079599828895.789,2562855308787.394,2473032229147.211,43712290961.18349
73,2064897486157.393,248735442393.7491,1667803495511.7493,148358548251.89474
74,2064897486157.393,248735442393.7491,1667803495511.7493,148358548251.89474
75,2064897486157.393,248735442393.7491,1667803495511.7493,148358548251.89474
76,687495463440.7417,164925817283.936,510391613369.8922,12178032786.913456
77,687495463440.7417,164925817283.936,510391613369.8922,12178032786.913456
78,374430346526.6399,78278021293.95671,286333126000.45795,9819199232.225197
79,283948025555.2365,114327529897.29283,153724357183.79074,15896138474.152973
80,283948025555.2365,114327529897.29283,153724357183.79074,15896138474.152973
81,194211581569.71893,153082362147.17938,40210867969.269775,918351453.2697754
82,100539620630.66458,49436449823.22938,49201262503.59082,1901908303.8443983
83,100539620630.66458,49436449823.22938,49201262503.59082,1901908303.8443983
84,34733896129.36043,2556759532.9002166,29711804084.69296,2465332511.767254
85,34733896129.36043,2556759532.9002166,29711804084.69296,2465332511.767254
86,34733896129.36043,2556759532.9002166,29711804084.69296,2465332511.767254
87,25145039049.79193,5594083710.0053625,18898302348.714413,652652991.0721549
88,25145039049.79193,5594083710.0053625,18898302348.714413,652652991.0721549
89,11281202405.422344,9755612358.780422,1518719634.8568153,6870411.785105881
90,11281202405.422344,9755612358.780422,1518719634.8568153,6870411.785105881
91,1220045794.5680587,138725295.26103783,993500374.9149433,87820124.39207765
92,1220045794.5680587,138725295.26103783,993500374.9149433,87820124.39207765
93,1220045794.5680587,138725295.26103783,993500374.9149433,87820124.39207765
94,1220045794.5680587,138725295.26103783,993500374.9149433,87820124.39207765
95,1220045794.5680587,138725295.26103783,993500374.9149433,87820124.39207765
96,1220045794.5680587,138725295.26103783,993500374.9149433,87820124.39207765
97,376807950.72764045,67616119.53144038,301569541.65716094,7622289.539039124
98,376807950.72764045,67616119.53144038,301569541.65716094,7622289.539039124
