iteration,total_cost,jerk_cost,time_cost,position_cost
0,4.775573158313025e+19,2.1062881417128296e+19,2.5324711033257247e+19,1.3681391327447053e+18
1,4.775573158313025e+19,2.1062881417128296e+19,2.5324711033257247e+19,1.3681391327447053e+18
2,4.119572016366376e+19,1.813724196526495e+19,2.1875619618900718e+19,1.1828585794980902e+18
3,2.716765173310006e+19,1.1858425699557691e+19,1.4520704615314338e+19,7.885214182280332e+17
4,2.716765173310006e+19,1.1858425699557691e+19,1.4520704615314338e+19,7.885214182280332e+17
5,9.232739485956583e+18,3.9001824379985377e+18,5.053813322715056e+18,2.787437252429888e+17
6,4.253461497935161e+17,1.2590735074546715e+17,2.818425347206308e+17,1.759626432741816e+16
7,4.253461497935161e+17,1.2590735074546715e+17,2.818425347206308e+17,1.759626432741816e+16
8,4.253461497935161e+17,1.2590735074546715e+17,2.818425347206308e+17,1.759626432741816e+16
9,4.253461497935161e+17,1.2590735074546715e+17,2.818425347206308e+17,1.759626432741816e+16
10,4.253461497935161e+17,1.2590735074546715e+17,2.818425347206308e+17,1.759626432741816e+16
11,1.4481912250087242e+17,1.0584107262390965e+17,3.8609134395157224e+16,368915481805551.44
12,9.312157458048446e+16,1.4494304020094666e+16,7.342239858041778e+16,5204871979972009.0
13,8.140143060413267e+16,6.5622638354934984e+16,1.568837580756992e+16,90416441627768.7
14,8.140143060413267e+16,6.5622638354934984e+16,1.568837580756992e+16,90416441627768.7
15,3.3429908808091616e+16,3.0478701145233484e+16,2878451741894595.5,72755920963536.22
16,2.9743991695238724e+16,2253354270596593.5,2.5368023625853856e+16,2122613798788275.8
17,2.3511271009977344e+16,2704163281596299.5,1.911513686006806e+16,1691970868312983.0
18,2.3511271009977344e+16,2704163281596299.5,1.911513686006806e+16,1691970868312983.0
19,1.852156651473777e+16,1.508409687800874e+16,3073822915579473.5,363646721149555.8
20,1.7912925379873164e+16,4515326359221426.0,1.2217698159463622e+16,1179900861188116.2
21,1.7882112552677302e+16,1.4070512828067308e+16,3406511550785082.5,405088173824912.4
22,1.715807259933374e+16,5309216409888782.0,1.077903864569115e+16,1069817543753808.9
23,1.6269466754646598e+16,1.069545147437572e+16,4999507650252897.0,574507630017982.4
24,1.6186624696493116e+16,6664751625753550.0,8626368549324179.0,895504521415388.6
25,1.617573938351322e+16,1.0342350105653336e+16,5235953530518267.0,597435747341616.6
26,1.6116131019557246e+16,7014213676041567.0,8238150874923488.0,863766468592190.1
27,1.5937959564477598e+16,9225163894587216.0,6040340625827194.0,672455044063188.8
28,1.5934623840587324e+16,7672389787019106.0,7464239649172821.0,797994404395396.1
29,1.5928844263849136e+16,9084850068721756.0,6160553802421637.0,683440392705743.4
30,1.5928844263849136e+16,9084850068721756.0,6160553802421637.0,683440392705743.4
31,1.5893445988038438e+16,8685794254442851.0,6494273691527239.0,713378042068348.1
32,1.5893445988038438e+16,8685794254442851.0,6494273691527239.0,713378042068348.1
33,1.5884380764835108e+16,8308415162662623.0,6832698358740495.0,743267243431991.0
34,1.5871954952356398e+16,8360883188898711.0,6773142011151764.0,737929752305922.5
35,1.5871954952356398e+16,8360883188898711.0,6773142011151764.0,737929752305922.5
36,1.5866205125170904e+16,8107908837267820.0,7000579228611730.0,757717059291353.6
37,1.5866205125170904e+16,8107908837267820.0,7000579228611730.0,757717059291353.6
38,1.5837713871578172e+16,8378337150816848.0,6725908884282684.0,733467836478640.6
39,1.5837713871578172e+16,8378337150816848.0,6725908884282684.0,733467836478640.6
