iteration,total_cost,jerk_cost,time_cost,position_cost
0,4.775573894162247e+19,2.1062884618091667e+19,2.532471497628144e+19,1.3681393472493665e+18
1,4.775573894162247e+19,2.1062884618091667e+19,2.532471497628144e+19,1.3681393472493665e+18
2,4.119572652983079e+19,1.8137244727232666e+19,2.1875623036911673e+19,1.1828587656864474e+18
3,2.7167655987137257e+19,1.1858427522716715e+19,1.452070691991366e+19,7.88521544506885e+17
4,2.7167655987137257e+19,1.1858427522716715e+19,1.452070691991366e+19,7.88521544506885e+17
5,9.232741003613176e+18,3.9001830595516027e+18,5.053814171345352e+18,2.787437727162215e+17
6,4.2534625153918957e+17,1.2590737901220368e+17,2.8184260381105014e+17,1.7596268715935736e+16
7,4.2534625153918957e+17,1.2590737901220368e+17,2.8184260381105014e+17,1.7596268715935736e+16
8,4.2534625153918957e+17,1.2590737901220368e+17,2.8184260381105014e+17,1.7596268715935736e+16
9,4.2534625153918957e+17,1.2590737901220368e+17,2.8184260381105014e+17,1.7596268715935736e+16
10,4.2534625153918957e+17,1.2590737901220368e+17,2.8184260381105014e+17,1.7596268715935736e+16
11,1.4481912587510115e+17,1.0584107993796413e+17,3.860913055466539e+16,368915382471648.0
12,9.312160617311275e+16,1.4494309358468578e+16,7.34224231155816e+16,5204873699062581.0
13,8.140143048286651e+16,6.562264164070933e+16,1.568837245152827e+16,90416390628913.81
14,8.140143048286651e+16,6.562264164070933e+16,1.568837245152827e+16,90416390628913.81
15,3.342990860085523e+16,3.047870150661942e+16,2878451087878146.0,72756006357663.45
16,2.974400514255999e+16,2253354985798124.5,2.5368035431659996e+16,2122614725101870.2
17,2.3511281832714196e+16,2704163479878632.5,1.9115146683412896e+16,1691971669422668.5
18,2.3511281832714196e+16,2704163479878632.5,1.9115146683412896e+16,1691971669422668.5
19,1.852156872690635e+16,1.5084096433860548e+16,3073825275065846.0,363647017979958.6
20,1.7912933011660624e+16,4515326106287431.0,1.2217705413611044e+16,1179901491762148.8
21,1.7882115062257552e+16,1.4070512355336658e+16,3406514214607720.5,405088492313173.1
22,1.7158079531601992e+16,5309216070318005.0,1.0779045324211838e+16,1069818137072149.0
23,1.6269470441369956e+16,1.069545095353669e+16,4999511459571506.0,574508028261760.4
24,1.6186630509019242e+16,6664751188974952.0,8626374270185559.0,895505049858730.8
25,1.6175743225650756e+16,1.0342349584067618e+16,5235957485806289.0,597436155776849.0
26,1.6116136625480488e+16,7014213221780545.0,8238156418246893.0,863766985453050.4
27,1.593796391090349e+16,9225163380278200.0,6040345046253848.0,672455484371441.6
28,1.593462901739807e+16,7672389307134137.0,7464244814818615.0,797994895445318.4
29,1.5928848683487904e+16,9084849556034126.0,6160558289788771.0,683440837665008.1
30,1.5928848683487904e+16,9084849556034126.0,6160558289788771.0,683440837665008.1
31,1.5893450606781512e+16,8685793748346235.0,6494278359137478.0,713378499297800.2
32,1.5893450606781512e+16,8685793748346235.0,6494278359137478.0,713378499297800.2
33,1.5884385581514622e+16,8308414664643035.0,6832703204130177.0,743267712741410.0
34,1.5871959733914214e+16,8360882689867432.0,6773146824698011.0,737930219348770.9
35,1.5871959733914214e+16,8360882689867432.0,6773146824698011.0,737930219348770.9
36,1.586621003757981e+16,8107908344714634.0,7000584158714979.0,757717534150197.4
37,1.586621003757981e+16,8107908344714634.0,7000584158714979.0,757717534150197.4
38,1.5837718624172256e+16,8378336652017704.0,6725913670763131.0,733468301391419.2
39,1.5837718624172256e+16,8378336652017704.0,6725913670763131.0,733468301391419.2
40,1.5819220655990456e+16,7808608716605514.0,7233367658459886.0,777244280925055.5
41,1.5759513782564104e+16,8002968868652146.0,6999910917336566.0,756633996575392.0
