iteration,total_cost,jerk_cost,time_cost,position_cost
0,4.775573328710829e+19,2.1062881982359695e+19,2.5324712107694424e+19,1.368139197054166e+18
1,4.775573328710829e+19,2.1062881982359695e+19,2.5324712107694424e+19,1.368139197054166e+18
2,4.119572171139994e+19,1.8137242475388477e+19,2.1875620597797937e+19,1.1828586382135247e+18
3,2.71676529849009e+19,1.1858426104761602e+19,1.4520705413773724e+19,7.885214663655722e+17
4,2.71676529849009e+19,1.1858426104761602e+19,1.4520705413773724e+19,7.885214663655722e+17
5,9.23274021098861e+18,3.9001826620555433e+18,5.053813794820716e+18,2.7874375411234986e+17
6,4.253463154955763e+17,1.2590739191074438e+17,2.8184265163280077e+17,1.7596271952031146e+16
7,4.253463154955763e+17,1.2590739191074438e+17,2.8184265163280077e+17,1.7596271952031146e+16
8,4.253463154955763e+17,1.2590739191074438e+17,2.8184265163280077e+17,1.7596271952031146e+16
9,4.253463154955763e+17,1.2590739191074438e+17,2.8184265163280077e+17,1.7596271952031146e+16
10,4.253463154955763e+17,1.2590739191074438e+17,2.8184265163280077e+17,1.7596271952031146e+16
11,1.4481904905570026e+17,1.0584103919079842e+17,3.8609095021682456e+16,368914843219401.8
12,9.312164969334243e+16,1.4494317395229804e+16,7.342245630316002e+16,5204875994952609.0
13,8.140138097324206e+16,6.562261246148328e+16,1.5688352337765522e+16,90416173993257.23
14,8.140138097324206e+16,6.562261246148328e+16,1.5688352337765522e+16,90416173993257.23
15,3.342988783299172e+16,3.047868430736627e+16,2878447291957874.5,72756233667572.97
16,2.974402970614456e+16,2253355885400401.5,2.5368057444388596e+16,2122616376355563.5
17,2.351130187689645e+16,2704162486454149.5,1.911516620601719e+16,1691973184425106.0
18,2.351130187689645e+16,2704162486454149.5,1.911516620601719e+16,1691973184425106.0
19,1.852156461155339e+16,1.5084085973413562e+16,3073830898492812.5,363647739647016.6
20,1.7912946371915032e+16,4515322607046009.0,1.2217720987991646e+16,1179902776877375.5
21,1.788211227268368e+16,1.4070502415250598e+16,3406520599867220.5,405089257565862.94
22,1.715809113936341e+16,5309211821563988.0,1.0779059947131012e+16,1069819370668409.9
23,1.6269472342488054e+16,1.0695442894027122e+16,4999520504764231.0,574508943696702.2
24,1.6186639170474428e+16,6664745819249530.0,8626387167680214.0,895506183544683.0
25,1.6175745674158244e+16,1.0342341734750158e+16,5235966849773040.0,597437089635046.6
26,1.6116144677146824e+16,7014207586939860.0,8238168988601760.0,863768101605204.6
27,1.5937968094882328e+16,9225156226230290.0,6040355394843694.0,672456473808343.8
28,1.5934635824547094e+16,7672383195693702.0,7464256659182674.0,797995969670717.6
29,1.5928853104125846e+16,9084842491534728.0,6160568777401209.0,683441835189910.9
30,1.5928853104125846e+16,9084842491534728.0,6160568777401209.0,683441835189910.9
31,1.5893455677256878e+16,8685786944714602.0,6494289214964083.0,713379517578194.0
32,1.5893455677256878e+16,8685786944714602.0,6494289214964083.0,713379517578194.0
33,1.5884391282298386e+16,8308408113485787.0,6832714417601438.0,743268751211161.8
34,1.587196533136258e+16,8360876103937547.0,6773157973549341.0,737931253875691.0
35,1.587196533136258e+16,8360876103937547.0,6773157973549341.0,737931253875691.0
36,1.5866216051651868e+16,8107901931344062.0,7000595538824509.0,757718581483295.6
37,1.5866216051651868e+16,8107901931344062.0,7000595538824509.0,757718581483295.6
38,1.5837724151055e+16,8378330056244495.0,6725924762905296.0,733469331905208.1
39,1.5837724151055e+16,8378330056244495.0,6725924762905296.0,733469331905208.1
40,1.5819227107628802e+16,7808602513335960.0,7233379255337660.0,777245338955181.9
41,1.575951984395282e+16,8002962532739865.0,6999922271365651.0,756635039847303.1
42,1.5705838328138078e+16,8106227452034314.0,6855963096488115.0,743647779615650.4
43,1.5675484245752232e+16,7198306426513475.0,7665311061760084.0,811866757478671.1
44,1.5462077150050216e+16,7668921021284372.0,7036335036525490.0,756821092240354.5
45,1.5329462815142468e+16,6977993611268894.0,7552859122503116.0,798610081370458.6
46,1.5329462815142468e+16,6977993611268894.0,7552859122503116.0,798610081370458.6
47,1.4744248606232396e+16,6729880522699533.0,7247631918480007.0,766736165052855.8
48,1.4744248606232396e+16,6729880522699533.0,7247631918480007.0,766736165052855.8
49,1.4267254942404296e+16,6542027860512631.0,6985564652114922.0,739662429776743.1
50,1.3312559420533284e+16,5258884073030477.0,7301138055051241.0,752537292451566.8
51,1.3312559420533284e+16,5258884073030477.0,7301138055051241.0,752537292451566.8
52,1.149763942116912e+16,4843057264834572.0,6026449358614553.0,628132797719996.0
53,9855813152245954.0,3682276390307080.5,5601493261331071.0,572043500607801.4
54,9855813152245954.0,3682276390307080.5,5601493261331071.0,572043500607801.4
