iteration,total_cost,jerk_cost,time_cost,position_cost
0,6.006899542900033e+19,2.1062885382378602e+19,2.5324716002785034e+19,1.3681394043836692e+19
1,6.006899542900033e+19,2.1062885382378602e+19,2.5324716002785034e+19,1.3681394043836692e+19
2,5.184145748788095e+19,1.813724539180375e+19,2.1875623937075855e+19,1.1828588159001344e+19
3,3.4264351340508733e+19,1.1858427977316993e+19,1.4520707558580183e+19,7.885215804611557e+18
4,3.4264351340508733e+19,1.1858427977316993e+19,1.4520707558580183e+19,7.885215804611557e+18
5,1.1741435567809694e+19,3.9001832344131005e+18,5.053814446839315e+18,2.787437886557278e+18
6,5.837127514659756e+17,1.2590739414988678e+17,2.818426441574576e+17,1.759627131586311e+17
7,5.837127514659756e+17,1.2590739414988678e+17,2.818426441574576e+17,1.759627131586311e+17
8,5.837127514659756e+17,1.2590739414988678e+17,2.818426441574576e+17,1.759627131586311e+17
9,5.837127514659756e+17,1.2590739414988678e+17,2.818426441574576e+17,1.759627131586311e+17
10,5.234586676691697e+17,3.049855142364098e+17,1.9093560014511283e+17,2.75375532876471e+16
11,1.4813934661593754e+17,1.0584107362140094e+17,3.860912081325057e+16,3689152181286022.0
12,1.3996550410002371e+17,1.44943135087309e+16,7.342244110625507e+16,5.204874948503775e+16
13,8.261313682104726e+16,4792944691638539.0,4.405050442819995e+16,3.3769687701208776e+16
14,8.261313682104726e+16,4792944691638539.0,4.405050442819995e+16,3.3769687701208776e+16
15,4.096603308004455e+16,3.636389699058171e+16,4173647295203979.5,428488794258862.5
16,3.9099975663113016e+16,2555810485984193.0,1.9449954322532932e+16,1.709421085459589e+16
17,3.748442195354176e+16,3.34650834297725e+16,3472341109221768.0,546997414547487.9
18,3.162367579832024e+16,3787015319524085.0,1.4376464728205544e+16,1.3460195750590612e+16
19,2.401438874074123e+16,1.9466747300420828e+16,2258016179431293.5,2289625260889114.0
20,2.401438874074123e+16,1.9466747300420828e+16,2258016179431293.5,2289625260889114.0
21,2.3465210908784904e+16,1.858063203893497e+16,2361278395789540.0,2523300474060398.0
22,2.3175806782084536e+16,7692555255159581.0,7483079671868986.0,8000171855055969.0
23,2.1542374238141416e+16,1.0129596493571414e+16,5341115686187665.0,6071662058382335.0
24,2.1542374238141416e+16,1.0129596493571414e+16,5341115686187665.0,6071662058382335.0
25,2.1542374238141416e+16,1.0129596493571414e+16,5341115686187665.0,6071662058382335.0
26,2.1542374238141416e+16,1.0129596493571414e+16,5341115686187665.0,6071662058382335.0
27,2.1349512499298924e+16,1.3264508953551766e+16,3696827844309394.0,4388175701437764.0
28,2.133119427400081e+16,1.1296856160188742e+16,4642591931061836.0,5391746182750229.0
29,2.1304608988937864e+16,1.2885237284596206e+16,3854788438119926.5,4564583266221731.0
30,2.1304608988937864e+16,1.2885237284596206e+16,3854788438119926.5,4564583266221731.0
31,2.127641586449274e+16,1.251867947810154e+16,4016677068131597.5,4741059318259601.0
32,2.1274554843927388e+16,1.2680893258332086e+16,3938039226704144.0,4655622358891157.0
33,2.1260159337444144e+16,1.1963431300433966e+16,4278402931601435.0,5018325105408746.0
34,2.125561148431437e+16,1.1897409496813022e+16,4308596310654665.5,5049605676846679.0
35,2.1248477474927788e+16,1.1841935639890086e+16,4332432510696375.0,5074109324341328.0
36,2.1248477474927788e+16,1.1841935639890086e+16,4332432510696375.0,5074109324341328.0
37,2.123101933418649e+16,1.209689594012272e+16,4199334534829120.0,4934788859234649.0
38,2.123101933418649e+16,1.209689594012272e+16,4199334534829120.0,4934788859234649.0
39,2.1217404951030576e+16,1.1623046744186798e+16,4425492747460926.5,5168865459382854.0
40,2.1181638345739908e+16,1.2287178236349174e+16,4083528714652182.5,4810931394738551.0
41,2.1181638345739908e+16,1.2287178236349174e+16,4083528714652182.5,4810931394738551.0
42,2.1116684458965384e+16,1.1467365037813622e+16,4454283192120452.0,5195036229031311.0
43,2.104901661687296e+16,1.2257669052103152e+16,4035041946417475.0,4756305618352331.0
44,2.09873910906747e+16,1.250990649245745e+16,3884797656335196.0,4592686941882054.0
45,2.075151138560539e+16,1.1651111004028536e+16,4188826686011650.5,4911573695565206.0
46,2.075151138560539e+16,1.1651111004028536e+16,4188826686011650.5,4911573695565206.0
47,2.042499843282343e+16,1.2459150978613318e+16,3645452111191794.0,4320395343018322.0
48,1.996654952099049e+16,1.1907097721636814e+16,3693122733464697.0,4366329065888974.0
49,1.996654952099049e+16,1.1907097721636814e+16,3693122733464697.0,4366329065888974.0
50,1.899166857919916e+16,1.2264868649569992e+16,3072810491915295.0,3653989437713871.0
51,1.802684857768792e+16,1.0496621246728432e+16,3456241343516873.0,4073985987442617.5
52,1.802684857768792e+16,1.0496621246728432e+16,3456241343516873.0,4073985987442617.5
53,1.5496677062858304e+16,1.082490161645816e+16,2142263119864630.8,2529512326535513.0
54,1.3682468345578078e+16,8835257817866942.0,2214213456290534.0,2632997071420602.0
55,1.1229850502715424e+16,6780963822973859.0,2037099328732841.5,2411787351008723.5
56,6889653353235531.0,5738624871403837.0,598784573760743.6,552243908070950.4
57,2889365766665331.5,1918825675244660.0,443453305192238.9,527086786228432.44
58,387704273706372.6,211313624455283.34,152631446072543.8,23759203178545.47
59,387704273706372.6,211313624455283.34,152631446072543.8,23759203178545.47
60,387704273706372.6,211313624455283.34,152631446072543.8,23759203178545.47
61,387704273706372.6,211313624455283.34,152631446072543.8,23759203178545.47
62,387704273706372.6,211313624455283.34,152631446072543.8,23759203178545.47
63,173730459618491.7,87890884251417.52,39887562497692.82,45952012869381.34
64,173730459618491.7,87890884251417.52,39887562497692.82,45952012869381.34
65,120215349456732.5,13620328118371.123,80217021375735.33,26377999962626.05
66,75265266762000.53,64914897932999.67,9534075647221.408,816293181779.4598
67,47631040163606.25,3991756258719.765,34188318229636.6,9450965675249.887
68,11860199344621.596,9096379662641.129,1304430281575.4197,1459389400405.0464
69,11860199344621.596,9096379662641.129,1304430281575.4197,1459389400405.0464
70,11860199344621.596,9096379662641.129,1304430281575.4197,1459389400405.0464
71,6848782530868.434,533819774335.5831,4935243917923.291,1379718838609.559
72,3161827999358.5703,262229415452.78226,1675617558014.028,1223981025891.76
73,1729833197944.3513,1511851220541.7856,204103603258.2289,13878374144.336582
