iteration,total_cost,jerk_cost,time_cost,position_cost
0,1.8320157446802837e+20,2.106288923484617e+19,2.5324720523348136e+19,1.3681396470983406e+20
1,1.8320157446802837e+20,2.106288923484617e+19,2.5324720523348136e+19,1.3681396470983406e+20
2,1.5829877904965612e+20,1.8137248701922259e+19,2.1875627831140508e+19,1.1828590251659336e+20
3,1.0523131192599596e+20,1.1858430115992963e+19,1.4520710095401687e+19,7.88521717146013e+19
4,1.0523131192599596e+20,1.1858430115992963e+19,1.4520710095401687e+19,7.88521717146013e+19
5,3.682838254119773e+19,3.9001839064543636e+18,5.053815272142076e+18,2.7874383362601288e+19
6,2.1673773053089823e+18,1.2590740393883397e+17,2.8184266177175786e+17,1.7596272395983905e+18
7,2.1673773053089823e+18,1.2590740393883397e+17,2.8184266177175786e+17,1.7596272395983905e+18
8,2.1673773053089823e+18,1.2590740393883397e+17,2.8184266177175786e+17,1.7596272395983905e+18
9,2.1673773053089823e+18,1.2590740393883397e+17,2.8184266177175786e+17,1.7596272395983905e+18
10,2.1673773053089823e+18,1.2590740393883397e+17,2.8184266177175786e+17,1.7596272395983905e+18
11,1.618303810027152e+18,5.566155934033237e+17,4.1217170320739846e+17,6.495165134164298e+17
12,4.953449132411384e+17,2.173800698513819e+17,1.192653456840213e+17,1.5869949770573526e+17
13,3.931382855644926e+17,5299046635167325.0,4.517429886117257e+16,3.426649400681527e+17
14,2.0219821915948387e+17,2592845961727994.0,2.0456624143667624e+16,1.7914874905408826e+17
15,2.0219821915948387e+17,2592845961727994.0,2.0456624143667624e+16,1.7914874905408826e+17
16,1.4775254559135386e+17,9.190512973402851e+16,3.0125073197612296e+16,2.572234265971305e+16
17,1.0448589591560408e+17,7.256157143048483e+16,1.9231279533552656e+16,1.2693044951566594e+16
18,9.909744881597698e+16,7074922580367760.0,7982224060030208.0,8.4040302175579e+16
19,5.486033765921434e+16,1.5271070820022418e+16,3086981785440032.0,3.650228505375189e+16
20,5.486033765921434e+16,1.5271070820022418e+16,3086981785440032.0,3.650228505375189e+16
21,5.167949388836646e+16,4.248468040980238e+16,5981474950677999.0,3213338527886081.5
22,4.746328350160004e+16,1.777582524570886e+16,2461063721029989.0,2.722639453486119e+16
23,4.510487044228119e+16,3.66428381210501e+16,4237128425775455.0,4224903895455641.5
24,4.153097511216654e+16,2.245645392428117e+16,2134255748459345.5,1.6940265439426028e+16
25,4.153097511216654e+16,2.245645392428117e+16,2134255748459345.5,1.6940265439426028e+16
26,4.048428357957598e+16,2.3618095711679252e+16,2142087293911352.5,1.4724100573985384e+16
27,4.048428357957598e+16,2.3618095711679252e+16,2142087293911352.5,1.4724100573985384e+16
28,4.017761210155804e+16,2.922002889449061e+16,2671822205807100.5,8285761001260331.0
