iteration,total_cost,jerk_cost,time_cost,position_cost
0,1.147945792682099e+20,2.106288693473194e+19,2.532471769225504e+19,6.8406974641222935e+19
1,1.147945792682099e+20,2.106288693473194e+19,2.532471769225504e+19,6.8406974641222935e+19
2,9.915581663854028e+19,1.8137246718100214e+19,2.18756253733749e+19,5.914294454706517e+19
3,6.580521858251494e+19,1.1858428812806277e+19,1.452070844585582e+19,3.942608132385285e+19
4,6.580521858251494e+19,1.1858428812806277e+19,1.452070844585582e+19,3.942608132385285e+19
5,2.2891188118343442e+19,3.9001834690083953e+18,5.053814668841779e+18,1.3937189980493267e+19
6,1.2875634737600238e+18,1.259073867169331e+17,2.81842616183634e+17,8.798134708594568e+17
7,1.2875634737600238e+18,1.259073867169331e+17,2.81842616183634e+17,8.798134708594568e+17
8,1.2875634737600238e+18,1.259073867169331e+17,2.81842616183634e+17,8.798134708594568e+17
9,1.2875634737600238e+18,1.259073867169331e+17,2.81842616183634e+17,8.798134708594568e+17
10,1.2875634737600238e+18,1.259073867169331e+17,2.81842616183634e+17,8.798134708594568e+17
11,1.2875634737600238e+18,1.259073867169331e+17,2.81842616183634e+17,8.798134708594568e+17
12,4.1599514447931674e+17,2.173800510028857e+17,1.1926534273892589e+17,7.934975073750517e+16
13,2.2180576008691338e+17,5299045313055399.0,4.517428771851731e+16,1.7133242705534067e+17
14,2.2180576008691338e+17,5299045313055399.0,4.517428771851731e+16,1.7133242705534067e+17
15,2.0851114305561168e+17,4338230941174672.0,4.198536709281272e+16,1.621875450216243e+17
16,1.122003521732577e+17,8.016582525947339e+16,2.334966649042921e+16,8684860423355108.0
17,6.221624585607433e+16,5.111822109773125e+16,9130929153756336.0,1967095604586744.5
18,6.221624585607433e+16,5.111822109773125e+16,9130929153756336.0,1967095604586744.5
19,4.012057852035873e+16,1.3115903834753256e+16,3901267239523382.5,2.3103407446082092e+16
20,3.9495818952930936e+16,1.3971726782571882e+16,3676447235370361.0,2.1847644934988692e+16
21,3.9495818952930936e+16,1.3971726782571882e+16,3676447235370361.0,2.1847644934988692e+16
22,3.9495818952930936e+16,1.3971726782571882e+16,3676447235370361.0,2.1847644934988692e+16
23,3.656239286812237e+16,2.9572789401091216e+16,2693487573003725.5,4296115894027427.5
24,3.418506761541208e+16,2.552927980278689e+16,2253309817179160.0,6402477995446034.0
25,3.418506761541208e+16,2.552927980278689e+16,2253309817179160.0,6402477995446034.0
26,3.418506761541208e+16,2.552927980278689e+16,2253309817179160.0,6402477995446034.0
27,3.3957460750808496e+16,2.4709551425554396e+16,2208850739499133.2,7039058585754970.0
28,3.3798246333498236e+16,2.0003029540070756e+16,2290284295864617.0,1.1504932497562864e+16
29,3.367105852511136e+16,2.086034547331946e+16,2232187629145971.2,1.057852542264593e+16
30,3.3645945761219656e+16,2.3626588708551216e+16,2171146989119430.5,7848210063549008.0
31,3.3588675053210636e+16,2.305609870215412e+16,2166561538086289.8,8366014812970228.0
32,3.356412285991839e+16,2.1229156533098604e+16,2206489031871934.5,1.0128477294947854e+16
33,3.354747448178397e+16,2.173221230627758e+16,2187423445396996.8,9627838730109390.0
34,3.3544095904821332e+16,2.280435256135563e+16,2165260270382217.8,8574483073083484.0
35,3.353538106633031e+16,2.248224012285559e+16,2168783293521847.2,8884357649952870.0
36,3.3526286853111584e+16,2.1779167839951136e+16,2184219627966702.8,9562899385193744.0
37,3.3526286853111584e+16,2.1779167839951136e+16,2184219627966702.8,9562899385193744.0
38,3.352621182972706e+16,2.2450560182937336e+16,2168610764103831.2,8907040882685891.0
39,3.352621182972706e+16,2.2450560182937336e+16,2168610764103831.2,8907040882685891.0
