iteration,total_cost,jerk_cost,time_cost,position_cost
0,2.5549022514514546e+21,2.106288240794928e+19,2.5324712298407385e+21,1.3681392027664205e+18
1,2.5549022514514546e+21,2.106288240794928e+19,2.5324712298407385e+21,1.3681392027664205e+18
2,2.2068821742548156e+21,1.81372428216261e+19,2.1875620727919996e+21,1.182858641189903e+18
3,1.4647174845002752e+21,1.1858426262767542e+19,1.452070536777001e+21,7.88521460506658e+17
4,1.4647174845002752e+21,1.1858426262767542e+19,1.452070536777001e+21,7.88521460506658e+17
5,5.095602879277837e+20,3.9001826292920044e+18,5.053813615560935e+20,2.7874374239829936e+17
6,2.8327759881958486e+19,1.2590735883182842e+17,2.8184256256862347e+19,1.7596266264311538e+16
7,2.8327759881958486e+19,1.2590735883182842e+17,2.8184256256862347e+19,1.7596266264311538e+16
8,2.8327759881958486e+19,1.2590735883182842e+17,2.8184256256862347e+19,1.7596266264311538e+16
9,2.8327759881958486e+19,1.2590735883182842e+17,2.8184256256862347e+19,1.7596266264311538e+16
10,1.940130023967426e+19,3.049855018452071e+17,1.909356098224204e+19,2753755587012351.0
11,3.9671230942141174e+18,1.0584107572818312e+17,3.860913103089253e+18,368915396681426.94
12,3.9671230942141174e+18,1.0584107572818312e+17,3.860913103089253e+18,368915396681426.94
13,3.9671230942141174e+18,1.0584107572818312e+17,3.860913103089253e+18,368915396681426.94
14,3.211607690828526e+18,9.354192836646138e+16,3.1177946106621885e+18,271151799875956.56
15,1.3694967331207575e+18,3882906624455245.5,1.3643275041519296e+18,1286322344372770.5
16,5.843596617706872e+17,9735874551323896.0,5.73978170595943e+17,645616623420361.8
17,5.843596617706872e+17,9735874551323896.0,5.73978170595943e+17,645616623420361.8
18,4.206444281804196e+17,3.506307735367793e+16,3.855342181591731e+17,47132667568541.19
19,3.533101228581643e+17,3.2402443845769144e+16,3.208445910991368e+17,63087913258347.98
20,3.533101228581643e+17,3.2402443845769144e+16,3.208445910991368e+17,63087913258347.98
21,2.931351398928513e+17,1.6434306672330772e+16,2.763804169460291e+17,320416274491466.4
22,2.52086964395069e+17,1.8931144351312424e+16,2.3291098243539046e+17,244837608366100.88
23,2.52086964395069e+17,1.8931144351312424e+16,2.3291098243539046e+17,244837608366100.88
24,2.52086964395069e+17,1.8931144351312424e+16,2.3291098243539046e+17,244837608366100.88
25,2.426484041326881e+17,2.0131455837166468e+16,2.2229995649361888e+17,216991801902751.1
26,2.426484041326881e+17,2.0131455837166468e+16,2.2229995649361888e+17,216991801902751.1
27,2.3895868958405782e+17,2.3663554279930856e+16,2.1514571287033094e+17,149422433796041.78
28,2.3858820778473974e+17,2.0819045789667156e+16,2.175681454049961e+17,201016590076478.84
29,2.369669274945516e+17,2.311036323547102e+16,2.1369887856712582e+17,157685691954791.97
30,2.369669274945516e+17,2.311036323547102e+16,2.1369887856712582e+17,157685691954791.97
31,2.3630455486866237e+17,2.2686305246820544e+16,2.1345286722847843e+17,165382393363377.3
32,2.3630455486866237e+17,2.2686305246820544e+16,2.1345286722847843e+17,165382393363377.3
33,2.360985494349791e+17,2.187438580659604e+16,2.140440507895055e+17,180112838877583.88
34,2.360611492623048e+17,2.25739898079116e+16,2.1332009617983792e+17,167063274555304.62
