iteration,total_cost,jerk_cost,time_cost,position_cost
0,1.2886665869851374e+21,2.1062881575792513e+19,1.2662355662591188e+21,1.368139150226051e+18
1,1.2886665869851374e+21,2.1062881575792513e+19,1.2662355662591188e+21,1.368139150226051e+18
2,1.1131010949773778e+21,1.8137242107631604e+19,1.0937809942742161e+21,1.1828585955300275e+18
3,7.386821886370533e+20,1.1858425808878752e+19,7.260352413970657e+20,7.885214311088684e+17
4,7.386821886370533e+20,1.1858425808878752e+19,7.260352413970657e+20,7.885214311088684e+17
5,2.5686959849504558e+20,3.900182494915723e+18,2.5269067226729834e+20,2.7874373283152893e+17
6,1.423563180787771e+19,1.2590736034336715e+17,1.4092128181290015e+19,1.759626624432812e+16
7,1.423563180787771e+19,1.2590736034336715e+17,1.4092128181290015e+19,1.759626624432812e+16
8,1.423563180787771e+19,1.2590736034336715e+17,1.4092128181290015e+19,1.759626624432812e+16
9,1.423563180787771e+19,1.2590736034336715e+17,1.4092128181290015e+19,1.759626624432812e+16
10,9.854518816674122e+18,3.049854783975929e+17,9.546779582960052e+18,2753755316476738.5
11,2.0366662221407396e+18,1.0584106516064547e+17,1.9304562416576947e+18,368915322399430.25
12,2.0366662221407396e+18,1.0584106516064547e+17,1.9304562416576947e+18,368915322399430.25
13,2.0366662221407396e+18,1.0584106516064547e+17,1.9304562416576947e+18,368915322399430.25
14,1.6527101103219633e+18,9.354191874786837e+16,1.5588970398341765e+18,271151739918239.6
15,6.873330744601004e+17,3882905825719851.5,6.821638461697528e+17,1286322464627672.0
16,2.9737063247037894e+17,9735872623543914.0,2.8698914312715555e+17,645616719679458.2
17,2.9737063247037894e+17,9735872623543914.0,2.8698914312715555e+17,645616719679458.2
18,2.2787725655965955e+17,3.506307255111611e+16,1.9276705132981578e+17,47132678727663.87
19,1.9288777657383616e+17,3.240243927716821e+16,1.604222493663005e+17,63087930367433.05
20,1.9288777657383616e+17,3.240243927716821e+16,1.604222493663005e+17,63087930367433.05
21,1.549449512690047e+17,1.6434303838095538e+16,1.3819023108883248e+17,320416342076680.56
22,1.438398332782179e+17,2.6611580460174656e+16,1.1711989840150258e+17,108354416540666.88
23,1.4204111084885765e+17,1.7870548435348192e+16,1.2389629159359747e+17,274270819911988.53
24,1.3947836757106048e+17,2.581717322336052e+16,1.1354114571526403e+17,120048632435939.81
25,1.3298245637827722e+17,1.966787707261107e+16,1.1308663098696643e+17,227948318699705.94
26,1.313244962424427e+17,2.369826206174653e+16,1.0747841625945232e+17,147817921243857.66
27,1.3088868083904926e+17,2.033536455064943e+16,1.1034125742702837e+17,212058861371476.6
28,1.3088868083904926e+17,2.033536455064943e+16,1.1034125742702837e+17,212058861371476.6
29,1.2964736696856069e+17,2.1039070634781576e+16,1.084112872398708e+17,197009093908299.5
30,1.2944970752454662e+17,2.2626951231719756e+16,1.0665666632528358e+17,166089967543277.44
31,1.2932089943282837e+17,2.236824618143011e+16,1.0678140201022173e+17,171251241176531.25
32,1.2932089943282837e+17,2.236824618143011e+16,1.0678140201022173e+17,171251241176531.25
33,1.2918981112314253e+17,2.153967463337708e+16,1.0746337229943672e+17,186764190328739.6
34,1.2912731245908997e+17,2.1665001490786216e+16,1.0727806491106563e+17,184246057238123.94
35,1.2912731245908997e+17,2.1665001490786216e+16,1.0727806491106563e+17,184246057238123.94
36,1.2912731245908997e+17,2.1665001490786216e+16,1.0727806491106563e+17,184246057238123.94
37,1.2908420087840142e+17,2.208904269616762e+16,1.0681923116509534e+17,175927017138463.88
38,1.2908380352803467e+17,2.2000917826654484e+16,1.0690519865976917e+17,177687041611031.88
39,1.2908151907227117e+17,2.1728052243159616e+16,1.0717058122858898e+17,182885600522582.6
40,1.2907797190102242e+17,2.2076777875177788e+16,1.0682504925461712e+17,176144771227508.16
41,1.2907797190102242e+17,2.2076777875177788e+16,1.0682504925461712e+17,176144771227508.16
42,1.2906843816953302e+17,2.1723184221377524e+16,1.0716233767576458e+17,182916272390933.34
43,1.2906029623056398e+17,2.19927508750209e+16,1.068898085131625e+17,177736842380591.2
44,1.2905851477426877e+17,2.208031280507081e+16,1.0680222231094726e+17,175979658250689.0
45,1.2904261620986965e+17,2.1787329579035788e+16,1.0707368094791938e+17,181605682914472.6
46,1.2904261620986965e+17,2.1787329579035788e+16,1.0707368094791938e+17,181605682914472.6
47,1.2902420371205098e+17,2.172020391768474e+16,1.0712122862719334e+17,182771167172892.28
48,1.2902420371205098e+17,2.172020391768474e+16,1.0712122862719334e+17,182771167172892.28
49,1.2899190568701546e+17,2.176195905968012e+16,1.0704809772108338e+17,181848906251967.47
50,1.2894643093935979e+17,2.1838001236324504e+16,1.0692822455328128e+17,180205149753997.2
51,1.2894643093935979e+17,2.1838001236324504e+16,1.0692822455328128e+17,180205149753997.2
52,1.2884805169445112e+17,2.177580811355393e+16,1.0689131274655546e+17,180930834341746.47
53,1.2876385898156398e+17,2.1706129237139876e+16,1.0687587882011923e+17,181850924304884.1
54,1.2876385898156398e+17,2.1706129237139876e+16,1.0687587882011923e+17,181850924304884.1
55,1.2847329505978642e+17,2.1736325236273616e+16,1.0655701620620058e+17,179953617312228.4
56,1.2847329505978642e+17,2.1736325236273616e+16,1.0655701620620058e+17,179953617312228.4
57,1.2826213628366939e+17,2.138953274274932e+16,1.0668726026165502e+17,185343279265046.53
58,1.2763617525535525e+17,2.1518637985780856e+16,1.059373274399264e+17,180209829647984.06
59,1.2763617525535525e+17,2.1518637985780856e+16,1.059373274399264e+17,180209829647984.06
60,1.2695956812622902e+17,2.0734901464010052e+16,1.0603384041427667e+17,190826247942296.84
61,1.2574977989441598e+17,2.076490232811113e+16,1.047996189583094e+17,185258607995435.28
62,1.2466387536855112e+17,2.043657829694213e+16,1.0404116424751848e+17,186132824090512.1
63,1.2334290923664398e+17,1.8954816658938956e+16,1.0418549297311592e+17,202599604589099.72
64,1.1954512632502554e+17,1.8697430024938716e+16,1.0065571432210938e+17,191981977977443.53
65,1.1954512632502554e+17,1.8697430024938716e+16,1.0065571432210938e+17,191981977977443.53
66,1.1831371508376304e+17,1.5052974911178876e+16,1.0303366844608906e+17,227071726495104.9
67,1.1138344392919331e+17,1.3978084195891326e+16,9.718999899437998e+16,215360738921996.03
68,1.1138344392919331e+17,1.3978084195891326e+16,9.718999899437998e+16,215360738921996.03
69,1.1138344392919331e+17,1.3978084195891326e+16,9.718999899437998e+16,215360738921996.03
70,1.080381289602649e+17,8627555847722676.0,9.91748370721974e+16,235736040344816.5
71,1.0148738813594931e+17,1.5379099726473476e+16,8.593880901157648e+16,169479397899356.44
72,8.732064509185896e+16,9955531923603114.0,7.718886670517179e+16,176246463084044.4
73,6.999481771115063e+16,6421404727747507.0,6.342365584378945e+16,149757139613679.5
74,6.999481771115063e+16,6421404727747507.0,6.342365584378945e+16,149757139613679.5
75,4.54546718196496e+16,1761850969268683.5,4.359313437660404e+16,99686473776883.61
76,1.5791235383368382e+16,1028001085226539.6,1.4728298504050776e+16,34935794091066.8
77,1.5791235383368382e+16,1028001085226539.6,1.4728298504050776e+16,34935794091066.8
78,1.5791235383368382e+16,1028001085226539.6,1.4728298504050776e+16,34935794091066.8
79,1.0679371155227366e+16,1056337294747948.8,9600537862249802.0,22495998229616.49
80,3727711568772236.0,516573037025891.75,3210796550075537.5,341981670807.23553
81,3727711568772236.0,516573037025891.75,3210796550075537.5,341981670807.23553
82,371464895062496.44,973923521571.6058,370289613293704.5,201358247220.33957
83,371464895062496.44,973923521571.6058,370289613293704.5,201358247220.33957
84,371464895062496.44,973923521571.6058,370289613293704.5,201358247220.33957
85,371464895062496.44,973923521571.6058,370289613293704.5,201358247220.33957
86,371464895062496.44,973923521571.6058,370289613293704.5,201358247220.33957
87,203599743971232.66,631702176313.5022,202835684671611.03,132357123308.12419
88,121798057883845.8,22557284634167.69,99143457620154.94,97315629523.16902
89,73002999471424.34,11133233277341.777,61864926806781.73,4839387300.843207
