iteration,total_cost,jerk_cost,time_cost,position_cost
0,2.3732171903814835e+20,2.106288625991923e+20,2.532471698232986e+19,1.3681394566261594e+18
1,2.3732171903814835e+20,2.106288625991923e+20,2.532471698232986e+19,1.3681394566261594e+18
2,2.0443094505864675e+20,1.813724614171392e+20,2.1875624780442366e+19,1.1828588610651666e+18
3,1.3389351412016924e+20,1.1858428443390588e+20,1.4520708077966664e+19,7.885216082967037e+17
4,1.3389351412016924e+20,1.1858428443390588e+20,1.4520708077966664e+19,7.885216082967037e+17
5,4.433439197064832e+19,3.900183358956834e+19,5.053814584859856e+18,2.7874379622012643e+17
6,1.558512769909197e+18,1.2590738705949146e+18,2.8184262887197702e+17,1.7596270442305588e+16
7,1.558512769909197e+18,1.2590738705949146e+18,2.8184262887197702e+17,1.7596270442305588e+16
8,1.558512769909197e+18,1.2590738705949146e+18,2.8184262887197702e+17,1.7596270442305588e+16
9,1.558512769909197e+18,1.2590738705949146e+18,2.8184262887197702e+17,1.7596270442305588e+16
10,1.558512769909197e+18,1.2590738705949146e+18,2.8184262887197702e+17,1.7596270442305588e+16
11,1.0973889488443085e+18,1.0584109008374158e+18,3.86091326297166e+16,368915377176011.6
12,4.465446041471671e+17,4.399704220368455e+17,6542632331100775.0,31549779220781.605
13,4.23345167971545e+17,3.059643445054304e+17,1.0994888189899066e+17,7431941567123945.0
14,2.4200543732833334e+17,1.5800082223628637e+17,7.845729395990171e+16,5547321132145242.0
15,2.4200543732833334e+17,1.5800082223628637e+17,7.845729395990171e+16,5547321132145242.0
16,9.27682845989392e+16,8.55090956397794e+16,6542228727115686.0,716960232044127.0
17,9.27682845989392e+16,8.55090956397794e+16,6542228727115686.0,716960232044127.0
18,6.6255824268056376e+16,5.482079109223326e+16,1.0396317733131398e+16,1038715442691712.5
19,6.6255824268056376e+16,5.482079109223326e+16,1.0396317733131398e+16,1038715442691712.5
20,5.981375570008327e+16,2.6310581015607456e+16,3.099707013931654e+16,2506104545159274.5
21,5.301536089934313e+16,3.740046851318133e+16,1.4278705651920986e+16,1336186734240819.8
22,5.301536089934313e+16,3.740046851318133e+16,1.4278705651920986e+16,1336186734240819.8
23,4.953583436438716e+16,3.1705041053520936e+16,1.634199710279641e+16,1488796208069818.0
24,4.944997380944807e+16,2.266289497185571e+16,2.4707194800059144e+16,2079884037533219.8
25,4.8094968810367704e+16,2.312613657891371e+16,2.3005667823021348e+16,1963164408432649.2
26,4.8094968810367704e+16,2.312613657891371e+16,2.3005667823021348e+16,1963164408432649.2
27,4.7407538745273384e+16,2.685750092775273e+16,1.8878150883898024e+16,1671886933622628.8
28,4.7407538745273384e+16,2.685750092775273e+16,1.8878150883898024e+16,1671886933622628.8
29,4.723843290423419e+16,2.61677037018623e+16,1.936420420531064e+16,1706524997061251.5
30,4.723843290423419e+16,2.61677037018623e+16,1.936420420531064e+16,1706524997061251.5
31,4.7178517841412456e+16,2.4349380679232956e+16,2.1006408392424092e+16,1822728769755408.5
32,4.716690144694044e+16,2.5695173145788644e+16,1.9738541340191744e+16,1733186960960053.5
33,4.716167330292045e+16,2.4585312370680556e+16,2.077012114927729e+16,1806239782962609.8
34,4.713838517687084e+16,2.546378224670817e+16,1.992799910372762e+16,1746603826435049.0
35,4.7128162682453736e+16,2.476393269004512e+16,2.0572067844868516e+16,1792162147540103.8
36,4.7128162682453736e+16,2.476393269004512e+16,2.0572067844868516e+16,1792162147540103.8
37,4.7128162682453736e+16,2.476393269004512e+16,2.0572067844868516e+16,1792162147540103.8
38,4.712402558093269e+16,2.5210203938927604e+16,2.0151379327950404e+16,1762442314054683.8
39,4.712321024642117e+16,2.531293333618125e+16,2.005472181033305e+16,1755555099906875.2
40,4.711565630630182e+16,2.489303125049763e+16,2.043983904917815e+16,1782786006626036.2
41,4.711565630630182e+16,2.489303125049763e+16,2.043983904917815e+16,1782786006626036.2
42,4.7111993111606936e+16,2.4889075515399964e+16,2.0440137374910548e+16,1782780221296426.2
43,4.7111993111606936e+16,2.4889075515399964e+16,2.0440137374910548e+16,1782780221296426.2
44,4.710192570511613e+16,2.499424258475449e+16,2.0332559891236988e+16,1775123229124658.2
45,4.710192570511613e+16,2.499424258475449e+16,2.0332559891236988e+16,1775123229124658.2
46,4.709448602388574e+16,2.477570013877991e+16,2.052983398514726e+16,1788951899958573.0
47,4.7074109287800344e+16,2.509066534627116e+16,2.021671572906537e+16,1766728212463815.2
48,4.7074109287800344e+16,2.509066534627116e+16,2.021671572906537e+16,1766728212463815.2
49,4.7039933552004696e+16,2.4683099751299256e+16,2.056577148404409e+16,1791062316661352.0
50,4.699898564287644e+16,2.5026008820825976e+16,2.020743943845048e+16,1765537383599982.0
51,4.696422441171087e+16,2.519065714548311e+16,2.0021482019817436e+16,1752085246410324.5
52,4.684182202411248e+16,2.470729584359935e+16,2.035940399762654e+16,1775122182886592.2
53,4.684182202411248e+16,2.470729584359935e+16,2.035940399762654e+16,1775122182886592.2
54,4.664624967001091e+16,2.5117466950371364e+16,1.97950428762747e+16,1733739843364851.8
55,4.6391980648496376e+16,2.4711428512668636e+16,1.993838851057276e+16,1742163625254987.2
56,4.6391980648496376e+16,2.4711428512668636e+16,1.993838851057276e+16,1742163625254987.2
57,4.579154939181236e+16,2.4846331694794556e+16,1.925588574137614e+16,1689331955641666.5
58,4.5310605404289224e+16,2.375409002042725e+16,1.9829886985599916e+16,1726628398262059.8
59,4.470735574373888e+16,2.4493411601200196e+16,1.858043428293978e+16,1633509859598902.2
60,4.30327319163684e+16,2.3646566725930224e+16,1.7818609578754468e+16,1567555611683713.2
61,4.143668918693456e+16,2.217717175494859e+16,1.7710416112223734e+16,1549101319762228.0
62,3.925141291350234e+16,2.3231416010871876e+16,1.47049447381922e+16,1315052164438258.5
63,3.4513147300016892e+16,2.0059523853134096e+16,1.3271586562336064e+16,1182036884546732.0
64,2.9880056394297756e+16,1.8407553183346412e+16,1.0522714481582698e+16,949788729368642.1
65,2.6071915440643344e+16,2.0199478724311476e+16,5354354920153004.0,518081796178863.0
66,1.643448408421953e+16,1.3833812240446456e+16,2362205578918023.5,238466264855049.47
67,1.643448408421953e+16,1.3833812240446456e+16,2362205578918023.5,238466264855049.47
68,1.643448408421953e+16,1.3833812240446456e+16,2362205578918023.5,238466264855049.47
69,1.643448408421953e+16,1.3833812240446456e+16,2362205578918023.5,238466264855049.47
70,1.3325776139610334e+16,1.1327698354732524e+16,1813796671102834.8,184281113774975.1
71,6729999222814795.0,6646160594270295.0,76179058984424.34,7659569560075.523
72,6729999222814795.0,6646160594270295.0,76179058984424.34,7659569560075.523
73,6729999222814795.0,6646160594270295.0,76179058984424.34,7659569560075.523
74,6729999222814795.0,6646160594270295.0,76179058984424.34,7659569560075.523
75,6398975379992089.0,4669978175132765.0,1687683611138818.8,41313593720505.39
76,4226330664079951.0,4069358144943534.5,140460752000451.45,16511767135965.129
77,920320684718203.0,911764484574041.4,8287904148734.292,268295995427.39017
78,920320684718203.0,911764484574041.4,8287904148734.292,268295995427.39017
79,920320684718203.0,911764484574041.4,8287904148734.292,268295995427.39017
80,436469535293091.94,385485234607244.0,49128739433022.09,1855561252825.8003
81,383907770241626.1,273764394374908.38,100689260873167.62,9454114993550.11
82,372672130818266.0,167376066816921.44,189461576565911.88,15834487435432.684
83,234784544979315.53,225318207743850.25,8475567320854.273,990769914611.0088
84,18020232952094.785,16862064589149.812,1109841556362.0828,48326806582.89033
85,18020232952094.785,16862064589149.812,1109841556362.0828,48326806582.89033
86,18020232952094.785,16862064589149.812,1109841556362.0828,48326806582.89033
87,18020232952094.785,16862064589149.812,1109841556362.0828,48326806582.89033
88,18020232952094.785,16862064589149.812,1109841556362.0828,48326806582.89033
89,7173480467575.003,3265031720184.114,3793495956985.137,114952790405.75215
90,2637220308553.888,2601964831988.721,31907332171.726,3348144393.4409256
91,2637220308553.888,2601964831988.721,31907332171.726,3348144393.4409256
92,1878359928287.316,1829132860733.873,47255838049.32794,1971229504.1150389
93,1878359928287.316,1829132860733.873,47255838049.32794,1971229504.1150389
94,1878359928287.316,1829132860733.873,47255838049.32794,1971229504.1150389
95,120549644025.00352,101622161555.2974,18530177892.70395,397304577.00217474
96,120549644025.00352,101622161555.2974,18530177892.70395,397304577.00217474
97,47963736062.36628,22910134453.96853,23244014737.047615,1809586871.3501391
98,47963736062.36628,22910134453.96853,23244014737.047615,1809586871.3501391
