iteration,total_cost,jerk_cost,time_cost,position_cost
0,2.373217088179612e+20,2.1062885374293338e+20,2.5324715691787117e+19,1.3681393832406733e+18
1,2.373217088179612e+20,2.1062885374293338e+20,2.5324715691787117e+19,1.3681393832406733e+18
2,2.0443093609050984e+20,1.813724536592618e+20,2.1875623635506704e+19,1.1828587957413606e+18
3,1.3389350776347707e+20,1.1858427896887257e+20,1.4520707234908422e+19,7.885215596960841e+17
4,1.3389350776347707e+20,1.1858427896887257e+20,1.4520707234908422e+19,7.885215596960841e+17
5,4.4334389245053305e+19,3.900183129147242e+19,5.053814181315889e+18,2.7874377226499328e+17
6,1.5585124310156088e+18,1.259073609870524e+18,2.8184255549315178e+17,1.759626565193323e+16
7,1.5585124310156088e+18,1.259073609870524e+18,2.8184255549315178e+17,1.759626565193323e+16
8,1.5585124310156088e+18,1.259073609870524e+18,2.8184255549315178e+17,1.759626565193323e+16
9,1.5585124310156088e+18,1.259073609870524e+18,2.8184255549315178e+17,1.759626565193323e+16
10,1.5585124310156088e+18,1.259073609870524e+18,2.8184255549315178e+17,1.759626565193323e+16
11,1.0973891248968212e+18,1.0584110554590944e+18,3.860915370849414e+16,368915729232611.44
12,4.465447127601025e+17,4.399705236796198e+17,6542639312585190.0,31549767897566.18
13,4.233450056347624e+17,3.0596422791306643e+17,1.0994883907784413e+17,7431938643851766.0
14,2.4200531525618253e+17,1.5800073915091123e+17,7.845725752068115e+16,5547318584590147.0
15,2.4200531525618253e+17,1.5800073915091123e+17,7.845725752068115e+16,5547318584590147.0
16,9.27683118212077e+16,8.5509132707749e+16,6542219739229435.0,716959374229257.9
17,9.27683118212077e+16,8.5509132707749e+16,6542219739229435.0,716959374229257.9
18,6.6255835603566536e+16,5.48208155155506e+16,1.0396305692546248e+16,1038714395469688.5
19,6.6255835603566536e+16,5.48208155155506e+16,1.0396305692546248e+16,1038714395469688.5
20,5.981371155124043e+16,2.631056057721065e+16,3.0997048090248972e+16,2506102883780813.0
21,5.301535918693034e+16,3.740048245571492e+16,1.4278691192830726e+16,1336185538384690.2
22,5.301535918693034e+16,3.740048245571492e+16,1.4278691192830726e+16,1336185538384690.2
23,4.953582659042554e+16,3.170505014428496e+16,1.6341981504289548e+16,1488794941851022.2
24,4.94499445283037e+16,2.2662886740870484e+16,2.4707175258086456e+16,2079882529346755.0
25,4.809494365014289e+16,2.312613170728752e+16,2.3005648999275904e+16,1963162943579467.8
26,4.809494365014289e+16,2.312613170728752e+16,2.3005648999275904e+16,1963162943579467.8
27,4.740752397418013e+16,2.6857504394161484e+16,1.8878133992129124e+16,1671885587889518.5
28,4.740752397418013e+16,2.6857504394161484e+16,1.8878133992129124e+16,1671885587889518.5
29,4.7238416844878616e+16,2.6167706131742304e+16,1.936418707638304e+16,1706523636753274.5
30,4.7238416844878616e+16,2.6167706131742304e+16,1.936418707638304e+16,1706523636753274.5
31,4.71784975558116e+16,2.434937970805026e+16,2.1006390486061596e+16,1822727361699747.8
32,4.7166884415493656e+16,2.56951747956325e+16,1.9738524030356604e+16,1733185589504555.5
33,4.716165363040037e+16,2.4585311899257136e+16,2.077010334979245e+16,1806238381350784.0
34,4.713836765082371e+16,2.5463783497890364e+16,1.99279817034968e+16,1746602449436545.5
35,4.71281435023855e+16,2.476393261035259e+16,2.057205014019328e+16,1792160751839635.5
36,4.71281435023855e+16,2.476393261035259e+16,2.057205014019328e+16,1792160751839635.5
37,4.71281435023855e+16,2.476393261035259e+16,2.057205014019328e+16,1792160751839635.5
38,4.712400747983681e+16,2.521020472804598e+16,2.015136182128447e+16,1762440930506358.8
39,4.712319238998055e+16,2.531293432022795e+16,2.005470435048051e+16,1755553719272087.0
