iteration,total_cost,jerk_cost,time_cost,position_cost
0,2.3732171904946422e+20,2.1062886273392316e+20,2.532471686768849e+19,1.3681394478525732e+18
1,2.3732171904946422e+20,2.1062886273392316e+20,2.532471686768849e+19,1.3681394478525732e+18
2,2.0443094497753052e+20,1.81372461467784e+20,2.187562465787221e+19,1.1828588518743222e+18
3,1.3389351388963463e+20,1.1858428433101446e+20,1.452070795889954e+19,7.885215997206373e+17
4,1.3389351388963463e+20,1.1858428433101446e+20,1.452070795889954e+19,7.885215997206373e+17
5,4.4334391638411485e+19,3.90018333646887e+19,5.053814484454874e+18,2.7874378926790678e+17
6,1.5585126625004524e+18,1.2590737954780854e+18,2.818425987091676e+17,1.7596268313199316e+16
7,1.5585126625004524e+18,1.2590737954780854e+18,2.818425987091676e+17,1.7596268313199316e+16
8,1.5585126625004524e+18,1.2590737954780854e+18,2.818425987091676e+17,1.7596268313199316e+16
9,1.5585126625004524e+18,1.2590737954780854e+18,2.818425987091676e+17,1.7596268313199316e+16
10,1.5585126625004524e+18,1.2590737954780854e+18,2.818425987091676e+17,1.7596268313199316e+16
11,1.0973890315916902e+18,1.0584109723629151e+18,3.860914365537776e+16,368915573397388.2
12,4.465446502637401e+17,4.3997046474322086e+17,6542635750353588.0,31549770165629.844
13,4.2334510821399546e+17,3.059643054877374e+17,1.0994886257434018e+17,7431940151917878.0
14,2.4200539067402528e+17,1.580007933423552e+17,7.84572774332507e+16,5547319898419380.0
15,2.4200539067402528e+17,1.580007933423552e+17,7.84572774332507e+16,5547319898419380.0
16,9.276829309910437e+16,8.550910912906806e+16,6542224188044968.0,716959781991350.5
17,9.276829309910437e+16,8.550910912906806e+16,6542224188044968.0,716959781991350.5
18,6.6255826152550744e+16,5.482079947608613e+16,1.0396311776111874e+16,1038714900352742.1
19,6.6255826152550744e+16,5.482079947608613e+16,1.0396311776111874e+16,1038714900352742.1
20,5.98137359638968e+16,2.6310572633401116e+16,3.0997059624835228e+16,2506103705660455.5
21,5.301535749860974e+16,3.740047281695375e+16,1.4278698563650302e+16,1336186118005689.2
22,5.301535749860974e+16,3.740047281695375e+16,1.4278698563650302e+16,1336186118005689.2
23,4.9535828561577304e+16,3.1705043502659584e+16,1.6341989500495674e+16,1488795558422047.2
24,4.944995966274732e+16,2.266289098416243e+16,2.4707185407463496e+16,2079883271121391.0
25,4.809495624322399e+16,2.312613381941312e+16,2.3005658760435924e+16,1963163663374955.0
26,4.809495624322399e+16,2.312613381941312e+16,2.3005658760435924e+16,1963163663374955.0
27,4.7407530192889576e+16,2.685750125668786e+16,1.88781426907915e+16,1671886245410214.8
28,4.7407530192889576e+16,2.685750125668786e+16,1.88781426907915e+16,1671886245410214.8
29,4.723842384728921e+16,2.616770364289203e+16,1.9364195902730764e+16,1706524301666411.0
30,4.723842384728921e+16,2.616770364289203e+16,1.9364195902730764e+16,1706524301666411.0
31,4.717850714604324e+16,2.4349379356026764e+16,2.1006399738547536e+16,1822728051468938.2
32,4.7166892013582136e+16,2.569517279616789e+16,1.9738532957081436e+16,1733186260332804.8
33,4.716166284533789e+16,2.458531123263927e+16,2.0770112544828492e+16,1806239067870126.5
34,4.713837555029456e+16,2.546378174841849e+16,1.992799067880951e+16,1746603123066563.5
35,4.712815241495411e+16,2.476393169725279e+16,2.0572059282487564e+16,1792161435213760.5
36,4.712815241495411e+16,2.476393169725279e+16,2.0572059282487564e+16,1792161435213760.5
37,4.712815241495411e+16,2.476393169725279e+16,2.0572059282487564e+16,1792161435213760.5
38,4.7124015731466664e+16,2.5210203268783524e+16,2.015137085512032e+16,1762441607562820.5
39,4.712320049193614e+16,2.5312932738589696e+16,2.0054713358545244e+16,1755554394801196.0
40,4.711564616740043e+16,2.4893030356573844e+16,2.04398305147043e+16,1782785296122291.2
41,4.711564616740043e+16,2.4893030356573844e+16,2.04398305147043e+16,1782785296122291.2
42,4.7111982971530264e+16,2.4889074620064604e+16,2.044012884064831e+16,1782779510817353.8
43,4.7111982971530264e+16,2.4889074620064604e+16,2.044012884064831e+16,1782779510817353.8
44,4.710191566904898e+16,2.499424176906805e+16,2.033255137983656e+16,1775122520144366.8
45,4.710191566904898e+16,2.499424176906805e+16,2.033255137983656e+16,1775122520144366.8
