iteration,total_cost,jerk_cost,time_cost,position_cost
0,2.1329810823597575e+21,2.106288230723498e+21,2.5324712423021814e+19,1.3681392132376635e+18
1,2.1329810823597575e+21,2.106288230723498e+21,2.5324712423021814e+19,1.3681392132376635e+18
2,1.8367827545019434e+21,1.8137242749848888e+21,2.187562086505392e+19,1.182858652000796e+18
3,1.2011518533929743e+21,1.1858426263645247e+21,1.4520705554969889e+19,7.885214734797528e+17
4,1.2011518533929743e+21,1.1858426263645247e+21,1.4520705554969889e+19,7.885214734797528e+17
5,3.953508265117844e+20,3.900182689541511e+20,5.053813803270839e+18,2.7874375436246054e+17
6,1.2890177231759956e+19,1.259073832992887e+19,2.8184263112748822e+17,1.7596270703598356e+16
7,1.2890177231759956e+19,1.259073832992887e+19,2.8184263112748822e+17,1.7596270703598356e+16
8,1.2890177231759956e+19,1.259073832992887e+19,2.8184263112748822e+17,1.7596270703598356e+16
9,1.2890177231759956e+19,1.259073832992887e+19,2.8184263112748822e+17,1.7596270703598356e+16
10,1.2890177231759956e+19,1.259073832992887e+19,2.8184263112748822e+17,1.7596270703598356e+16
11,1.0623083129161955e+19,1.0584105109231008e+19,3.8609104945548104e+16,368914985400305.44
12,4.406276413348007e+18,4.399702239044964e+18,6542624522725817.0,31549780316943.207
13,3.177024694228753e+18,3.059643856537618e+18,1.0994889524078918e+17,7431942450345810.0
14,1.664013282734918e+18,1.580008651784455e+18,7.845730883005118e+16,5547322120411863.0
15,1.664013282734918e+18,1.580008651784455e+18,7.845730883005118e+16,5547322120411863.0
16,8.623495964603882e+17,8.550904004479564e+17,6542235192959012.0,716960819472944.0
17,7.192422896162726e+17,6.647870180264708e+17,5.066886222399526e+16,3786409365806647.0
18,5.596425880259465e+17,5.482075458323307e+17,1.039632606893864e+16,1038716124677155.4
19,4.9848992624855526e+17,4.526416912177523e+17,4.257334528683458e+16,3274889743968413.0
20,3.3663428663273914e+17,3.189556761842837e+17,1.6200747330348358e+16,1477863118107062.8
21,3.3663428663273914e+17,3.189556761842837e+17,1.6200747330348358e+16,1477863118107062.8
22,2.928884651624497e+17,2.725861462416419e+17,1.8646703382077004e+16,1655615538730803.8
23,2.928884651624497e+17,2.725861462416419e+17,1.8646703382077004e+16,1655615538730803.8
24,2.6345296929701142e+17,2.3375211506308026e+17,2.743427720890794e+16,2266577025023227.0
25,2.6345296929701142e+17,2.3375211506308026e+17,2.743427720890794e+16,2266577025023227.0
26,2.5858456549674106e+17,2.298074833067422e+17,2.656836300164867e+16,2208719188350187.5
27,2.5858456549674106e+17,2.298074833067422e+17,2.656836300164867e+16,2208719188350187.5
28,2.5644047506584912e+17,2.317060038160314e+17,2.2787070166586116e+16,1947401083231614.0
29,2.5468790441436467e+17,2.2708026625560374e+17,2.5474570012668476e+16,2133068146092452.5
30,2.5468790441436467e+17,2.2708026625560374e+17,2.5474570012668476e+16,2133068146092452.5
31,2.5439643411716195e+17,2.2711553367953485e+17,2.5168427789186948e+16,2112472648440172.8
32,2.542595934301523e+17,2.285616681735675e+17,2.3687891394624348e+16,2010033861960451.8
33,2.5395475986307024e+17,2.2793853989807635e+17,2.3985509601706316e+16,2030710363287581.2
34,2.53881549544419e+17,2.269184605080957e+17,2.4871349014046544e+16,2091740022276748.0
35,2.538509416848828e+17,2.2710197154783184e+17,2.4670873559904772e+16,2078096577146202.0
36,2.538354886260388e+17,2.277013415331024e+17,2.4095850076207988e+16,2038297016728385.5
37,2.537716307687147e+17,2.2745738692936445e+17,2.426427860750172e+16,2049965231848496.5
38,2.5375066876395862e+17,2.2707072651737936e+17,2.4606404182465896e+16,2073538064113364.5
39,2.5375066876395862e+17,2.2707072651737936e+17,2.4606404182465896e+16,2073538064113364.5
40,2.5375066876395862e+17,2.2707072651737936e+17,2.4606404182465896e+16,2073538064113364.5
41,2.5374562134718422e+17,2.273274272130379e+17,2.436151853269059e+16,2056675601455730.0
42,2.5369780678852093e+17,2.273978077141863e+17,2.4251058757003456e+16,2048940317331155.5
43,2.5369780678852093e+17,2.273978077141863e+17,2.4251058757003456e+16,2048940317331155.5
44,2.5369780678852093e+17,2.273978077141863e+17,2.4251058757003456e+16,2048940317331155.5
45,2.5356579665232333e+17,2.2717437819864355e+17,2.4336721963496856e+16,2054696490182909.5
46,2.5356579665232333e+17,2.2717437819864355e+17,2.4336721963496856e+16,2054696490182909.5
47,2.5356579665232333e+17,2.2717437819864355e+17,2.4336721963496856e+16,2054696490182909.5
48,2.533458983536968e+17,2.2679487376662826e+17,2.448633398163452e+16,2064690605434003.0
49,2.533458983536968e+17,2.2679487376662826e+17,2.448633398163452e+16,2064690605434003.0
50,2.532879561900324e+17,2.265478294782585e+17,2.4663420042446624e+16,2076706669327259.2
51,2.528892274863683e+17,2.261508019296417e+17,2.466241820240583e+16,2076007354320756.2
52,2.528892274863683e+17,2.261508019296417e+17,2.466241820240583e+16,2076007354320756.2
53,2.528892274863683e+17,2.261508019296417e+17,2.466241820240583e+16,2076007354320756.2
54,2.528892274863683e+17,2.261508019296417e+17,2.466241820240583e+16,2076007354320756.2
55,2.5234732606072182e+17,2.252519975708142e+17,2.49977497701108e+16,2097578719796823.5
56,2.5234732606072182e+17,2.252519975708142e+17,2.49977497701108e+16,2097578719796823.5
57,2.5176777355564138e+17,2.2476571159993405e+17,2.4911227572855956e+16,2090834382851356.8
58,2.507230572896954e+17,2.2363268644858397e+17,2.499584867752573e+16,2094522163585681.5
59,2.507230572896954e+17,2.2363268644858397e+17,2.499584867752573e+16,2094522163585681.5
60,2.4979431160581824e+17,2.222319140905593e+17,2.544151871640602e+16,2120878798852942.8
61,2.4918530517300035e+17,2.2284377938543664e+17,2.4296259972949776e+16,2045265814613930.5
62,2.4568705269559754e+17,2.187044130023387e+17,2.4903992145694188e+16,2078647547564672.5
63,2.424756612766651e+17,2.1577658077012925e+17,2.4643568118364092e+16,2055512388171755.5
64,2.3855610181262768e+17,2.1361520420487667e+17,2.300060982592588e+16,1940287781825134.5
65,2.3104590871831562e+17,2.051272350135836e+17,2.393577807454458e+16,1982895630187432.2
66,2.1748561380343283e+17,1.9383685074862016e+17,2.182280266047937e+16,1825960394333307.0
67,2.0027845611771923e+17,1.7899236499928806e+17,1.963498967164127e+16,1651101446789876.8
68,1.8438586341947958e+17,1.6340533126905533e+17,1.9396564222635604e+16,1583967927788630.5
69,1.4037647353784166e+17,1.2536477338374618e+17,1.3848647903371834e+16,1163052250723640.5
70,9.820310584196958e+16,8.703270246591256e+16,1.0325160516182952e+16,845242859874071.1
71,7.386010933139173e+16,6.723262029400304e+16,6155834565955328.0,471654471433367.2
72,4372701661029317.5,3979679910648265.5,365044920571432.06,27976829809619.816
73,4372701661029317.5,3979679910648265.5,365044920571432.06,27976829809619.816
74,4372701661029317.5,3979679910648265.5,365044920571432.06,27976829809619.816
75,4372701661029317.5,3979679910648265.5,365044920571432.06,27976829809619.816
76,4372701661029317.5,3979679910648265.5,365044920571432.06,27976829809619.816
77,4372701661029317.5,3979679910648265.5,365044920571432.06,27976829809619.816
78,4372701661029317.5,3979679910648265.5,365044920571432.06,27976829809619.816
79,3881466383197873.5,3530136955089435.0,326294441727293.5,25034986381144.875
80,3881466383197873.5,3530136955089435.0,326294441727293.5,25034986381144.875
81,1879337245953421.0,1876410871739947.0,2913152243317.393,13221970156.414352
82,1879337245953421.0,1876410871739947.0,2913152243317.393,13221970156.414352
83,1879337245953421.0,1876410871739947.0,2913152243317.393,13221970156.414352
84,293827271549813.06,277369567595278.28,15356482392079.781,1101221562454.9895
85,293827271549813.06,277369567595278.28,15356482392079.781,1101221562454.9895
86,293827271549813.06,277369567595278.28,15356482392079.781,1101221562454.9895
87,293007380190261.44,292182107523530.7,737569412436.2915,87703254294.45294
88,293007380190261.44,292182107523530.7,737569412436.2915,87703254294.45294
89,121468923930047.86,113755735232664.66,7469967196178.221,243221501204.97946
90,121468923930047.86,113755735232664.66,7469967196178.221,243221501204.97946
91,27762879587000.234,26884750493566.906,823797685721.5112,54331407711.81453
92,27762879587000.234,26884750493566.906,823797685721.5112,54331407711.81453
93,27762879587000.234,26884750493566.906,823797685721.5112,54331407711.81453
94,22264555626164.785,21436768941961.086,800388694409.9199,27397989793.779293
95,18161380531888.85,16602818465724.28,1448349311896.924,110212754267.64743
96,2536955961985.2954,2516680197476.2227,19951081068.83517,324683440.23799163
97,2536955961985.2954,2516680197476.2227,19951081068.83517,324683440.23799163
98,2536955961985.2954,2516680197476.2227,19951081068.83517,324683440.23799163
