iteration,total_cost,jerk_cost,time_cost,position_cost
0,2.1329813438952175e+21,2.1062884890993112e+21,2.532471542256752e+19,1.368139373338577e+18
1,2.1329813438952175e+21,2.1062884890993112e+21,2.532471542256752e+19,1.368139373338577e+18
2,1.8367829791262981e+21,1.813724496897999e+21,2.1875623439005676e+19,1.1828587892933965e+18
3,1.201151998804324e+21,1.1858427700125756e+21,1.452070722892223e+19,7.885215628261912e+17
4,1.201151998804324e+21,1.1858427700125756e+21,1.452070722892223e+19,7.885215628261912e+17
5,3.9535087239854575e+20,3.9001831427990795e+20,5.053814335899892e+18,2.7874378273788886e+17
6,1.2890178003225946e+19,1.2590739093219906e+19,2.8184263896910826e+17,1.759627103693196e+16
7,1.2890178003225946e+19,1.2590739093219906e+19,2.8184263896910826e+17,1.759627103693196e+16
8,1.2890178003225946e+19,1.2590739093219906e+19,2.8184263896910826e+17,1.759627103693196e+16
9,1.2890178003225946e+19,1.2590739093219906e+19,2.8184263896910826e+17,1.759627103693196e+16
10,1.2890178003225946e+19,1.2590739093219906e+19,2.8184263896910826e+17,1.759627103693196e+16
11,1.062308518212178e+19,1.0584107147468966e+19,3.860911945572756e+16,368915197086500.1
12,4.406277401878964e+18,4.3997032236978985e+18,6542628403119716.0,31549777945948.43
13,3.177024669915235e+18,3.0596438358708326e+18,1.0994889187730638e+17,7431942167095992.0
14,1.6640131790359037e+18,1.580008553335194e+18,7.845730394922445e+16,5547321751485102.0
15,1.6640131790359037e+18,1.580008553335194e+18,7.845730394922445e+16,5547321751485102.0
16,8.62349844330472e+17,8.550906517047645e+17,6542232097261054.0,716960528446327.0
17,7.19242185070705e+17,6.647869193150865e+17,5.066885679213792e+16,3786408963480701.0
18,5.596427450668397e+17,5.482077070802775e+17,1.0396322192490088e+16,1038715794072047.5
19,4.9848983568805523e+17,4.526416065870293e+17,4.257333976639353e+16,3274889334632403.0
20,3.3663435457594656e+17,3.189557490737945e+17,1.6200742749878002e+16,1477862752274070.8
21,3.3663435457594656e+17,3.189557490737945e+17,1.6200742749878002e+16,1477862752274070.8
22,2.928885065291429e+17,2.725861927673938e+17,1.864669859884739e+16,1655615162901771.0
23,2.928885065291429e+17,2.725861927673938e+17,1.864669859884739e+16,1655615162901771.0
24,2.6345293578630733e+17,2.337520871977084e+17,2.7434271961502892e+16,2266576627096041.0
25,2.6345293578630733e+17,2.337520871977084e+17,2.7434271961502892e+16,2266576627096041.0
26,2.5858453746033024e+17,2.298074608883272e+17,2.656835778055817e+16,2208718791444862.0
27,2.5858453746033024e+17,2.298074608883272e+17,2.656835778055817e+16,2208718791444862.0
28,2.5644047858596147e+17,2.3170601277080134e+17,2.278706512049819e+16,1947400694661958.8
29,2.546878880004293e+17,2.270802554092957e+17,2.5474564839585108e+16,2133067751548471.8
30,2.546878880004293e+17,2.270802554092957e+17,2.5474564839585108e+16,2133067751548471.8
31,2.5439642001392947e+17,2.2711552513255194e+17,2.51684226270448e+16,2112472254332728.2
32,2.542595899711507e+17,2.285616701976557e+17,2.3687886302307508e+16,2010033471187451.5
33,2.5395475420378032e+17,2.2793853973714045e+17,2.3985504494817412e+16,2030709971822464.2
34,2.5388153739479914e+17,2.2691845389942666e+17,2.487134386646848e+16,2091739628904005.0
35,2.5385093104262304e+17,2.271019664379848e+17,2.4670868420509136e+16,2078096184129095.8
36,2.5383548212380246e+17,2.277013405347332e+17,2.409584496405527e+16,2038296625014007.2
37,2.537716230396133e+17,2.2745738471251446e+17,2.4264273487343856e+16,2049964839754998.8
38,2.53750658530747e+17,2.270707218128829e+17,2.4606399046582252e+16,2073537671281862.2
39,2.53750658530747e+17,2.270707218128829e+17,2.4606399046582252e+16,2073537671281862.2
40,2.53750658530747e+17,2.270707218128829e+17,2.4606399046582252e+16,2073537671281862.2
41,2.537456129041629e+17,2.273274242870478e+17,2.4361513407968984e+16,2056675209146097.8
42,2.5369779910174214e+17,2.273978055384558e+17,2.42510536379774e+16,2048939925308924.5
43,2.5369779910174214e+17,2.273978055384558e+17,2.42510536379774e+16,2048939925308924.5
44,2.5369779910174214e+17,2.273978055384558e+17,2.42510536379774e+16,2048939925308924.5
45,2.53565788261197e+17,2.271743753218726e+17,2.433671684128488e+16,2054696098039489.5
46,2.53565788261197e+17,2.271743753218726e+17,2.433671684128488e+16,2054696098039489.5
47,2.53565788261197e+17,2.271743753218726e+17,2.433671684128488e+16,2054696098039489.5
48,2.5334588871685907e+17,2.267948696496098e+17,2.4486328854149212e+16,2064690213100055.5
49,2.5334588871685907e+17,2.267948696496098e+17,2.4486328854149212e+16,2064690213100055.5
50,2.5328794518867338e+17,2.2654782400406746e+17,2.46634149079086e+16,2076706276697318.0
51,2.5288921619595475e+17,2.2615079616291754e+17,2.4662413071084296e+16,2076006961952917.5
52,2.5288921619595475e+17,2.2615079616291754e+17,2.4662413071084296e+16,2076006961952917.5
53,2.5288921619595475e+17,2.2615079616291754e+17,2.4662413071084296e+16,2076006961952917.5
54,2.5288921619595475e+17,2.2615079616291754e+17,2.4662413071084296e+16,2076006961952917.5
55,2.52347311711202e+17,2.252519887522737e+17,2.4997744631572156e+16,2097578327356114.5
56,2.52347311711202e+17,2.252519887522737e+17,2.4997744631572156e+16,2097578327356114.5
57,2.5176775944701046e+17,2.2476570301402243e+17,2.4911222442075924e+16,2090833990912087.2
58,2.507230416336366e+17,2.2363267630737485e+17,2.4995843553905344e+16,2094521772356420.5
59,2.507230416336366e+17,2.2363267630737485e+17,2.4995843553905344e+16,2094521772356420.5
60,2.4979429110872326e+17,2.2223189910501085e+17,2.544151359525342e+16,2120878408458994.5
61,2.491852939089416e+17,2.228437735975188e+17,2.4296254886107144e+16,2045265425315675.5
62,2.4568703345848493e+17,2.187043992234583e+17,2.4903987074567544e+16,2078647160459058.8
63,2.4247564150469136e+17,2.1577656641586765e+17,2.464356308506653e+16,2055512003757180.2
64,2.3855609246932755e+17,2.136152001880667e+17,2.30006048792869e+16,1940287401973937.8
65,2.310458795280728e+17,2.05127211076144e+17,2.3935773194745556e+16,1982895257183242.5
66,2.174855973834811e+17,1.9383683941282016e+17,2.182279793945764e+16,1825960031203287.5
67,2.0027844398462595e+17,1.7899235769654554e+17,1.9634985188320636e+16,1651101099759775.2
68,1.8438582949909226e+17,1.6340530188532234e+17,1.939656001100909e+16,1583967602760842.2
69,1.4037646132694515e+17,1.2536476512385643e+17,1.3848644240644202e+16,1163051962444504.0
70,9.820308318821618e+16,8.703268304215243e+16,1.0325157523550756e+16,845242622512992.2
71,7.386008375103091e+16,6.723259697535584e+16,6155832471315013.0,471654304360063.4
72,4372696469080273.0,3979675273576944.0,365044407889840.2,27976787613489.117
73,4372696469080273.0,3979675273576944.0,365044407889840.2,27976787613489.117
74,4372696469080273.0,3979675273576944.0,365044407889840.2,27976787613489.117
75,4372696469080273.0,3979675273576944.0,365044407889840.2,27976787613489.117
76,4372696469080273.0,3979675273576944.0,365044407889840.2,27976787613489.117
77,4372696469080273.0,3979675273576944.0,365044407889840.2,27976787613489.117
78,4372696469080273.0,3979675273576944.0,365044407889840.2,27976787613489.117
79,3881461510378727.0,3530132607110308.5,326293956834863.44,25034946433555.19
80,3881461510378727.0,3530132607110308.5,326293956834863.44,25034946433555.19
81,1879339535587716.0,1876413130857450.5,2913182804450.3184,13221925815.230274
