iteration,total_cost,jerk_cost,time_cost,position_cost
0,2.1329817512109112e+21,2.1062888916332713e+21,2.5324719963369992e+19,1.368139614270103e+18
1,2.1329817512109112e+21,2.1062888916332713e+21,2.5324719963369992e+19,1.368139614270103e+18
2,1.8367833279831047e+21,1.8137248416597053e+21,2.18756273277482e+19,1.1828589956509274e+18
3,1.2011522206455667e+21,1.1858429892631027e+21,1.4520709689271876e+19,7.885216931921606e+17
4,1.2011522206455667e+21,1.1858429892631027e+21,1.4520709689271876e+19,7.885216931921606e+17
5,3.95350937584097e+20,3.9001837872301716e+20,5.053815041238726e+18,2.787438198411045e+17
6,1.289017715690094e+19,1.2590738282312782e+19,2.818426057707608e+17,1.7596268817398088e+16
7,1.289017715690094e+19,1.2590738282312782e+19,2.818426057707608e+17,1.7596268817398088e+16
8,1.289017715690094e+19,1.2590738282312782e+19,2.818426057707608e+17,1.7596268817398088e+16
9,1.289017715690094e+19,1.2590738282312782e+19,2.818426057707608e+17,1.7596268817398088e+16
10,1.289017715690094e+19,1.2590738282312782e+19,2.818426057707608e+17,1.7596268817398088e+16
11,1.062309034810796e+19,1.0584112273174876e+19,3.860915916074731e+16,368915772337073.06
12,4.406280129933592e+18,4.3997059400673423e+18,6542640092093952.0,31549774155746.64
13,3.17702362773279e+18,3.059642828279943e+18,1.0994885942145506e+17,7431940031391516.0
14,1.664012274771487e+18,1.5800076828406395e+18,7.845727229379222e+16,5547319637055141.0
15,1.664012274771487e+18,1.5800076828406395e+18,7.845727229379222e+16,5547319637055141.0
16,8.62350640379752e+17,8.550914595649911e+17,6542221276253748.0,716959538507162.5
17,7.192415792451122e+17,6.647863426924666e+17,5.0668829457752984e+16,3786407094892713.0
18,5.596432631098555e+17,5.482082404746186e+17,1.0396308012471668e+16,1038714622765174.9
19,4.9848935482169664e+17,4.526411536960647e+17,4.2573313605322056e+16,3274887520309887.0
20,3.366345759986266e+17,3.189559894597807e+17,1.620072513949885e+16,1477861399347094.0
21,3.366345759986266e+17,3.189559894597807e+17,1.620072513949885e+16,1477861399347094.0
22,2.928886323932467e+17,2.72586338850286e+17,1.8646679797891836e+16,1655613745068840.5
23,2.928886323932467e+17,2.72586338850286e+17,1.8646679797891836e+16,1655613745068840.5
24,2.6345276321781597e+17,2.337519382992067e+17,2.743424988318513e+16,2266575035424164.5
25,2.6345276321781597e+17,2.337519382992067e+17,2.743424988318513e+16,2266575035424164.5
26,2.5858438878818928e+17,2.2980733563703424e+17,2.6568335940050916e+16,2208717211104124.5
27,2.5858438878818928e+17,2.2980733563703424e+17,2.6568335940050916e+16,2208717211104124.5
28,2.564404602576068e+17,2.3170601643382464e+17,2.2787044636266972e+16,1947399187515175.0
29,2.5468778823750227e+17,2.270801786499776e+17,2.5474543394315624e+16,2133066193209044.2
30,2.5468778823750227e+17,2.270801786499776e+17,2.5474543394315624e+16,2133066193209044.2
