iteration,total_cost,jerk_cost,time_cost,position_cost
0,1.0798372723097144e+21,1.0531444135031726e+21,2.532471923158087e+19,1.3681395749608768e+18
1,1.0798372723097144e+21,1.0531444135031726e+21,2.532471923158087e+19,1.3681395749608768e+18
2,9.299208788546973e+20,9.068623931983486e+20,2.187562669488667e+19,1.1828589614619697e+18
3,6.082307084418608e+20,5.929214774723821e+20,1.4520709297526788e+19,7.885216719518486e+17
4,6.082307084418608e+20,5.929214774723821e+20,1.4520709297526788e+19,7.885216719518486e+17
5,2.0034174352083128e+20,1.950091847747142e+20,5.053814932419253e+18,2.787438136978166e+17
6,6.594808290115099e+18,6.295369405380779e+18,2.8184261541263693e+17,1.7596269321683108e+16
7,6.594808290115099e+18,6.295369405380779e+18,2.8184261541263693e+17,1.7596269321683108e+16
8,6.594808290115099e+18,6.295369405380779e+18,2.8184261541263693e+17,1.7596269321683108e+16
9,6.594808290115099e+18,6.295369405380779e+18,2.8184261541263693e+17,1.7596269321683108e+16
10,6.594808290115099e+18,6.295369405380779e+18,2.8184261541263693e+17,1.7596269321683108e+16
11,5.331033591883682e+18,5.292055525205667e+18,3.860915100978867e+16,368915668226265.6
12,2.2064268171500247e+18,2.1998526298272732e+18,6542637551231614.0,31549771519873.2
13,1.6472023953961032e+18,1.5298215881860728e+18,1.0994886677881808e+17,7431940431212378.0
14,8.74008579018396e+17,7.900039794946121e+17,7.845727947638728e+16,5547320047396549.0
15,8.74008579018396e+17,7.900039794946121e+17,7.845727947638728e+16,5547320047396549.0
16,4.3480480229408134e+17,4.275456191893254e+17,6542223389604219.0,716959715151753.9
17,3.8684849855477325e+17,3.3239325575908365e+17,5.066883535437798e+16,3786407441311644.0
18,2.8553907076741398e+17,2.7410404505946986e+17,1.0396310872568228e+16,1038714835375901.1
19,2.721688484039752e+17,2.2632064128416435e+17,4.257331925884614e+16,3274887860964711.0
20,1.771565490514858e+17,1.594779586564313e+17,1.6200728749532588e+16,1477861645521913.2
21,1.771565490514858e+17,1.594779586564313e+17,1.6200728749532588e+16,1477861645521913.2
22,1.5659544394516134e+17,1.3629314625180992e+17,1.8646683688456936e+16,1655614004894480.5
23,1.5659544394516134e+17,1.3629314625180992e+17,1.8646683688456936e+16,1655614004894480.5
24,1.4657681742066506e+17,1.1687598757008294e+17,2.7434254522070044e+16,2266575328512049.5
25,1.460638475403263e+17,1.236916503070453e+17,2.0579636670973156e+16,1792560562307834.0
26,1.4368074086719725e+17,1.1490368283364435e+17,2.6568340530849148e+16,2208717502703750.8
27,1.4298770792800101e+17,1.1954437973285837e+17,2.1580082593862116e+16,1863245601280525.0
28,1.405928112110204e+17,1.1341312909632912e+17,2.507414803604048e+16,2105534078650800.8
29,1.405928112110204e+17,1.1341312909632912e+17,2.507414803604048e+16,2105534078650800.8
30,1.4040470040888216e+17,1.1357191336155045e+17,2.4749163763223856e+16,2083623284107850.5
31,1.4040470040888216e+17,1.1357191336155045e+17,2.4749163763223856e+16,2083623284107850.5
32,1.4015350885887438e+17,1.148683326757605e+17,2.3301892904083684e+16,1983283279030203.5
33,1.400311461201762e+17,1.144492514565997e+17,2.3579330361364044e+16,2002564302212452.2
34,1.400311461201762e+17,1.144492514565997e+17,2.3579330361364044e+16,2002564302212452.2
35,1.400311461201762e+17,1.144492514565997e+17,2.3579330361364044e+16,2002564302212452.2
36,1.3999029575339197e+17,1.142793218653847e+17,2.370006085823933e+16,2010913029767933.0
37,1.3999029575339197e+17,1.142793218653847e+17,2.370006085823933e+16,2010913029767933.0
38,1.3999029575339197e+17,1.142793218653847e+17,2.370006085823933e+16,2010913029767933.0
39,1.3998343388136458e+17,1.141964172011464e+17,2.377116391977557e+16,2015852760442604.2
40,1.3996667856869878e+17,1.1423940468593498e+17,2.371535365477082e+16,2011920227992991.5
41,1.3996359113810728e+17,1.1399373441120938e+17,2.3942194668326068e+16,2027662058571832.5
42,1.3995535006002291e+17,1.1401015964305222e+17,2.3919143529206564e+16,2026046887764124.2
43,1.3992855966432672e+17,1.1386008761723875e+17,2.4034539719015224e+16,2033932328072742.5
44,1.3992855966432672e+17,1.1386008761723875e+17,2.4034539719015224e+16,2033932328072742.5
45,1.3989545721647184e+17,1.1396104580508565e+17,2.3909210596750096e+16,2025200814636101.5
46,1.398525710209897e+17,1.138796114664946e+17,2.3945374982016868e+16,2027584572478232.5
47,1.398297341449668e+17,1.1357425276431938e+17,2.4209828732295828e+16,2045652648351606.2
48,1.3968924864773323e+17,1.1366398118176645e+17,2.3994724944852172e+16,2030542521114602.5
49,1.3968924864773323e+17,1.1366398118176645e+17,2.3994724944852172e+16,2030542521114602.5
50,1.3963934154895133e+17,1.1306739147542443e+17,2.4506829341342052e+16,2065120732184854.5
51,1.3929484909053522e+17,1.1297526318886054e+17,2.427131159533884e+16,2048274306335826.5
52,1.3929484909053522e+17,1.1297526318886054e+17,2.427131159533884e+16,2048274306335826.5
53,1.3929484909053522e+17,1.1297526318886054e+17,2.427131159533884e+16,2048274306335826.5
54,1.3862737388268304e+17,1.1225516932934398e+17,2.43224990545846e+16,2049705498754469.0
55,1.3862737388268304e+17,1.1225516932934398e+17,2.43224990545846e+16,2049705498754469.0
56,1.3821668244036802e+17,1.123817501713502e+17,2.382039994130697e+16,2014532327710838.8
57,1.3725894819437262e+17,1.1179456616737107e+17,2.3476137265338252e+16,1988244761663295.0
58,1.3606418811319806e+17,1.1018352454120626e+17,2.3869102390784236e+16,2011561181207560.2
59,1.3462705801789642e+17,1.1016782932877083e+17,2.2542847521592428e+16,1916381167533150.5
60,1.3129430086594662e+17,1.0715196584908018e+17,2.2254478583607052e+16,1887856433259394.5
61,1.2722027462118302e+17,1.036599749684554e+17,2.172016612401963e+16,1840133528708002.8
62,1.2361114130272694e+17,1.0300926493977781e+17,1.8967866876568468e+16,1634009486380671.5
63,1.1248530592843e+17,9.299458109870557e+16,1.7952851867271648e+16,1537872962452784.5
64,1.0353046661937136e+17,8.76807473069674e+16,1.4579698211659394e+16,1270021100744579.0
