iteration,total_cost,jerk_cost,time_cost,position_cost
0,1.0798373093903773e+21,1.053144449732359e+21,2.5324720040030347e+19,1.3681396179879485e+18
1,1.0798373093903773e+21,1.053144449732359e+21,2.5324720040030347e+19,1.3681396179879485e+18
2,9.299209105557819e+20,9.068624241674465e+20,2.187562738977413e+19,1.1828589985613156e+18
3,6.082307282238905e+20,5.929214968018022e+20,1.4520709727200748e+19,7.885216948875356e+17
4,6.082307282238905e+20,5.929214968018022e+20,1.4520709727200748e+19,7.885216948875356e+17
5,2.0034174890033218e+20,1.9500919003302258e+20,5.053815047392435e+18,2.787438199171523e+17
6,6.594808024475121e+18,6.295369152165061e+18,2.8184260367773635e+17,1.759626863232405e+16
7,6.594808024475121e+18,6.295369152165061e+18,2.8184260367773635e+17,1.759626863232405e+16
8,6.594808024475121e+18,6.295369152165061e+18,2.8184260367773635e+17,1.759626863232405e+16
9,6.594808024475121e+18,6.295369152165061e+18,2.8184260367773635e+17,1.759626863232405e+16
10,6.594808024475121e+18,6.295369152165061e+18,2.8184260367773635e+17,1.759626863232405e+16
11,5.331034241423278e+18,5.292056165222705e+18,3.86091604035955e+16,368915796978079.7
12,2.2064271733352323e+18,2.199852983125952e+18,6542640436786679.0,31549772493664.184
13,1.6472022092246134e+18,1.5298214116297357e+18,1.0994885770967443e+17,7431939885203121.0
14,8.740084285003055e+17,7.900038381678829e+17,7.845727082226128e+16,5547319510161362.0
15,8.740084285003055e+17,7.900038381678829e+17,7.845727082226128e+16,5547319510161362.0
16,4.3480491188605786e+17,4.275457316197552e+17,6542220780343628.0,716959485959070.8
17,3.8684840296645216e+17,3.323931677959299e+17,5.0668828186382984e+16,3786406984139257.0
18,2.8553914262715888e+17,2.741041206815889e+17,1.0396307384897262e+16,1038714560672742.9
19,2.7216877343344934e+17,2.263205735837452e+17,4.2573312432562664e+16,3274887417141484.5
20,1.7715657953416557e+17,1.594779938482676e+17,1.6200724359931984e+16,1477861325966015.0
21,1.7715657953416557e+17,1.594779938482676e+17,1.6200724359931984e+16,1477861325966015.0
22,1.5659546078238528e+17,1.3629316814386232e+17,1.864667897037827e+16,1655613668144717.5
23,1.5659546078238528e+17,1.3629316814386232e+17,1.864667897037827e+16,1655613668144717.5
24,1.4657679057936893e+17,1.1687596673193808e+17,2.743424890059662e+16,2266574946834227.0
25,1.4606385413989514e+17,1.2369166218938288e+17,2.0579631735550544e+16,1792560214961689.0
26,1.4368071758510024e+17,1.149036654888048e+17,2.656833497263865e+16,2208717123656781.8
27,1.4298770966515819e+17,1.1954438687551462e+17,2.1580077541797064e+16,1863245247846517.2
28,1.4059279687328368e+17,1.1341312053532605e+17,2.5074142630329812e+16,2105533707627816.2
29,1.4059279687328368e+17,1.1341312053532605e+17,2.5074142630329812e+16,2105533707627816.2
30,1.4040468758933979e+17,1.1357190629246622e+17,2.4749158382747412e+16,2083622914126163.5
31,1.4040468758933979e+17,1.1357190629246622e+17,2.4749158382747412e+16,2083622914126163.5
32,1.4015350245410368e+17,1.1486833186505355e+17,2.3301887672397948e+16,1983282916652174.0
33,1.4003113845870558e+17,1.1444924941979253e+17,2.3579325100569124e+16,2002563938343937.2
34,1.4003113845870558e+17,1.1444924941979253e+17,2.3579325100569124e+16,2002563938343937.2
35,1.4003113845870558e+17,1.1444924941979253e+17,2.3579325100569124e+16,2002563938343937.2
36,1.3999028754148411e+17,1.142793192905347e+17,2.3700055585627744e+16,2010912665321657.8
37,1.3999028754148411e+17,1.142793192905347e+17,2.3700055585627744e+16,2010912665321657.8
38,1.3999028754148411e+17,1.142793192905347e+17,2.3700055585627744e+16,2010912665321657.8
39,1.3998342535183646e+17,1.1419641431658862e+17,2.3771158639641308e+16,2015852395606524.0
40,1.3996667027461373e+17,1.1423940202980048e+17,2.3715348381286308e+16,2011919863526939.8
41,1.3996358183272214e+17,1.1399373076839907e+17,2.3942189371413696e+16,2027661692909379.0
42,1.3995534085276275e+17,1.1401015609572725e+17,2.391913823480128e+16,2026046522234218.5
43,1.3992854991728237e+17,1.1386008354069627e+17,2.403453441449865e+16,2033931962087458.2
44,1.3992854991728237e+17,1.1386008354069627e+17,2.403453441449865e+16,2033931962087458.2
45,1.3989544801507726e+17,1.1396104226014413e+17,2.3909205305584396e+16,2025200449348732.2
46,1.3985256162932878e+17,1.1387960773308026e+17,2.3945369689080028e+16,2027584207168498.0
47,1.398297235226232e+17,1.135742478247898e+17,2.4209823415867052e+16,2045652281966351.0
48,1.3968923892472206e+17,1.136639771153148e+17,2.3994719653307136e+16,2030542156100121.5
49,1.3968923892472206e+17,1.136639771153148e+17,2.3994719653307136e+16,2030542156100121.5
50,1.396393293739467e+17,1.13067384998306e+17,2.450682401007319e+16,2065120365567508.0
51,1.39294837811791e+17,1.1297525757429955e+17,2.4271306295873384e+16,2048273941618073.5
52,1.39294837811791e+17,1.1297525757429955e+17,2.4271306295873384e+16,2048273941618073.5
53,1.39294837811791e+17,1.1297525757429955e+17,2.4271306295873384e+16,2048273941618073.5
54,1.3862736188736704e+17,1.1225516297133894e+17,2.432249377971234e+16,2049705136315755.0
55,1.3862736188736704e+17,1.1225516297133894e+17,2.432249377971234e+16,2049705136315755.0
56,1.382166725429452e+17,1.1238174585104072e+17,2.3820394723504464e+16,2014531968400011.0
57,1.3725893923345845e+17,1.117945627097196e+17,2.347613211667996e+16,1988244407058901.5
58,1.360641765073926e+17,1.1018351842007688e+17,2.3869097257982156e+16,2011560829333560.2
59,1.3462705148430384e+17,1.101678280890229e+17,2.254284256887191e+16,1916380826409017.2
60,1.3129429351605029e+17,1.0715196363194728e+17,2.225447378018029e+16,1887856103922725.5
61,1.2722026704492782e+17,1.0365997230461882e+17,2.1720161525285876e+16,1840133215023136.2
62,1.2361114255691347e+17,1.0300927059902453e+17,1.8967862754187816e+16,1634009203701120.5
63,1.12485305102497e+17,9.299458418666347e+16,1.7952848200471854e+16,1537872715361656.5
64,1.035304728906557e+17,8.768075668167744e+16,1.4579695302324036e+16,1270020906654216.8
65,1.035304728906557e+17,8.768075668167744e+16,1.4579695302324036e+16,1270020906654216.8
66,7.733327743678915e+16,6.77903965013383e+16,8760886202784107.0,781994732666740.5
67,7.733327743678915e+16,6.77903965013383e+16,8760886202784107.0,781994732666740.5
68,5.999490162778907e+16,5.4499818117183336e+16,5032117716416429.0,462965794189306.6
69,5.983384288249372e+16,5.749702099658076e+16,2124054341543607.0,212767544369354.62
70,2.974557832290989e+16,2.7991451909094316e+16,1600362380788719.5,153764033026851.88
71,2.974557832290989e+16,2.7991451909094316e+16,1600362380788719.5,153764033026851.88
72,2.974557832290989e+16,2.7991451909094316e+16,1600362380788719.5,153764033026851.88
73,1.801827365597503e+16,1.7698825913874976e+16,314079365505700.9,5368376594354.538
74,7031977933969232.0,6994963344261966.0,36774459060560.88,240130646705.4434
75,4478980630477857.5,4076279949662277.5,368715792179493.3,33984888636086.477
76,4478980630477857.5,4076279949662277.5,368715792179493.3,33984888636086.477
77,435670158093387.4,433166787510871.9,2402948105384.729,100422477130.71957
78,435670158093387.4,433166787510871.9,2402948105384.729,100422477130.71957
79,435670158093387.4,433166787510871.9,2402948105384.729,100422477130.71957
80,435670158093387.4,433166787510871.9,2402948105384.729,100422477130.71957
81,394894673653964.5,335681199949465.75,57620156448509.99,1593317255988.7703
82,379621507444513.9,375130304601089.4,4314951383038.7676,176251460385.7735
83,56154004210074.49,50166961772585.22,5489591340573.886,497451096915.38904
84,56154004210074.49,50166961772585.22,5489591340573.886,497451096915.38904
85,56154004210074.49,50166961772585.22,5489591340573.886,497451096915.38904
86,24476931128481.285,23987619498689.14,465749256595.00586,23562373197.135803
87,24476931128481.285,23987619498689.14,465749256595.00586,23562373197.135803
88,9329064344268.018,8160335462088.194,1138144916614.5393,30583965565.282333
89,8327156255952.74,6877202340778.967,1335627139991.9902,114326775181.78342
90,8327156255952.74,6877202340778.967,1335627139991.9902,114326775181.78342
91,1825420393833.7073,1678937234487.3157,137047534534.40594,9435624811.98552
92,1825420393833.7073,1678937234487.3157,137047534534.40594,9435624811.98552
93,824764013717.1967,758236857425.8798,64896964194.62933,1630192096.6876414
94,824764013717.1967,758236857425.8798,64896964194.62933,1630192096.6876414
95,730412230419.8972,687443629762.776,40327708411.06883,2640892246.0523515
96,588480897718.2714,562958309687.6575,24637812336.031464,884775694.5824492
97,470525142807.11206,385020665424.674,83117508954.95094,2386968427.4871216
98,169224057430.35272,140440329025.60403,27991737764.216637,791990640.5320351
