iteration,total_cost,jerk_cost,time_cost,position_cost
0,4.012196001661658e+18,1.3057438486333588e+18,2.6125166888969405e+18,9.393546413135882e+16
1,3.2441725225534536e+18,1.0711440889556383e+18,2.0977877872226865e+18,7.524064637512886e+16
2,2.199795672230504e+16,1.2919518553254572e+16,8385292087340746.0,693146081709718.5
3,2.189336436134491e+16,1.2896446194293696e+16,8300535149701530.0,696383017349689.4
4,1.4871681067856218e+16,9078194563715872.0,5119023640714809.0,674462863425538.5
5,9588127788303414.0,4746723634567179.0,4299113364060287.5,542290789675948.7
6,6868980971318002.0,2178141507804271.0,4295471219215070.0,395368244298660.8
7,5244112927485707.0,835462572814925.1,4141923720496910.5,266726634173870.72
8,4178512793419709.5,272920001397059.16,3737215870529286.0,168376921493364.4
9,3425823767710791.0,166490500047247.3,3163110925612284.0,96222342051259.61
10,2870054689339803.0,283322353919325.1,2539503860281607.5,47228475138870.734
11,2453675816495947.0,479974172429111.25,1955999405233451.5,17702238833384.082
12,2126197518910005.5,665086587274137.9,1457087112025157.0,4023819610710.4585
13,1865672544953614.0,798304170167293.1,1065673790234858.1,1694584551462.7358
14,1651646159668934.8,868906894982279.8,777608503457823.1,5130761228831.666
15,1474409448884452.5,872776233890321.4,592022499895194.0,9610715098937.105
16,1326811967796078.2,816671332432130.6,496067907535960.0,14072727827987.777
17,1202617840766544.5,718588286592093.9,466160846957045.75,17868707217404.89
18,1097088924468486.1,600807777530767.9,475931252355720.25,20349894581998.03
19,1006084522397252.4,480106319010457.8,504777341981840.44,21200861404954.1
20,927240230435101.9,365968762525029.44,540635053810921.25,20636414099151.117
21,858435652626024.2,262867807108181.88,576379007341576.4,19188838176266.05
22,797674530842285.6,174586956216473.06,605825686575657.8,17261888050154.857
23,743949085946613.5,106155935350308.81,622806038478075.9,14987112118228.719
24,696160204459541.6,60029694095786.47,623745992302140.4,12384518061614.748
25,653370492162140.6,34763046093670.863,608969041501860.9,9638404566608.873
26,616637834863223.5,27142312336796.33,582132757235960.4,7362765290466.75
27,581377872565981.5,31734413249669.594,543896587355015.56,5746871961296.401
28,550611437912835.3,45788766981188.83,499880787479995.8,4941883451650.713
29,471453514607059.94,61661933291911.03,405652669348335.25,4138911966813.701
30,234131490370517.78,93391497790757.45,137737304705069.81,3002687874690.516
31,147101283022650.25,83560503888667.78,59621068989624.91,3919710144357.5654
32,106750936408646.83,62578424485603.54,39179296173218.08,4993215749825.205
33,81837545583276.61,43745003564308.3,33274207244036.55,4818334774931.76
34,65522821892312.44,29541374644657.234,32219598104285.48,3761849143369.718
35,55339869557107.016,19069493300453.105,33404876297737.99,2865499958915.926
36,47235668803126.09,10020095172985.004,34922421389166.547,2293152240974.549
37,30743189747971.477,2972458861940.8267,26300126910704.63,1470603975326.0193
38,7443955079883.291,852510016378.2433,6407798232986.616,183646830518.4313
39,2856706065325.3315,324718624923.4296,2460854346828.449,71133093573.45267
40,4191575.431355407,904881.1473616833,2811390.8736773445,475303.41031637916
41,86507.30292985692,42141.009946157865,38521.377562650116,5844.915421048937
42,374.3710592550457,176.35520041296846,173.96699056545043,24.04886827662675
43,3.1272925191864847,0.44084466241997866,2.6844275632581023,0.0020202935084038193
44,3.1238059191523195,0.41976298852363314,2.7017329621875006,0.0023099684411859154
45,3.123805883157203,0.4198283709438794,2.7016685953040938,0.0023089169092295222
