iteration,total_cost,jerk_cost,time_cost,position_cost
0,4.0121955351390725e+18,1.3057436928250004e+18,2.612516388920441e+18,9.393545339363109e+16
1,3.244172145198744e+18,1.0711439607609916e+18,2.097787546646751e+18,7.524063779100139e+16
2,2.199795311838368e+16,1.2919516490071302e+16,8385290651182034.0,693145977130342.4
3,2.1893360755813356e+16,1.2896444054361796e+16,8300533801539931.0,696382899911627.8
4,1.4871658846534768e+16,9078179983736576.0,5119016655344947.0,674462207453243.2
5,9588105168182590.0,4746708132930692.0,4299107369482858.5,542289665769040.3
6,6868961423647457.0,2178130620244362.5,4295463776889157.0,395367026513936.6
7,5244096345108448.0,835456604461078.5,4141914171690892.0,266725568956478.1
8,4178498738153931.0,272917720091708.0,3737204931427836.0,168376086634387.12
9,3425811769383677.0,166490362153010.16,3163099677832172.5,96221729398494.75
10,2870044370017529.0,283322848235591.3,2539493417844331.5,47228103937605.98
11,2453666307921502.0,479974572573097.25,1955989709819350.8,17702025529053.957
12,2126189094999567.5,665086214909265.1,1457079133409376.0,4023746680926.4067
13,1865665013475179.2,798302854471963.2,1065667563995401.9,1694595007814.1855
14,1651639362987962.8,868904687528038.0,777603883876908.0,5130791583016.833
15,1474403325081894.5,872773307356309.9,592019281237051.9,9610736488532.664
16,1326806408419528.0,816667972200224.5,496065705313548.7,14072730905754.777
17,1202612764268409.0,718584793437777.4,466159284025334.94,17868686805296.805
18,1097084262837716.5,600804398837560.8,475930013697353.7,20349850302802.04
19,1006080222471772.5,480103228662769.25,504776196639863.75,21200797169139.508
20,927236247510096.2,365966076382879.5,540633835092704.44,20636336034512.203
21,858431948165410.1,262865600166002.8,576377595971008.2,19188752028399.18
22,797671074251843.6,174585267210042.72,605824008688301.9,17261798353498.984
23,743945850414077.6,106154751892571.4,622804075450604.4,14987023070901.871
24,696157166853315.4,60028955412325.5,623743777251692.8,12384434189297.164
25,653367642062969.6,34762670636611.113,608966638651092.6,9638332775265.865
26,616635114359091.8,27142190562395.01,582130215646371.4,7362708150325.344
27,581375286684335.6,31734473349023.6,543893981275281.8,5746832060030.203
28,550609046928940.2,45788913095475.05,499878276596054.2,4941857237410.925
29,471451380573652.2,61662141098310.31,405650345950822.75,4138893524519.104
30,234130767603665.84,93391489294819.44,137736593515207.7,3002684793638.729
31,147100903020915.4,83560364986613.95,59620827257882.1,3919710776419.3374
32,106750710621510.75,62578275263684.09,39179220499279.43,4993214858547.212
33,81837390764614.86,43744881072396.586,33274179487937.992,4818330204280.286
34,65522714193099.06,29541290287114.883,32219581205071.19,3761842700912.987
35,55339795053713.76,19069441784560.05,33404858736630.633,2865494532523.0703
36,47235613206788.734,10020063975459.71,34922401014883.652,2293148216445.372
37,30743177918299.98,2972449160213.986,26300125585331.637,1470603172754.3608
38,7443970858077.68,852512154215.8535,6407811192022.586,183647511839.24017
39,2856716670317.0996,324719955376.87256,2460863247807.394,71133467132.8332
40,4190586.661960445,905079.9088617702,2810366.799202781,475139.95389589336
41,86449.94423868356,42113.47289000798,38495.52457114646,5840.946777529108
42,374.10857532642757,176.22746318827205,173.84933261284988,24.03177952530563
43,3.127287540549184,0.44082921207367315,2.6844378640367688,0.0020204644387419065
44,3.1238058776760522,0.41976270408434946,2.7017332040834545,0.0023099695082483677
45,3.1238058416557157,0.41982811651746244,2.7016688075470334,0.002308917591219915
