iteration,total_cost,jerk_cost,time_cost,position_cost
0,1.5664507594164586e+19,7.153102920770104e+18,8.142557135680692e+18,3.68847537713789e+17
1,8.329648188592831e+18,3.8850301398465014e+18,4.255111724500691e+18,1.895063242456387e+17
2,1.2135464575789394e+17,9.235066895172891e+16,2.6423569811920796e+16,2580406994244227.5
3,1.1945536462476413e+17,9.106405055473725e+16,2.5829128201031464e+16,2562185868995431.5
4,6620232122906998.0,4566002891613982.0,1821093681718292.2,233135549574723.88
5,834079764560898.1,574681755800754.0,230015650693471.06,29382358066673.168
6,13585.73114622176,7359.763569534329,6182.29535647468,43.67222021275089
7,4.712682909073255,0.993900980907499,3.6662376588263825,0.05254426933937357
8,4.706689173125829,0.9116900977874756,3.740613745548919,0.0543853297894347
9,4.706689173125829,0.9116900977874756,3.740613745548919,0.0543853297894347
