iteration,total_cost,jerk_cost,time_cost,position_cost
0,1.56638608360838e+19,7.152830145263548e+18,8.142200232790369e+18,3.6883045802988224e+17
1,8.329306120895143e+18,3.8848879363931776e+18,4.254921047123156e+18,1.894971373788085e+17
2,1.2136301693714426e+17,9.23570352032059e+16,2.642539563043245e+16,2580586103505904.5
3,1.1946360516718024e+17,9.10703275233063e+16,2.5830914238914852e+16,2562363404959083.5
4,6620478818263842.0,4566173973968359.0,1821161885782377.0,233142958513106.38
5,834092326476011.0,574690492118776.8,230019195486822.75,29382638870411.51
6,13588.539022000099,7361.294360774803,6183.564429114768,43.68023211052733
7,4.7126860425673325,0.9939225903294768,3.6662195510416224,0.0525439011962332
8,4.706689206194489,0.911689392476136,3.740614353433039,0.054385460285314206
9,4.706689206194489,0.911689392476136,3.740614353433039,0.054385460285314206
