iteration,total_cost,jerk_cost,time_cost,position_cost
0,1.5664512300832055e+19,7.153105073758138e+18,8.142559578843713e+18,3.68847648230204e+17
1,8.329650692751313e+18,3.8850313107703117e+18,4.2551130010045957e+18,1.895063809764055e+17
2,1.2135468466437957e+17,9.235069856143282e+16,2.642357828170182e+16,2580407821244931.5
3,1.1945540292538454e+17,9.106407975456589e+16,2.5829136480592904e+16,2562186690225765.0
4,6620234317338114.0,4566004410171277.0,1821094280554725.8,233135626612111.44
5,834080046370647.4,574681950620400.8,230015727787311.75,29382367962934.93
6,13585.734232831664,7359.76521801649,6182.296784260445,43.672230554729644
7,4.712682911244002,0.9939009956323414,3.666237646491308,0.05254426912035319
8,4.706689173150007,0.911690097261474,3.740613746003041,0.05438532988549229
9,4.706689173150007,0.911690097261474,3.740613746003041,0.05438532988549229
