iteration,total_cost,jerk_cost,time_cost,position_cost
0,1.981648051200099e+19,1.2274972619427187e+19,2.0353075911676262e+18,5.506200301406181e+18
1,1.3699498531644158e+19,1.0955381877556177e+19,1.7430554513714273e+18,1.0010612027165528e+18
2,1.0791324465332732e+19,8.626970665763544e+18,1.6064487812113196e+18,5.579050183578692e+17
3,3.5769005736016476e+18,2.2579757374999798e+18,6.862406777695359e+17,6.326841583321318e+17
4,4.43879110996305e+16,2.9686039302369556e+16,1.1955992909087166e+16,2745878888173778.0
5,4.420495084055745e+16,2.985330643524721e+16,1.100474503116011e+16,3346899374150127.5
6,4.407861988641574e+16,2.976957179941997e+16,1.0960346845256356e+16,3348701241739423.0
7,1070924644812786.2,301149693162296.2,129388153531600.67,640386798118889.4
8,82881927281119.0,23579715810579.227,9961661298442.785,49340550172096.99
9,57203770.28715789,30391820.030458536,21210546.4556511,5601403.801048253
10,15296.22477198558,7515.727419285822,3347.759552875669,4432.737799824088
11,16.58298328372973,1.6780763228758306,8.579979163120337,6.324927797733566
12,6.199872730322586,1.8015532382809005,3.347045651407304,1.051273840634381
13,6.089209473755379,2.1922958953613056,3.1118522574157232,0.7850613209783502
14,6.088469728055325,2.2187610066814467,3.100582243296544,0.7691264780773353
15,6.088458345991688,2.2145994541295737,3.102522737298389,0.7713361545637247
