iteration,total_cost,jerk_cost,time_cost,position_cost
0,1.0282389050656347e+20,4.3193739877497995e+19,5.751929629351431e+19,2.1108543355511575e+18
1,3.4325871146772963e+19,1.5544581292112208e+19,1.8143157779736506e+19,6.381320749242504e+17
2,2.2042587136344474e+18,2.1110333329489172e+18,8.164666872733626e+16,1.157871195819393e+16
3,2.1214879478920026e+18,2.0334870500979348e+18,7.730604542674654e+16,1.0694852367321142e+16
4,1.574605235392476e+16,9828614478697156.0,5781164388339470.0,136273486888134.39
5,877044199910120.9,548483472787289.9,321002834535549.4,7557892587281.687
6,48689133220203.734,30521933203045.004,17749945110602.84,417254906555.88885
7,2714928289557.114,1694323071563.9062,997106021478.645,23499196514.56257
8,151960716634.46744,94692060150.34956,55944464411.95115,1324192072.1667058
9,8240338949.081436,5146961886.668213,3022072050.1545053,71305012.25871828
10,453158566.63592076,283164372.6471246,166078812.2787824,3915381.7100137514
11,25225838.96827659,15638902.82264578,9364735.718589528,222200.42704128486
12,1414454.3622638255,880876.5135812226,521291.5026923153,12286.345990287658
13,79769.47547360821,49897.682937416845,29194.093871313067,677.6986648782855
14,4463.5401845664555,2809.0752914669993,1618.9483669250294,35.516526174427305
15,258.0099935730074,166.978851560514,89.59604211934871,1.435099893144692
16,20.063805610901603,11.942722553734871,8.036035185510393,0.08504787165633926
17,8.33041314019896,2.7835446026425763,5.335971444681177,0.2108970928752079
18,7.7491776658593645,2.0731040370709,5.395853403871077,0.28022022491738785
19,7.723090493607543,1.938933291129904,5.479604179174222,0.3045530233034173
20,7.722435365638947,1.9471598110305406,5.471179581723715,0.3040959728846909
