iteration,total_cost,jerk_cost,time_cost,position_cost
0,1.028238620763844e+20,4.319372791970302e+19,5.751928040376623e+19,2.1108537529151455e+18
1,3.4325861655546474e+19,1.5544576980824211e+19,1.8143152775517413e+19,6.38131899204851e+17
2,2.2042580857666568e+18,2.1110327316239465e+18,8.164664547977552e+16,1.1578708662934854e+16
3,2.1214873435890184e+18,2.0334864708673024e+18,7.730602340238206e+16,1.0694849319333836e+16
4,1.5746048498713546e+16,9828612079269636.0,5781162966292612.0,136273453151297.86
5,877044006828302.6,548483352788558.6,321002763149626.44,7557890890117.583
6,48689123499464.734,30521927192017.074,17749941487477.51,417254819970.14557
7,2714927809365.613,1694322773656.8152,997105843431.8589,23499192276.938793
8,151960693214.00037,94692045673.92516,55944455677.30518,1324191862.770015
9,8240337866.913481,5146961215.390163,3022071648.856465,71305002.6668534
10,453158517.52576476,283164342.2299572,166078794.0232167,3915381.272590822
11,25225837.109581694,15638901.75163068,9364734.950381665,222200.4075693484
12,1414454.2952746942,880876.4734946934,521291.47644139704,12286.345338603829
13,79769.47361660739,49897.68184534426,29194.093125348787,677.6986459143304
14,4463.540183867623,2809.0752940692173,1618.9483637701392,35.51652602826785
15,258.0099991998429,166.97885536448993,89.59604391119355,1.4350999241594513
16,20.063806176934342,11.94272296606712,8.036035339922085,0.08504787094513923
17,8.330413179510535,2.7835446368250167,5.3359714514740855,0.21089709121143235
18,7.7491776683150375,2.07310404322597,5.3958534011927695,0.28022022389629764
19,7.723090493724169,1.9389332838786646,5.4796041853051305,0.30455302454037425
20,7.72243536562171,1.9471598009759117,5.471179590101647,0.304095974544151
