iteration,total_cost,jerk_cost,time_cost,position_cost
0,1.028238603178453e+20,4.319372716723329e+19,5.751927943291821e+19,2.1108537176938028e+18
1,3.4325861061436514e+19,1.5544576700902425e+19,1.8143152471775928e+19,6.381318887581601e+17
2,2.2042580329302769e+18,2.1110326810014305e+18,8.164664353849656e+16,1.1578708390349726e+16
3,2.1214872926970486e+18,2.03348642209246e+18,7.730602154344256e+16,1.0694849061146164e+16
4,1.574604873057403e+16,9828612178206676.0,5781163095753519.0,136273456613833.14
5,877044047220337.9,548483378511804.25,321002777495378.9,7557891213154.774
6,48689127024435.336,30521929468098.35,17749942708972.305,417254847364.6816
7,2714928084489.9053,1694322945908.316,997105943967.1007,23499194614.48901
8,151960712959.83667,94692058016.12958,55944462911.69044,1324192032.0166638
9,8240339176.517696,5146962033.956707,3022072128.6634464,71305013.89754254
10,453158602.75542176,283164395.53600585,166078825.2165909,3915382.002825034
11,25225842.184605543,15638904.806787867,9364736.922523074,222200.45529460275
12,1414454.6095620287,880876.6671775465,521291.5942526877,12286.348131794517
13,79769.49326676999,49897.69405011562,29194.100400317308,677.6988163370505
14,4463.54140922516,2809.076061111048,1618.9488119042685,35.51653620984384
15,258.0100750642016,166.97890392982606,89.596070682479,1.4351004518965924
16,20.06381016704922,11.942725889016081,8.036036413907862,0.08504786412527598
17,8.33041340407526,2.783544862013505,5.335971465814066,0.21089707624768902
18,7.749177679079924,2.0731040719398215,5.395853387960609,0.2802202191794937
19,7.723090493993741,1.938933289170894,5.47960418139871,0.30455302342413687
20,7.7224353656032045,1.9471598046029726,5.471179587230151,0.3040959737700808
