iteration,total_cost,jerk_cost,time_cost,position_cost
0,8.544409773042307e+20,7.196980742269574e+20,1.301033283190303e+20,4.63957475824302e+18
1,3.469842684281958e+20,2.954196947039087e+20,4.98413185811628e+19,1.7232551431242852e+18
2,2.9544450473007575e+19,2.938397130744269e+19,1.3812983120392309e+17,2.234933436096556e+16
3,2.8120535519176892e+19,2.79684634858809e+19,1.3096477294288314e+17,2.110726035310797e+16
4,3.1436670347748104e+16,2.7807013733268216e+16,3262095217032200.5,367561397447686.2
5,138257235342346.81,121113355964755.73,15426605441055.064,1717273936536.021
6,502114609873.7183,441170884233.6785,54821388692.65263,6122336947.387147
7,1634849805.6399302,1443076592.2262344,172396395.11287984,19376818.300816078
8,6190420.478560362,5412015.198809815,700428.52417281,77976.75557773715
9,19457.959291732674,16922.131409631613,2274.1584963708365,261.6693857302252
10,90.39864618269759,55.15576562583898,31.42580690241402,3.8170736544445862
11,12.619458290855452,0.5366240089589137,10.93689910981478,1.1459351720817577
12,12.244405163069633,1.1473239482330289,10.072856025154792,1.0242251896818133
13,12.231273723940825,1.3219131468643455,9.908296925781105,1.0010636512953754
14,12.231273114122992,1.3226792204502344,9.907622210284005,1.0009716833887523
