iteration,total_cost,jerk_cost,time_cost,position_cost
0,8.544410826193198e+20,7.19698162943558e+20,1.3010334434612054e+20,4.639575329641266e+18
1,3.4698431121624275e+20,2.954197311400855e+20,4.984132472085488e+19,1.7232553553024328e+18
2,2.954445415252021e+19,2.9383974966955573e+19,1.3812984841854493e+17,2.2349337146088776e+16
3,2.8120538982779265e+19,2.7968466930764042e+19,1.3096478906668195e+17,2.1107262948539332e+16
4,3.1436674742832092e+16,2.7807017633488276e+16,3262095661555685.5,367561447788131.06
5,138257256589326.05,121113374773255.38,15426607632038.418,1717274184032.252
6,502114710052.97424,441170972235.06177,54821399646.85636,6122338171.056119
7,1634850131.9084423,1443076881.616826,172396428.24178213,19376822.049833987
8,6190421.796458292,5412016.32427608,700428.6977636828,77976.77441852808
9,19457.96061431381,16922.132578537286,2274.1586341729726,261.66940160355193
10,90.39865250876927,55.15577061092565,31.42580809337469,3.8170738044689387
11,12.61945831963964,0.536623993272729,10.936899148816382,1.1459351775505295
12,12.244405163378588,1.1473239463043872,10.072856027110818,1.0242251899633816
13,12.231273723982543,1.3219131464569056,9.908296926161794,1.0010636513638425
14,12.231273114164626,1.3226792200987685,9.907622210615378,1.0009716834504796
