iteration,total_cost,jerk_cost,time_cost,position_cost
0,4.443360350633059e+20,3.258637464635129e+20,1.1437850932691439e+20,4.093779272878605e+18
1,1.734746122258186e+20,1.2976553350122634e+20,4.22482505812135e+19,1.4608281433787732e+18
2,1.4392448895102319e+19,1.4249470701994734e+19,1.2362729751922525e+17,1.9350895588360532e+16
3,1.3724102136195201e+19,1.3588022479480895e+19,1.1770613633442515e+17,1.837352037987996e+16
4,4293507509178375.5,3376357644710601.5,825598183559390.6,91551680908383.61
5,10630028214739.727,8119477274527.68,2263883040770.054,246667899441.99142
6,1011463484.0298387,999934476.1330936,11501398.124268634,27609.77247646553
7,1914655.9555708738,1899118.5820582414,15437.905224923172,99.46828770924087
8,2754.7108924889108,2735.7791857232523,18.832336628940396,0.09937013671801895
9,14.685547366429715,5.837589568048887,8.113165584418391,0.7347922139624354
10,11.114388505910407,1.8700965626926038,8.453442764814591,0.7908491784032112
11,11.114340781590787,1.8847609169578627,8.440630987624907,0.7889488770080173
