iteration,total_cost,jerk_cost,time_cost,position_cost
0,4.443361027145444e+20,3.2586379630246776e+20,1.1437852652737765e+20,4.0937798846990413e+18
1,1.7347442348637635e+20,1.2976540134507443e+20,4.224819599680246e+19,1.4608261444994573e+18
2,1.4392467556080947e+19,1.4249489275256953e+19,1.2362737818961616e+17,1.9350902634377948e+16
3,1.3724119804835023e+19,1.3588040063260252e+19,1.1770621406545266e+17,1.8373527509316868e+16
4,4293447123123810.5,3376308968076697.0,825587666271724.1,91550488775389.31
5,10629805576469.785,8119303536704.172,2263839016014.4355,246663023751.17706
6,1011439164.822455,999910653.0590745,11500904.484164625,27607.27921592097
7,1914518.4884809188,1898982.3230797967,15436.700716991463,99.46468413065232
8,2754.432355215528,2735.5026086240073,18.830377564371602,0.09936902714910847
9,14.685059988841981,5.837082583312457,8.113182117994036,0.7347952875354888
10,11.114388501738,1.8700973836276094,8.45344204545168,0.7908490726587101
11,11.114340781515768,1.8847611236019808,8.440630807616927,0.7889488502968598
