T_s,delta_m,jerk_integral,rms_jerk_mps3,target_error_m,min_gap_m,min_margin_m,min_speed_mps,max_speed_mps,min_accel_mps2,max_accel_mps2,max_abs_jerk_mps3,feasible
2.0,-20.0,5099.999999999949,50.497524691810135,-20.0,48.906359947526596,2.429070544066615,8.312592592592601,25.0,-24.197530864197496,19.199999999999957,119.99999999999983,False
2.0,-19.0,4447.499999999953,47.15665382530843,-18.99999999999997,48.86497380717052,2.424237767961145,9.2411853134111,25.0,-22.75741323019365,17.760247697313833,112.49999999999983,False
2.0,-18.0,3839.999999999971,43.817804600413126,-17.99999999999997,48.81873113685009,2.4186989474502725,10.168411470186635,25.0,-21.317781907130144,16.321069218109773,104.99999999999983,False
2.0,-17.0,3277.499999999989,40.481477245772474,-16.999999999999986,48.766623354915396,2.4122873553088913,11.093930844907414,25.0,-19.87875450658663,14.88261253127799,97.49999999999986,False
2.0,-16.0,2759.9999999999927,37.14835124201337,-15.999999999999972,48.707326838527344,2.4047793630967904,12.017280240420757,25.0,-18.44048986757427,13.445081235801993,89.99999999999986,False
2.0,-15.0,2287.4999999999727,33.81937314617151,-14.999999999999972,48.63906576943311,2.395867948450436,12.937812500000012,25.0,-17.003207842894806,12.008763398450347,82.49999999999987,False
2.0,-14.0,1859.9999999999945,30.495901363953767,-13.999999999999957,48.559395188518124,2.3851199167288732,13.85459533607684,25.0,-15.567221679843753,10.574080390406179,74.99999999999986,False
2.0,-13.0,1477.5000000000055,27.179955849853815,-12.999999999999986,48.46484375,2.3719038616232297,14.766235351562518,25.0,-14.132993446023464,9.141674001579029,67.49999999999989,False
2.0,-12.0,1140.000000000009,23.874672772626738,-11.999999999999986,48.35029674082997,2.355262609114621,15.670553935860069,25.0,-12.701234177824663,7.712572046305399,59.999999999999915,False
2.0,-11.0,847.4999999999854,20.585188850238726,-10.999999999999993,48.20786804585775,2.3336731716196812,16.56394675925926,25.0,-11.273097295302842,6.288529394068278,52.49999999999993,False
2.0,-10.0,599.9999999999959,17.320508075688714,-9.999999999999986,48.02469135802469,2.304559548278159,17.44000000000001,25.0,-9.850584882424238,4.872807104646447,44.999999999999936,False
2.0,-9.0,397.4999999999977,14.097872179871644,-8.999999999999986,47.778227948361774,2.263204161477959,18.286132812500007,25.0,-8.437499999999986,3.472222222222214,37.499999999999936,False
2.0,-8.0,239.9999999999975,10.954451150103266,-8.0,47.425389162514726,2.199989706672462,19.074074074074073,25.0,-7.042039303074595,2.1037676981363265,29.999999999999964,False
2.0,-7.0,127.49999999999898,7.984359711335624,-6.999999999999993,46.87687838330896,2.092125950538794,19.7265625,25.0,-5.685567123682762,0.8244560125716547,22.499999999999968,False
2.0,-6.0,60.0000000000004,5.477225575051679,-6.0,46.0,1.8728093679747104,20.0,25.0,-4.444444444444441,0.0,14.999999999999984,False
