t_s,position_m,speed_mps,accel_mps2,jerk_mps3,lead_position_m,gap_m,required_gap_m,margin_m
0.0,0.0,25.0,0.0,-3.8399999999999945,50.0,50.0,47.5,2.5
0.01,0.249999361518944,24.999808607471998,-0.03821781119999995,-3.8035833599999944,50.2,49.95000063848106,47.49971291120799,2.4502877272730643
0.02,0.499994904286208,24.999236855552,-0.07607208959999989,-3.7672934399999947,50.4,49.90000509571379,47.498855283328,2.401149812385789
0.03,0.749982842863392,24.998288373232,-0.11356410239999985,-3.7311302399999944,50.6,49.85001715713661,47.497432559848,2.3525845972886117
0.04,0.999959428038656,24.996966776832,-0.15069511679999978,-3.695093759999995,50.8,49.80004057196134,47.495450165248,2.304590406713338
0.05,1.2499209467,24.99527567,-0.18746639999999976,-3.659183999999995,51.0,49.7500790533,47.492913505000004,2.2571655482999944
0.06,1.499863721708544,24.993218643712,-0.22387921919999967,-3.623400959999995,51.2,49.70013627829146,47.489827965568004,2.2103083127234555
0.07,1.7497841117718083,24.990799276272,-0.2599348415999997,-3.587744639999995,51.4,49.65021588822819,47.486198914408,2.164016973820189
0.08,1.999678511316992,24.988021133312,-0.2956345343999996,-3.552215039999995,51.6,49.60032148868301,47.482031699968,2.1182897887150105
0.09,2.249543350364256,24.984887767792,-0.3309795647999995,-3.516812159999995,51.8,49.55045664963574,47.477331651688,2.073124997947744
0.1,2.4993750944000004,24.98140272,-0.36597119999999955,-3.481535999999995,52.0,49.5006249056,47.472104079999994,2.0285208256000047
0.11,2.749170244250144,24.977569517552002,-0.4006107071999994,-3.446386559999995,52.2,49.45082975574986,47.466354276328005,1.984475479421853
0.12,2.998925335953408,24.973391675392,-0.4348993535999994,-3.4113638399999955,52.4,49.40107466404659,47.460087513088,1.9409871509585912
0.13,3.2486369406345923,24.968872695792,-0.4688384063999994,-3.3764678399999952,52.6,49.35136305936541,47.453309043688,1.8980540156774097
0.14,3.498301664377857,24.964016068352002,-0.5024291327999993,-3.3416985599999953,52.8,49.30169833562214,47.446024102528,1.8556742330941418
0.15,3.7479161481,24.95882527,-0.5356727999999993,-3.3070559999999953,53.0,49.2520838519,47.438237904999994,1.8138459469000026
0.16,3.997477067423744,24.953303764992,-0.5685706751999992,-3.2725401599999953,53.2,49.20252293257626,47.429955647488,1.7725672850882574
0.17,4.246981132551008,24.947455004912,-0.6011240255999991,-3.238151039999995,53.4,49.15301886744899,47.421182507368,1.7318363600809903
0.18,4.496425088136192,24.941282428672,-0.6333341183999991,-3.2038886399999957,53.6,49.10357491186381,47.411923643008,1.6916512688558072
0.19,4.745805713159456,24.934789462512,-0.665202220799999,-3.169752959999996,53.8,49.05419428684054,47.402184193768,1.6520100930725405
0.2,4.9951198208,24.92797952,-0.6967295999999991,-3.1357439999999954,54.0,49.0048801792,47.39196928,1.6129108992000027
0.21,5.244364258309344,24.920856002032,-0.7279175231999989,-3.101861759999996,54.2,48.95563574169066,47.381284003048,1.5743517386426547
0.22,5.493535906884608,24.913422296832,-0.7587672575999989,-3.068106239999996,54.4,48.90646409311539,47.370133445248,1.5363306478673877
0.23,5.742631681541792,24.905681779951998,-0.7892800703999988,-3.034477439999996,54.6,48.85736831845821,47.35852266992799,1.4988456485302137
0.24,5.991648530989056,24.897637814272,-0.8194572287999989,-3.000975359999996,54.8,48.808351469010944,47.346456721407996,1.4618947476029476
0.25,6.2405834375,24.88929375,-0.849299999999999,-2.967599999999996,55.0,48.7594165625,47.333940625,1.4254759375000035
0.26,6.4894334167869445,24.880652924672,-0.8788096511999989,-2.934351359999996,55.2,48.71056658321306,47.320979387007995,1.3895871962050634
0.27,6.738195517874209,24.871718663152002,-0.9079874495999988,-2.901229439999996,55.4,48.66180448212579,47.30757799472801,1.3542264873977814
0.28,6.986866822971393,24.862494277632003,-0.9368346623999989,-2.868234239999996,55.6,48.61313317702861,47.293741416448,1.3193917605806078
0.29,7.235444447346656,24.852983067632,-0.9653525567999987,-2.835365759999996,55.8,48.56455555265334,47.279474601448,1.2850809512053374
0.3,7.4839255392,24.843188320000003,-0.9935423999999986,-2.8026239999999962,56.0,48.5160744608,47.26478248000001,1.2512919807999907
0.31,7.732307279536545,24.833113308912,-1.0214054591999986,-2.7700089599999966,56.2,48.46769272046346,47.249669963368,1.2180227570954614
0.32,7.980586882039808,24.822761295872002,-1.0489430015999985,-2.737520639999996,56.4,48.41941311796019,47.234141943808005,1.1852711741521844
0.33,8.228761592944991,24.812135529712002,-1.0761562943999985,-2.7051590399999963,56.6,48.37123840705501,47.218203294568,1.1530351124870108
0.34,8.476828690912257,24.801239246592,-1.1030466047999985,-2.6729241599999964,56.8,48.32317130908774,47.201858869888,1.121312439199741
0.35000000000000003,8.724785486900002,24.79007567,-1.1296151999999984,-2.640815999999996,57.0,48.275214513099996,47.185113505000004,1.0901010080999924
0.36,8.972629324038143,24.778648010752,-1.1558633471999984,-2.6088345599999965,57.2,48.22737067596186,47.167972016128004,1.0593986598338532
0.37,9.220357577501408,24.766959466992,-1.1817923135999984,-2.5769798399999964,57.4,48.17964242249859,47.150439200487995,1.0292032220105938
0.38,9.467967654382592,24.755013224192002,-1.2074033663999983,-2.545251839999996,57.6,48.13203234561741,47.132519836288004,0.9995125093294064
0.39,9.715456993565857,24.742812455152,-1.2326977727999984,-2.5136505599999963,57.8,48.08454300643414,47.114218682727994,0.9703243237061443
0.4,9.9628230656,24.73036032,-1.2576767999999983,-2.482175999999997,58.0,48.0371769344,47.09554048,0.9416364544000047
0.41000000000000003,10.210063372571746,24.717659966192,-1.2823417151999983,-2.4508281599999964,58.2,47.98993662742826,47.076489949287996,0.9134466781402608
0.42,10.457175447979006,24.704714528512,-1.306693785599998,-2.419607039999997,58.4,47.942824552020994,47.057071792768,0.8857527592529948
0.43,10.704156856604191,24.691527129072,-1.3307342783999982,-2.3885126399999974,58.6,47.89584314339581,47.037290693608,0.8585524497878083
0.44,10.951005194387456,24.678100877311998,-1.3544644607999983,-2.357544959999997,58.8,47.84899480561254,47.01715131596799,0.8318434896445481
0.45,11.1977180883,24.66443887,-1.377885599999998,-2.3267039999999968,59.0,47.8022819117,46.996658305000004,0.8056236066999958
0.46,11.444293196217343,24.650544191232,-1.400998963199998,-2.295989759999997,59.2,47.75570680378266,46.975816286848,0.7798905169346568
0.47000000000000003,11.690728206792608,24.636419912432,-1.4238058175999981,-2.265402239999997,59.4,47.70927179320739,46.954629868648,0.7546419245593938
0.48,11.937020839329792,24.622069092352,-1.446307430399998,-2.234941439999997,59.6,47.66297916067021,46.933103638527996,0.7298755221422155
0.49,12.183168843657057,24.607494777072,-1.4685050687999979,-2.204607359999997,59.8,47.61683115634294,46.911242165608,0.7055889907349382
0.5,12.429170000000001,24.5927,-1.4903999999999982,-2.174399999999997,60.0,47.57083,46.88905,0.6817800000000034
