T_s,delta_m,jerk_integral,rms_jerk_mps3,target_error_m,min_gap_m,min_margin_m,min_speed_mps,max_speed_mps,min_accel_mps2,max_accel_mps2,max_abs_jerk_mps3,feasible,cost,filtered,parameter,value
3.75,0.0,6.068148148148147,1.2720742271998802,0.0,40.0,-2.155289899951189,20.0,25.0,-2.052800957118669,0.0,2.844444444444443,False,4.356814814814815,False,k_j,0.1
3.0,-3.0,11.851851851851851,1.987615979999813,-3.0,43.0,0.3743935211260614,20.0,25.0,-2.566001196398336,1.7763568394002505e-15,4.444444444444442,True,13.185185185185185,True,k_j,0.1
4.25,0.0,4.110836513817928,0.9834915608738596,0.0,40.0,-1.7153247507144531,20.0,25.0,-1.8013617489628184,1.7763568394002505e-15,2.149399552208426,False,8.360836513817928,False,k_j,1.0
5.0,-3.0,9.369599999999947,1.3689119767172722,-2.9999999999999716,42.52281494270008,0.03295861608952544,19.614575507137502,25.0,-2.3806636646820496,0.42657734695936944,3.8399999999999945,True,23.36959999999995,True,k_j,1.0
12.0,1.0,1.2181712962962878,0.31861304852651173,1.0000000000000853,34.967114138830574,-6.263123978418815,18.948985821548334,25.0,-1.2121289626310376,0.3880292396393497,0.8680555555555542,False,25.181712962962877,False,k_j,10.0
5.0,-3.0,9.369599999999947,1.3689119767172722,-2.9999999999999716,42.52281494270008,0.03295861608952544,19.614575507137502,25.0,-2.3806636646820496,0.42657734695936944,3.8399999999999945,True,107.69599999999947,True,k_j,10.0
12.0,4.0,0.9143518518518454,0.2760362071437739,4.000000000000057,33.624999999999986,-7.396608684427113,19.313354492187504,25.0,-1.0972865602407205,0.276974060240721,0.7638888888888877,False,119.43518518518454,False,k_j,100.0
5.0,-3.0,9.369599999999947,1.3689119767172722,-2.9999999999999716,42.52281494270008,0.03295861608952544,19.614575507137502,25.0,-2.3806636646820496,0.42657734695936944,3.8399999999999945,True,950.9599999999947,True,k_j,100.0
12.0,0.0,1.3310185185184933,0.33304385578560236,5.684341886080802e-14,35.35369996746694,-5.940768456583715,18.820937500000007,25.0,-1.2507290604714967,0.42572906047149606,0.9027777777777766,False,2.5310185185184935,False,k_t,0.1
5.0,-3.0,9.369599999999947,1.3689119767172722,-2.9999999999999716,42.52281494270008,0.03295861608952544,19.614575507137502,25.0,-2.3806636646820496,0.42657734695936944,3.8399999999999945,True,18.86959999999995,True,k_t,0.1
4.25,0.0,4.110836513817928,0.9834915608738596,0.0,40.0,-1.7153247507144531,20.0,25.0,-1.8013617489628184,1.7763568394002505e-15,2.149399552208426,False,8.360836513817928,False,k_t,1.0
5.0,-3.0,9.369599999999947,1.3689119767172722,-2.9999999999999716,42.52281494270008,0.03295861608952544,19.614575507137502,25.0,-2.3806636646820496,0.42657734695936944,3.8399999999999945,True,23.36959999999995,True,k_t,1.0
3.5,-1.0,7.082763134408284,1.4225493347616942,-1.0,41.0,-1.2515214095163332,20.0,25.0,-2.153681012432083,8.881784197001252e-16,2.798833819241982,False,43.08276313440828,False,k_t,10.0
3.0,-3.0,11.851851851851851,1.987615979999813,-3.0,43.0,0.3743935211260614,20.0,25.0,-2.566001196398336,1.7763568394002505e-15,4.444444444444442,True,50.85185185185185,True,k_t,10.0
2.0,-5.0,37.5,4.330127018922194,-5.0,45.0,1.3085937499999998,20.0,25.0,-3.75,0.0,7.5,False,262.5,False,k_t,100.0
2.75,-3.0,14.496774313726709,2.2959865626568075,-3.0,43.0,0.15153898517633868,20.0,25.0,-2.7328845175729195,0.0,4.327573253193087,True,298.4967743137267,True,k_t,100.0
5.0,2.0,2.4575999999999976,0.7010848736066123,2.0,37.99999999999999,-3.3764949156017474,20.0,25.0,-1.5147127426581575,0.0,1.4399999999999995,False,7.857599999999998,False,k_s,0.1
5.0,-3.0,9.369599999999947,1.3689119767172722,-2.9999999999999716,42.52281494270008,0.03295861608952544,19.614575507137502,25.0,-2.3806636646820496,0.42657734695936944,3.8399999999999945,True,15.269599999999947,True,k_s,0.1
4.25,0.0,4.110836513817928,0.9834915608738596,0.0,40.0,-1.7153247507144531,20.0,25.0,-1.8013617489628184,1.7763568394002505e-15,2.149399552208426,False,8.360836513817928,False,k_s,1.0
5.0,-3.0,9.369599999999947,1.3689119767172722,-2.9999999999999716,42.52281494270008,0.03295861608952544,19.614575507137502,25.0,-2.3806636646820496,0.42657734695936944,3.8399999999999945,True,23.36959999999995,True,k_s,1.0
4.25,0.0,4.110836513817928,0.9834915608738596,0.0,40.0,-1.7153247507144531,20.0,25.0,-1.8013617489628184,1.7763568394002505e-15,2.149399552208426,False,8.360836513817928,False,k_s,10.0
5.0,-3.0,9.369599999999947,1.3689119767172722,-2.9999999999999716,42.52281494270008,0.03295861608952544,19.614575507137502,25.0,-2.3806636646820496,0.42657734695936944,3.8399999999999945,True,104.36959999999995,True,k_s,10.0
4.25,0.0,4.110836513817928,0.9834915608738596,0.0,40.0,-1.7153247507144531,20.0,25.0,-1.8013617489628184,1.7763568394002505e-15,2.149399552208426,False,8.360836513817928,False,k_s,100.0
5.0,-3.0,9.369599999999947,1.3689119767172722,-2.9999999999999716,42.52281494270008,0.03295861608952544,19.614575507137502,25.0,-2.3806636646820496,0.42657734695936944,3.8399999999999945,True,914.3696,True,k_s,100.0
