t_s,x_m,y_m,heading_rad,yaw_rate_radps,signed_error_m,distance_error_m,heading_error_rad,curvature_command_pm,lateral_accel_mps2
0.0,0.0,0.0,0.0,0.0,3.152737647920627e-06,3.1527376479212332e-06,6.200881182970891e-07,1.2717036130733843e-06,0.0
0.01,0.19999999999999998,1.687126793344023e-10,2.526535958213328e-09,5.036283733129272e-07,3.2765865589007025e-06,3.276586558900703e-06,6.175615823388756e-07,1.2678890302667584e-06,1.0072567466258543e-05
0.02,0.39999999999999997,1.3425141207624092e-09,1.0031748326897582e-08,9.957735606822618e-07,3.404003893187679e-06,3.404003893187679e-06,6.405464504305893e-07,1.3151329397930554e-06,1.9915471213645236e-05
0.03,0.5999999999999999,4.512506352217539e-09,2.2503385556698746e-08,1.4968834621398815e-06,3.534148469862539e-06,3.534148469862539e-06,6.600641047497912e-07,1.3554696941982078e-06,2.993766924279763e-05
0.04,0.7999999999999998,1.0679963244828604e-08,4.001648158836685e-08,2.0040451477558284e-06,3.666172621981328e-06,3.6661726219813286e-06,6.761132277220752e-07,1.3888881816639639e-06,4.008090295511657e-05
0.05,0.9999999999999996,2.0858270376211772e-08,6.26172083478821e-08,2.514398966902384e-06,3.799220256712023e-06,3.7992202567120233e-06,6.5351250096256e-07,1.3450172044922403e-06,5.028797933804768e-05
0.06,1.1999999999999988,3.6057871115339404e-08,9.018361651893527e-08,2.997273032357173e-06,3.934289095642014e-06,3.934289095642014e-06,6.611585818271954e-07,1.361660054610811e-06,5.994546064714346e-05
0.07,1.399999999999998,5.7252632440947345e-08,1.2256386314954657e-07,3.477176560940275e-06,4.068904359043006e-06,4.068904359043007e-06,6.657222355798971e-07,1.3721335147502243e-06,6.95435312188055e-05
0.08,1.5999999999999959,8.540155274023278e-08,1.5971628102151213e-07,3.9517251310964334e-06,4.202288703485544e-06,4.202288703485544e-06,6.673302676686682e-07,1.3766834223721919e-06,7.903450262192867e-05
0.09,1.7999999999999925,1.2145296096629652e-07,2.0157608397504468e-07,4.418678894138245e-06,4.333679920746462e-06,4.333679920746462e-06,6.661367796972249e-07,1.3756103586019144e-06,8.837357788276489e-05
0.1,1.9999999999999876,1.6634004372635343e-07,2.4805690703712616e-07,4.875961391454848e-06,4.46233541072085e-06,4.4623354107208495e-06,6.196559566351433e-07,1.283935267377495e-06,9.751922782909696e-05
