t_s,x_m,y_m,heading_rad,yaw_rate_radps,signed_error_m,distance_error_m,heading_error_rad,curvature_command_pm,lateral_accel_mps2
0.0,0.0,0.0,0.0,0.0,3.152737647920627e-06,3.1527376479212332e-06,6.200881182970891e-07,3.1319679679646513e-06,0.0
0.01,0.19999999999999998,4.1550775041664374e-10,6.222385160887639e-09,1.2403424168640853e-06,3.2763397638296203e-06,3.2763397638296203e-06,6.138657331362014e-07,3.102092063319303e-06,2.480684833728171e-05
0.02,0.3999999999999999,3.303643808493419e-09,2.4665627553577176e-08,2.4442927574064275e-06,3.4020427634999485e-06,3.4020427634999485e-06,6.259125712039097e-07,3.163583283654548e-06,4.888585514812855e-05
0.03,0.5999999999999998,1.1084550316955985e-08,5.515094359517582e-08,3.6487554387850492e-06,3.527576425897802e-06,3.527576425897802e-06,6.274165467113141e-07,3.1723584978155487e-06,7.297510877570098e-05
0.04,0.7999999999999992,2.6160157291075773e-08,9.757867315314896e-08,4.832843378795323e-06,3.6506924279350848e-06,3.650692427935085e-06,6.18551036157293e-07,3.1292621050658156e-06,9.665686757590645e-05
0.05,0.9999999999999977,5.0891826212026886e-08,1.5164403772220168e-07,5.976417491683544e-06,3.7691867008762152e-06,3.7691867008762152e-06,5.644856715882404e-07,2.860120224949964e-06,0.00011952834983367087
0.06,1.1999999999999942,8.753685029529907e-08,2.164968314350538e-07,6.990759994237824e-06,3.882810116462065e-06,3.882810116462065e-06,5.348453669110769e-07,2.713054935720005e-06,0.00013981519988475648
0.07,1.399999999999988,1.3814053649005756e-07,2.911001092580973e-07,7.92677541287974e-06,3.988016454993913e-06,3.988016454993913e-06,4.971859894713464e-07,2.525810111906671e-06,0.00015853550825759482
0.08,1.5999999999999768,2.0456984361916298e-07,3.745985550829593e-07,8.770102565992684e-06,4.083120412606638e-06,4.083120412606637e-06,4.52447993607221e-07,2.3030711721621713e-06,0.00017540205131985368
0.09,1.799999999999959,2.8850702296356407e-07,4.6600397625442926e-07,9.508520192514612e-06,4.166625858749229e-06,4.166625858749229e-06,4.017088874178403e-07,2.050210695676694e-06,0.00019017040385029224
0.1,1.9999999999999325,3.914252598419761e-07,5.642178554081758e-07,1.0132176712477798e-05,4.237250194605264e-06,4.237250194605264e-06,3.034950082640938e-07,1.5598475432665215e-06,0.00020264353424955596
0.11,2.1999999999998945,5.145407373046284e-07,6.676321269813843e-07,1.054928718663799e-05,4.296210468862523e-06,4.296210468862523e-06,2.42746631619036e-07,1.2566952627838053e-06,0.0002109857437327598
0.12,2.3999999999998423,6.587131945207219e-07,7.745737861913488e-07,1.0838081973331582e-05,4.340828332183933e-06,4.340828332183934e-06,1.8056876452651833e-07,9.46252105954431e-07,0.00021676163946663166
0.13,2.5999999999997736,8.245196772346045e-07,8.837579375890104e-07,1.0998214512918032e-05,4.370746844203508e-06,4.370746844203508e-06,1.1834945902997697e-07,6.354547635919199e-07,0.00021996429025836065
0.14,2.7999999999996854,1.0122808281076646e-06,9.939100359098462e-07,1.103209222171313e-05,4.3858708788208345e-06,4.3858708788208345e-06,5.7471484046195676e-08,3.3121612901918674e-07,0.00022064184443426258
0.15,2.999999999999575,1.2220656893060206e-06,1.103793104983373e-06,1.094481253517375e-05,4.3863623216136475e-06,4.3863623216136475e-06,-5.241158502733111e-08,-2.1819430192051905e-07,0.000218896250703475
0.16,3.199999999999441,1.4536675751372792e-06,1.211720515247806e-06,1.0641679993876676e-05,4.375376129362209e-06,4.375376129362209e-06,-1.0864204734711163e-07,-4.994564754419361e-07,0.0002128335998775335
0.17,3.3999999999992814,1.7065165071442818e-06,1.3160879193399381e-06,1.0233162595515636e-05,4.351278726590145e-06,4.351278726590145e-06,-1.587705470714704e-07,-7.503399480914506e-07,0.0002046632519103127
0.18,3.599999999999094,1.9797998285293692e-06,1.415912291647193e-06,9.733377871664546e-06,4.315149464428387e-06,4.315149464428387e-06,-2.016890716781218e-07,-9.652938637463251e-07,0.00019466755743329092
0.19,3.79999999999888,2.272523037671229e-06,1.5103614075550934e-06,9.158362094350215e-06,4.268256095542258e-06,4.268256095542258e-06,-2.3643426233799215e-07,-1.1394887507345382e-06,0.0001831672418870043
0.2,3.999999999998638,2.5835417586336492e-06,1.598771407051974e-06,8.525746595062639e-06,4.212022803623133e-06,4.212022803623133e-06,-3.248442618348727e-07,-1.5821010811381323e-06,0.00017051493190125278
0.21,4.199999999998369,2.911555340443114e-06,1.680038740800402e-06,7.730371495110531e-06,4.151322567560522e-06,4.151322567560522e-06,-3.434720120632554e-07,-1.6758468346406718e-06,0.00015460742990221064
0.22,4.399999999998074,3.255019852953823e-06,1.7532450856471463e-06,6.913620071560773e-06,4.085029338945689e-06,4.08502933894569e-06,-3.5095876924935014e-07,-1.7139435528572937e-06,0.00013827240143121546
0.23,4.599999999997755,3.6123092466301358e-06,1.8182893616023322e-06,6.097954098507483e-06,4.015092312091868e-06,4.0150923120918675e-06,-3.470520097678744e-07,-1.6951091257184534e-06,0.00012195908197014965
0.24,4.7999999999974134,3.9817997388093665e-06,1.8752954223500726e-06,5.305898326724622e-06,3.943466358878891e-06,3.943466358878891e-06,-3.317166985119312e-07,-1.619148828970867e-06,0.00010611796653449244
0.25,4.999999999997052,4.361914718735667e-06,1.9246105184137256e-06,4.559608603008968e-06,3.872067123719991e-06,3.872067123719991e-06,-3.8103179457558426e-07,-1.8664383016407213e-06,9.119217206017935e-05
0.26,5.199999999996674,4.751118571469425e-06,1.966045552935408e-06,3.7301632133093137e-06,3.806758697930793e-06,3.8067586979307928e-06,-3.465684182079489e-07,-1.6947745040604365e-06,7.460326426618628e-05
0.27,5.399999999996281,5.147808261769369e-06,1.999609578089068e-06,2.985125361377818e-06,3.7459089870057514e-06,3.7459089870057514e-06,-3.0050209382532036e-07,-1.4650513792565443e-06,5.970250722755636e-05
0.28,5.599999999995876,5.5505011379337435e-06,2.02625363288965e-06,2.3458167000740363e-06,3.691392186255261e-06,3.6913921862552607e-06,-2.4360036300318143e-07,-1.1810878931533547e-06,4.6916334001480725e-05
0.29,5.79999999999546,5.957925429633528e-06,2.04713226759187e-06,1.831624273408257e-06,3.644881235589213e-06,3.644881235589213e-06,-1.7682525655142403e-07,-8.47677470401228e-07,3.6632485468165136e-05
0.3,5.999999999995038,6.369058899106268e-06,2.0635824537896844e-06,1.4596529128521362e-06,3.607809168324273e-06,3.607809168324273e-06,-1.9327544274923852e-07,-9.302991220629499e-07,2.9193058257042724e-05
0.31,6.199999999994609,6.783101940728913e-06,2.0761857295875795e-06,1.0623267124311655e-06,3.5862202657529363e-06,3.586220265752936e-06,-1.139150343240985e-07,-5.337129689629631e-07,2.124653424862331e-05
0.32,6.399999999994176,7.1993235606708185e-06,2.085643123371496e-06,8.299267372781466e-07,3.5769256166618145e-06,3.576925616661814e-06,-2.6886882777256666e-08,-9.866515771966519e-08,1.659853474556293e-05
0.33,6.599999999993739,7.617263517323811e-06,2.0936639272309385e-06,7.744190664713955e-07,3.5808598822737643e-06,3.5808598822737643e-06,6.632205484104301e-08,3.674188730279527e-07,1.5488381329427912e-05
0.34,6.799999999993299,8.03681432909351e-06,2.1020611530093264e-06,9.045921641258007e-07,3.59861662743457e-06,3.5986166274345703e-06,1.6413203942183396e-07,8.566463633835155e-07,1.8091843282516014e-05
0.35000000000000003,6.9999999999928555,8.458238799815377e-06,2.11271914336532e-06,1.2259347287672198e-06,3.6304307951986237e-06,3.6304307951986237e-06,1.5347404906584038e-07,8.036745532811882e-07,2.4518694575344395e-05
0.36,7.199999999992405,8.882107052007257e-06,2.126453397407641e-06,1.5199360419950516e-06,3.682087064496479e-06,3.682087064496479e-06,2.511692100513151e-07,1.2926669209015404e-06,3.039872083990103e-05
0.37,7.39999999999195,9.309079079099551e-06,2.144069956908286e-06,2.0017696913543786e-06,3.7481758180550496e-06,3.7481758180550492e-06,3.5046104495967473e-07,1.7897869829789242e-06,4.003539382708757e-05
0.38,7.599999999991486,9.740119006839685e-06,2.1674446341519066e-06,2.6709351300587077e-06,3.82830776756007e-06,3.82830776756007e-06,4.497431364570436e-07,2.286998759960819e-06,5.3418702601174156e-05
0.39,7.79999999999101,1.0176564560098905e-05,2.198432320329497e-06,3.5237592616878555e-06,3.921734157652293e-06,3.921734157652293e-06,5.474432349292218e-07,2.776433516222632e-06,7.047518523375712e-05
0.4,7.999999999990518,1.062011974933618e-05,2.238835907461647e-06,4.553525493912609e-06,4.0273540794663956e-06,4.027354079466395e-06,5.070396477970719e-07,2.5754717797800233e-06,9.107050987825218e-05
0.41000000000000003,8.199999999990006,1.107275193052571e-05,2.2890356059905744e-06,5.483314808766765e-06,4.150900078106197e-06,4.150900078106198e-06,5.918552931721072e-07,3.0007854666415975e-06,0.00010966629617533529
0.42,8.399999999989467,1.1536404098082517e-05,2.349285820375614e-06,6.563128566653319e-06,4.284674193105429e-06,4.284674193105429e-06,6.732590969678358e-07,3.409142226770233e-06,0.00013126257133306638
0.43,8.5999999999889,1.2013233134839767e-05,2.42103820322743e-06,7.783280691657781e-06,4.427216050936641e-06,4.427216050936641e-06,7.501258253544615e-07,3.794901287281674e-06,0.00015566561383315562
0.44,8.799999999988293,1.250567588398527e-05,2.5056373018685195e-06,9.132043009288273e-06,4.576802440992727e-06,4.576802440992727e-06,8.214533965098596e-07,4.153035006959226e-06,0.00018264086018576547
0.45,8.99999999998764,1.3016425780793336e-05,2.604301558331829e-06,1.0595928499145346e-05,4.731470683859767e-06,4.731470683859767e-06,7.227891400465502e-07,3.661260407071348e-06,0.00021191856998290691
0.46,9.199999999986932,1.3548297461846514e-05,2.7164822271986815e-06,1.1836071324240183e-05,4.897735848354528e-06,4.897735848354529e-06,7.742020005675678e-07,3.919987361321384e-06,0.00023672142648480365
0.47000000000000003,9.39999999998616,1.4103871517659928e-05,2.841455154126287e-06,1.3154120414913527e-05,5.0660442421200115e-06,5.0660442421200115e-06,8.208664338511836e-07,4.154992611677118e-06,0.00026308240829827056
0.48,9.599999999985313,1.4685780642253672e-05,2.979944534121845e-06,1.4539138699593251e-05,5.234607104314858e-06,5.2346071043148576e-06,8.624537458554626e-07,4.364614800320462e-06,0.000290782773991865
0.49,9.79999999998438,1.529679128372015e-05,3.132562977254112e-06,1.5979747733456902e-05,5.401522667606827e-06,5.401522667606826e-06,8.987662781402103e-07,4.547846617377119e-06,0.00031959495466913804
