t_s,x_m,y_m,heading_rad,yaw_rate_radps,signed_error_m,distance_error_m,heading_error_rad,curvature_command_pm,lateral_accel_mps2
0.0,0.0,0.0,0.0,0.0,3.152737647920627e-06,3.1527376479212332e-06,6.200881182970891e-07,4.392913884514805e-06,0.0
0.01,0.19999999999999998,5.827932420122974e-10,8.72754844482838e-09,1.7397104569162655e-06,3.2761724783380246e-06,3.2761724783380246e-06,6.113605698522606e-07,4.498893618042546e-06,3.479420913832531e-05
0.02,0.3999999999999999,4.6533265285236734e-09,3.488993789032156e-08,3.4869431252422972e-06,3.4006930807799193e-06,3.4006930807799193e-06,6.156882608671654e-07,4.63206960251425e-06,6.973886250484595e-05
0.03,0.5999999999999995,1.5709648409699722e-08,7.861567491746185e-08,5.252319492193716e-06,3.5229513278050588e-06,3.522951327805059e-06,6.039518153890281e-07,4.7308549585831155e-06,0.00010504638984387433
0.04,0.7999999999999984,3.7277889257259575e-08,1.4001606917015848e-07,7.021860687121569e-06,3.639574695968903e-06,3.639574695968903e-06,5.761136401402837e-07,4.79180197624947e-06,0.0001404372137424314
0.05,0.9999999999999952,7.289209783137051e-08,2.190571805198652e-07,8.780499254921944e-06,3.747186429256875e-06,3.747186429256875e-06,4.970725287905769e-07,4.741331486838029e-06,0.00017560998509843888
0.06,1.199999999999988,1.2605480585579435e-07,3.1540970885071547e-07,1.0484326792995454e-05,3.844292160901576e-06,3.844292160901576e-06,4.359324894954152e-07,4.716157139892406e-06,0.00020968653585990907
0.07,1.3999999999999744,2.0017720523176342e-07,4.2858124529987217e-07,1.2144446576054105e-05,3.925979786252216e-06,3.925979786252216e-06,3.5970485342957154e-07,4.64538949311136e-06,0.00024288893152108208
0.08,1.59999999999995,2.985736310449195e-07,5.580484723713173e-07,1.3743667919155758e-05,3.989116625180892e-06,3.989116625180892e-06,2.68998076318863e-07,4.527112777818618e-06,0.00027487335838311515
0.09,1.7999999999999101,4.2443642406965703e-07,7.031140672634638e-07,1.5264381840498912e-05,4.030696457643143e-06,4.030696457643144e-06,1.645987964088058e-07,4.359894050460755e-06,0.00030528763680997824
0.1,1.999999999999849,5.808007782406519e-07,8.629035196975427e-07,1.6688760555815057e-05,4.047874676206587e-06,4.047874676206587e-06,4.809343974726817e-09,4.057493364156041e-06,0.0003337752111163011
0.11,2.1999999999997586,7.704978347439045e-07,1.036194476727628e-06,1.79651759874173e-05,4.04025337142323e-06,4.040253371423231e-06,-1.2581571812720768e-07,3.7886219351688146e-06,0.00035930351974834603
0.12,2.399999999999631,9.960853609194817e-07,1.2215886173891286e-06,1.9109836480161825e-05,4.003456165785125e-06,4.003456165785125e-06,-2.6644606667126146e-07,3.470564032442602e-06,0.0003821967296032365
0.13,2.599999999999457,1.2598465871237116e-06,1.4176837599829841e-06,2.0105871807951156e-05,3.935419934314301e-06,3.935419934314302e-06,-4.1557636336399675e-07,3.1042672075863075e-06,0.00040211743615902314
0.14,2.7999999999992258,1.563767674761356e-06,1.622912578913552e-06,2.0937121053124545e-05,3.834384032166964e-06,3.834384032166964e-06,-5.715310589575101e-07,2.691321914251944e-06,0.0004187424210624909
0.15,2.999999999998926,1.9095054774013225e-06,1.835550904587558e-06,2.158837316747731e-05,3.6989225335180434e-06,3.6989225335180434e-06,-7.841693846315162e-07,2.130583764255011e-06,0.00043176746334954623
0.16,3.199999999998548,2.2983434860567797e-06,2.0535230210170223e-06,2.2004662440320387e-05,3.5307002184422385e-06,3.5307002184422385e-06,-9.504445531163278e-07,1.629811112209583e-06,0.00044009324880640773
0.17,3.3999999999980797,2.7311230100468653e-06,2.2746217756659433e-06,2.2214389375906376e-05,3.3266722236868565e-06,3.3266722236868565e-06,-1.1173044033974756e-06,1.0920634168919053e-06,0.00044428778751812756
0.18,3.5999999999975096,3.2082592795192867e-06,2.496728604824822e-06,2.220700108434538e-05,3.086690013437452e-06,3.0866900134374524e-06,-1.2825053848557509e-06,5.216792437259502e-07,0.0004441400216869076
0.19,3.7999999999968295,3.7297339045738134e-06,2.7176290837467122e-06,2.197387182399198e-05,2.8110452286382436e-06,2.8110452286382436e-06,-1.4437019385296112e-06,-7.635864842097892e-08,0.00043947743647983965
0.2,3.9999999999960303,4.2950777028826045e-06,2.93503328653377e-06,2.1508519959049474e-05,2.500486859372245e-06,2.500486859372245e-06,-1.6611061413166692e-06,-8.217254232610934e-07,0.0004301703991809895
0.21,4.1999999999951045,4.9033411913922535e-06,3.146349352157359e-06,2.075719765849786e-05,2.159536716608799e-06,2.1595367166087986e-06,-1.8097826234202126e-06,-1.4600285302316262e-06,0.0004151439531699572
0.22,4.39999999999405,5.553036872951601e-06,3.3489586905689727e-06,1.9767967569581983e-05,1.7870123189445254e-06,1.7870123189445254e-06,-1.9466723741711763e-06,-2.106332429397827e-06,0.00039535935139163966
0.23,4.599999999992862,6.242186011013101e-06,3.5404899614110902e-06,1.8542372056138617e-05,1.3852155477045502e-06,1.3852155477045502e-06,-2.0692526095766323e-06,-2.7532896714487143e-06,0.0003708474411227723
0.24,4.7999999999915435,6.968338107852142e-06,3.7186016921737367e-06,1.708483272603384e-05,9.56927989830613e-07,9.569279898306129e-07,-2.175022968335595e-06,-3.393117946840577e-06,0.0003416966545206768
0.25,4.999999999990099,7.728579795973063e-06,3.881011648571594e-06,1.5402765634501893e-05,5.054020464758722e-07,5.054020464758721e-07,-2.337432924733452e-06,-4.169463802991032e-06,0.0003080553126900379
0.26,5.199999999988535,8.519529570776582e-06,4.025225632801504e-06,1.3446552144845658e-05,3.834769861539626e-08,3.834769861539626e-08,-2.4057484980740447e-06,-4.773149297532694e-06,0.00026893104289691316
