t_s,x_m,y_m,heading_rad,yaw_rate_radps,signed_error_m,distance_error_m,heading_error_rad,curvature_command_pm,lateral_accel_mps2
0.0,0.0,0.0,0.0,0.0,3.152737647920627e-06,3.1527376479212332e-06,6.200881182970891e-07,3.415714356277508e-07,0.0
0.01,0.19999999999999998,4.531514379328161e-11,6.786113568761735e-10,1.3527135153734798e-07,3.2767099564362436e-06,3.2767099564362436e-06,6.194095069402128e-07,3.4247185303446886e-07,2.70542703074696e-06
0.02,0.39999999999999997,3.6084606590990606e-10,2.6982877132444515e-09,2.6822074003839895e-07,3.404985561242532e-06,3.4049855612425314e-06,6.478799110442425e-07,3.5798981113454657e-07,5.3644148007679795e-06
0.03,0.5999999999999999,1.214438465965457e-09,6.065081250156867e-09,4.046830774183927e-07,3.5374465377487898e-06,3.53744653774879e-06,6.76502409056333e-07,3.736256699056544e-07,8.093661548367855e-06
0.04,0.7999999999999999,2.879021067875832e-09,1.0814006728964203e-08,5.446354944230399e-07,3.6739735641582793e-06,3.6739735641582797e-06,7.053157025814779e-07,3.893975869323217e-07,1.0892709888460796e-05
0.05,0.9999999999999999,5.634505239178395e-09,1.6979888564508272e-08,6.880627655248804e-07,3.814444021849053e-06,3.814444021849053e-06,6.991498207459338e-07,3.8771935059145744e-07,1.376125531049761e-05
0.06,1.1999999999999997,9.765419001772079e-09,2.456246131597078e-08,8.279853602585383e-07,3.9605815477555745e-06,3.9605815477555745e-06,7.267797370301599e-07,4.029956839926357e-07,1.6559707205170766e-05
0.07,1.4,1.5553868416411418e-08,3.3560710571396924e-08,9.711871353447404e-07,4.11060312306753e-06,4.11060312306753e-06,7.547253881580466e-07,4.1846872530969864e-07,1.942374270689481e-05
0.08,1.5999999999999996,2.328627230892884e-08,4.400749319763992e-08,1.1176810602161338e-06,4.264403983916829e-06,4.264403983916829e-06,7.830390554925403e-07,4.3416356758543846e-07,2.2353621204322676e-05
0.09,1.7999999999999994,3.325563709093985e-08,5.593584432072382e-08,1.2674897850041414e-06,4.421877244621792e-06,4.421877244621791e-06,8.117770193515457e-07,4.501072821219908e-07,2.5349795700082826e-05
0.1,1.9999999999999991,4.576160229060975e-08,6.937907710145671e-08,1.420646232291472e-06,4.5829138521565576e-06,4.5829138521565576e-06,7.983337865708129e-07,4.44996031806972e-07,2.841292464582944e-05
0.11,2.1999999999999984,6.110767646340473e-08,8.4328505612735e-08,1.5687457879917041e-06,4.749643529703653e-06,4.749643529703654e-06,8.260502529876853e-07,4.6052156179087916e-07,3.137491575983408e-05
0.12,2.3999999999999972,7.959281322074732e-08,1.0077506305275422e-07,1.7200612978280172e-06,4.9199487134837914e-06,4.919948713483792e-06,8.543674876651129e-07,4.7638323096739437e-07,3.4401225956560345e-05
0.13,2.599999999999996,1.0151967756449225e-07,1.1875125731964978e-07,1.874662201681184e-06,5.09374684387348e-06,5.09374684387348e-06,8.833561392993375e-07,4.926155380884035e-07,3.749324403362368e-05
0.14,2.7999999999999945,1.2719750963221858e-07,1.382903523522588e-07,2.0326302268513274e-06,5.2709541972961166e-06,5.270954197296116e-06,9.130911676037831e-07,5.092551257748527e-07,4.065260453702655e-05
0.15,2.999999999999992,1.5694228839570284e-07,1.5942649404301848e-07,2.194059993779749e-06,5.451485722523815e-06,5.451485722523815e-06,8.919550259130234e-07,5.004923701817498e-07,4.388119987559498e-05
0.16,3.199999999999989,1.9107349192123818e-07,1.8214348824948632e-07,2.348822953439513e-06,5.6379702125780864e-06,5.6379702125780864e-06,9.209349796512082e-07,5.16847191951385e-07,4.6976459068790264e-05
0.17,3.3999999999999853,2.2990400039311582e-07,2.0642523108558618e-07,2.5069983445478675e-06,5.827891233341137e-06,5.827891233341137e-06,9.508921411828816e-07,5.337249829248522e-07,5.013996689095735e-05
0.18,3.59999999999998,2.7375022271349633e-07,2.3230654688658813e-07,2.668725706115804e-06,6.021199070244078e-06,6.021199070244078e-06,9.81916673082483e-07,5.511703272436822e-07,5.3374514122316084e-05
0.19,3.799999999999974,3.229356771798264e-07,2.5982373009333227e-07,2.8341594705997887e-06,6.217843456033472e-06,6.217843456033472e-06,1.0141034151237688e-06,5.692301421222192e-07,5.668318941199577e-05
0.2,3.9999999999999667,3.7779130061012524e-07,2.8901469734241133e-07,3.0034695929505183e-06,6.417773261646561e-06,6.417773261646561e-06,9.849124478746899e-07,5.566339565538105e-07,6.0069391859010366e-05
0.21,4.199999999999957,4.386516334281599e-07,3.198569218500687e-07,3.1644387265567275e-06,6.624226274575389e-06,6.624226274575389e-06,1.0167098068870778e-06,5.745971661892929e-07,6.328877453113455e-05
0.22,4.399999999999945,5.058426956385575e-07,3.523285356639761e-07,3.32933436540463e-06,6.834206496260875e-06,6.834206496260875e-06,1.04995778073382e-06,5.933209553295188e-07,6.658668730809259e-05
0.23,4.599999999999932,5.796943664655389e-07,3.864699248592627e-07,3.4983799691458645e-06,7.047707192256386e-06,7.047707192256385e-06,1.0847674269751947e-06,6.128607854101612e-07,6.996759938291728e-05
0.24,4.7999999999999154,6.60544831683604e-07,4.223237980969201e-07,3.6718165368346137e-06,7.264721266004558e-06,7.264721266004558e-06,1.1212549257412212e-06,6.332746755306562e-07,7.343633073669227e-05
0.25,4.999999999999896,7.487410658970793e-07,4.599353653569182e-07,3.84990327252688e-06,7.485240776558666e-06,7.485240776558665e-06,1.0836433584812232e-06,6.166740870061982e-07,7.69980654505376e-05
0.26,5.199999999999873,8.446343166448213e-07,4.992771284885632e-07,4.01788938106607e-06,7.713242952755455e-06,7.713242952755457e-06,1.120200006238896e-06,6.372324326470025e-07,8.03577876213214e-05
0.27,5.399999999999847,9.485655192267655e-07,5.403229094760943e-07,4.190690792149809e-06,7.945151729548353e-06,7.945151729548353e-06,1.1587845747876534e-06,6.588438046893102e-07,8.381381584299618e-05
0.28,5.599999999999815,1.0608804002766292e-06,5.831224750915059e-07,4.368629182794709e-06,8.181012923912264e-06,8.181012923912263e-06,1.1995307947949627e-06,6.81575526636604e-07,8.737258365589418e-05
0.29,5.799999999999777,1.1819349682573384e-06,6.277289106764844e-07,4.552046522279393e-06,8.420871696965121e-06,8.420871696965121e-06,1.2425781003639615e-06,7.054977671516319e-07,9.104093044558785e-05
0.3,5.999999999999734,1.3120961977100834e-06,6.74198826701836e-07,4.741305797089343e-06,8.664771869720397e-06,8.664771869720397e-06,1.1961081843386098e-06,6.847018108665089e-07,9.482611594178685e-05
0.31,6.199999999999686,1.4517366552926496e-06,7.225012190702414e-07,4.9185817366991355e-06,8.917585551188897e-06,8.917585551188897e-06,1.2397694761932396e-06,7.090605936085088e-07,9.837163473398271e-05
0.32,6.39999999999963,1.601216922956615e-06,7.726071552394567e-07,5.101994101804109e-06,9.175032254375382e-06,9.175032254375384e-06,1.286149085354783e-06,7.348248652211453e-07,0.00010203988203608217
