t_s,x_m,y_m,heading_rad,yaw_rate_radps,signed_error_m,distance_error_m,heading_error_rad,curvature_command_pm,lateral_accel_mps2
0.0,0.0,0.0,0.0,0.0,3.152737647920627e-06,3.1527376479212332e-06,6.200881182970891e-07,1.240179389331826e-06,0.0
0.01,0.19999999999999998,1.645304656513556e-10,2.4639057320985165e-09,4.911439442685334e-07,3.2765907411143857e-06,3.2765907411143857e-06,6.176242125649904e-07,1.235251701720722e-06,9.822878885370668e-06
0.02,0.39999999999999997,1.3090743606042268e-09,9.780672303371978e-09,9.706110918142754e-07,3.4040373329478373e-06,3.4040373329478373e-06,6.407975264541149e-07,1.2815984569455628e-06,1.941222183628551e-05
0.03,0.5999999999999999,4.3994069214719734e-09,2.193656032538652e-08,1.4589386985484713e-06,3.5342615692932843e-06,3.5342615692932843e-06,6.606309299811034e-07,1.3212653942237761e-06,2.9178773970969424e-05
0.04,0.7999999999999998,1.0411267934031065e-08,3.900602320457061e-08,1.9533059304796135e-06,3.666441317292126e-06,3.666441317292126e-06,6.771236861058715e-07,1.3542510386530602e-06,3.906611860959227e-05
0.05,0.9999999999999996,2.033248554721392e-08,6.1035583289446e-08,2.450947225771087e-06,3.7997460415410214e-06,3.7997460415410214e-06,6.550941260209961e-07,1.3101920517880338e-06,4.901894451542174e-05
0.06,1.1999999999999988,3.514811029314712e-08,8.790458884192851e-08,2.9212860353813352e-06,3.935198856464206e-06,3.935198856464206e-06,6.634376095042021e-07,1.3268791542072606e-06,5.8425720707626706e-05
0.07,1.399999999999998,5.5806968867337605e-08,1.1946341342357593e-07,3.388920047900945e-06,4.070350022616616e-06,4.070350022616616e-06,6.688226853058678e-07,1.3376494409617582e-06,6.77784009580189e-05
0.08,1.5999999999999959,8.324355325613681e-08,1.5567352261410046e-07,3.8515596059045994e-06,4.2044467029696386e-06,4.204446702969638e-06,6.713730260760799e-07,1.3427502565988627e-06,7.703119211809199e-05
0.09,1.7999999999999927,1.1838240690685091e-07,1.9647420427355473e-07,4.307058345225236e-06,4.336750474805906e-06,4.336750474805906e-06,6.712386593987148e-07,1.3424816555479044e-06,8.614116690450472e-05
0.1,1.999999999999988,1.6213383851939947e-07,2.4178409196111913e-07,4.753431232069269e-06,4.466541615927802e-06,4.466541615927802e-06,6.259287717111504e-07,1.2518620099639167e-06,9.506862464138539e-05
0.11,2.1999999999999806,2.1537863740984107e-07,2.913333302519178e-07,5.155077559473239e-06,4.595372568757265e-06,4.595372568757265e-06,6.190454283485027e-07,1.238095452069574e-06,0.00010310155118946477
0.12,2.3999999999999706,2.789304396685268e-07,3.4483178312995895e-07,5.5433188345449855e-06,4.720611087036077e-06,4.720611087036077e-06,6.103107675879082e-07,1.2206262557869034e-06,0.00011086637669089971
0.13,2.599999999999957,3.535652808640605e-07,4.021393755300283e-07,5.916954152059609e-06,4.841701240573999e-06,4.841701240573999e-06,5.999680210889591e-07,1.199940883879159e-06,0.00011833908304119219
0.14,2.7999999999999385,4.400300531501758e-07,4.6310510910037157e-07,6.274999038470586e-06,4.958121653778272e-06,4.958121653778272e-06,5.882764108556704e-07,1.1765577798329946e-06,0.00012549998076941173
0.15,2.999999999999914,5.390405398472191e-07,5.27569268557046e-07,6.6166938314904345e-06,5.069387471072427e-06,5.069387471072427e-06,5.238122513989959e-07,1.0476295721854628e-06,0.0001323338766298087
0.16,3.1999999999998825,6.512661821776073e-07,5.951602871544229e-07,6.900563623169866e-06,5.177777522321881e-06,5.177777522321881e-06,5.079181807462715e-07,1.0158415392700653e-06,0.00013801127246339733
0.17,3.399999999999843,7.772877978038297e-07,6.654986506451271e-07,7.166223511896484e-06,5.280507435930625e-06,5.280507435930625e-06,4.918187216233407e-07,9.836427237541173e-07,0.0001433244702379297
0.18,3.5999999999997936,9.176367120967955e-07,7.384032527952048e-07,7.413871397097974e-06,5.377312580861028e-06,5.377312580861028e-06,4.7581996717386634e-07,9.516453116603136e-07,0.00014827742794195947
0.19,3.7999999999997334,1.0728083069839986e-06,8.136961629566875e-07,7.643943701439135e-06,5.4679708262296025e-06,5.4679708262296025e-06,4.602309822604137e-07,9.204674324916536e-07,0.00015287887402878268
0.2,3.9999999999996607,1.2432628937962457e-06,8.912049994139692e-07,7.857113001521232e-06,5.552301668460753e-06,5.552301668460753e-06,3.8272214580313205e-07,7.654498439079326e-07,0.00015714226003042464
0.21,4.199999999999574,1.4294104375102485e-06,9.705163747338735e-07,8.004670188444596e-06,5.633467470493674e-06,5.633467470493674e-06,3.6605035400327303e-07,7.321063414740165e-07,0.00016009340376889192
0.22,4.399999999999472,1.6315624111078191e-06,1.0512224194361846e-06,8.136100635629582e-06,5.7084867807920575e-06,5.708486780792057e-06,3.5106389696161154e-07,7.021335024100039e-07,0.00016272201271259163
0.23,4.599999999999353,1.8499821758744123e-06,1.1331701647093604e-06,8.253058546047232e-06,5.777419382848035e-06,5.777419382848035e-06,3.380671871250973e-07,6.761401516695775e-07,0.00016506117092094464
0.24,4.799999999999215,2.084904223334043e-06,1.2162242290213903e-06,8.357406478091003e-06,5.8403618743547344e-06,5.8403618743547344e-06,3.2735449481675107e-07,6.547148299953765e-07,0.00016714812956182006
0.25,4.999999999999057,2.3365378969874873e-06,1.300268840677368e-06,8.451203186777198e-06,5.897443945468852e-06,5.8974439454688515e-06,2.433098831607735e-07,4.866256637654924e-07,0.00016902406373554396
0.26,5.199999999998877,2.6050513676665782e-06,1.3849081536183011e-06,8.476574826401529e-06,5.952825901734393e-06,5.952825901734393e-06,2.3456898110915806e-07,4.6914391504421786e-07,0.00016953149652803058
0.27,5.399999999998673,2.8905155850295905e-06,1.46976393104846e-06,8.494520837558898e-06,6.003201663746336e-06,6.003201663746337e-06,2.293435532152878e-07,4.5869310963223936e-07,0.00016989041675117796
0.28,5.5999999999984444,3.1929673983743816e-06,1.5547766229297921e-06,8.50797269764913e-06,6.048925925815455e-06,6.048925925815455e-06,2.2787664695667645e-07,4.557593428392787e-07,0.0001701594539529826
0.29,5.799999999998188,3.512434723511774e-06,1.6399166685368045e-06,8.519996343570816e-06,6.0903719417117905e-06,6.0903719417117905e-06,2.303903425036414e-07,4.607867753792245e-07,0.00017039992687141632
0.3,5.999999999997905,3.8489426686323345e-06,1.7251857443819352e-06,8.533772902032245e-06,6.12792539879916e-06,6.12792539879916e-06,1.4512126665851068e-07,2.9024866124242015e-07,0.0001706754580406449
0.31,6.199999999997592,4.2024954893727115e-06,1.810252403538325e-06,8.479739048216434e-06,6.166826717110022e-06,6.166826717110022e-06,1.5201829172515587e-07,3.0404275027702883e-07,0.00016959478096432868
0.32,6.39999999999725,4.573009796530898e-06,1.8948114968759702e-06,8.432237961651955e-06,6.203239380802499e-06,6.203239380802499e-06,1.6394474371826935e-07,3.278956906759195e-07,0.0001686447592330391
