t_s,x_m,y_m,heading_rad,yaw_rate_radps,signed_error_m,distance_error_m,heading_error_rad,curvature_command_pm,lateral_accel_mps2
0.0,0.0,0.0,0.0,0.0,3.152737647920627e-06,3.1527376479212332e-06,6.200881182970891e-07,7.333829991197898e-07,0.0
0.01,0.19999999999999998,9.729547788322546e-11,1.457036450451257e-09,2.904391267470134e-07,3.276657976102154e-06,3.276657976102154e-06,6.186310818466377e-07,7.620842786977145e-07,5.808782534940268e-06
0.02,0.39999999999999997,7.783184961536319e-10,5.846634702498805e-09,5.86493641722004e-07,3.404568088812288e-06,3.4045680888122883e-06,6.447315640549881e-07,7.915531243493615e-07,1.172987283444008e-05
0.03,0.5999999999999999,2.635261385048989e-09,1.3225915773578007e-08,8.883563293195901e-07,3.536025714829707e-06,3.536025714829707e-06,6.69341574532912e-07,8.218157264646286e-07,1.77671265863918e-05
0.04,0.7999999999999998,6.271935658477336e-09,2.365396140783189e-08,1.1962265286369338e-06,3.6705806495676786e-06,3.6705806495676786e-06,6.924757479026102e-07,8.528988780693207e-07,2.3924530572738674e-05
0.05,0.9999999999999998,1.2304170750531222e-08,3.719188016929112e-08,1.5103102423417438e-06,3.807774356337702e-06,3.8077743563377022e-06,6.78937829141151e-07,8.848299662286112e-07,3.0206204846834877e-05
0.06,1.1999999999999995,2.136022607764331e-08,5.3902874595840386e-08,1.8308202399800895e-06,3.948986740679706e-06,3.948986740679706e-06,6.974393237502903e-07,9.180665796712316e-07,3.661640479960179e-05
0.07,1.3999999999999992,3.408127362876933e-08,7.385316289178797e-08,2.1581462952566875e-06,4.092075717855178e-06,4.092075717855178e-06,7.144329358376557e-07,9.522497942310384e-07,4.316292590513375e-05
0.08,1.5999999999999983,5.112206860465969e-08,9.711210919306363e-08,2.4925283203465513e-06,4.236568187621107e-06,4.236568187621107e-06,7.299344394971167e-07,9.874116395115855e-07,4.985056640693103e-05
0.09,1.799999999999997,7.315148160326915e-08,1.237515165595526e-07,2.834214161418207e-06,4.381981400109475e-06,4.381981400109475e-06,7.43961347112717e-07,1.0235848686505243e-06,5.6684283228364144e-05
0.1,1.9999999999999951,1.0085299438190138e-07,1.5384570696436359e-07,3.1834597280687953e-06,4.527822460065284e-06,4.527822460065283e-06,7.13867156707906e-07,1.060802947853356e-06,6.366919456137591e-05
0.11,2.199999999999992,1.3492521174439505e-07,1.8747160254379612e-07,3.540529116051272e-06,4.675825994422688e-06,4.675825994422688e-06,7.229071560566242e-07,1.099620575723738e-06,7.081058232102545e-05
0.12,2.399999999999988,1.7608245885578144e-07,2.2470984219549355e-07,3.905900867037372e-06,4.823459067848792e-06,4.823459067848792e-06,7.304327085223737e-07,1.1396031417221324e-06,7.811801734074744e-05
0.13,2.599999999999982,2.250556063696342e-07,2.656449392418361e-07,4.2798719296335404e-06,4.970210915068385e-06,4.970210915068385e-06,7.364624573771513e-07,1.180789716141531e-06,8.559743859267081e-05
0.14,2.7999999999999736,2.8259272776617575e-07,3.1036442461563714e-07,4.6627488453425515e-06,5.115558979162222e-06,5.115558979162222e-06,7.410170953404047e-07,1.223220238979081e-06,9.325497690685103e-05
0.15,2.9999999999999623,3.4945971251900813e-07,3.589589435640501e-07,5.054847903037357e-06,5.2589682984005855e-06,5.2589682984005855e-06,6.924225763919916e-07,1.2669355072202652e-06,0.00010109695806074713
0.16,3.1999999999999478,4.2644089875438806e-07,4.1152235385660705e-07,5.45649528534035e-06,5.402602805745035e-06,5.402602805745035e-06,6.915561140440873e-07,1.3126078382140969e-06,0.00010912990570680699
0.17,3.3999999999999284,5.14339809365524e-07,4.681530784024571e-07,5.868276971534289e-06,5.543455424368853e-06,5.543455424368854e-06,6.891642938660107e-07,1.3597108875595073e-06,0.00011736553943068577
0.18,3.5999999999999033,6.139801640913837e-07,5.289542959883816e-07,6.2905588913862415e-06,5.680969128866349e-06,5.680969128866349e-06,6.852689239806895e-07,1.4082922202536166e-06,0.00012581117782772483
0.19,3.799999999999872,7.262066882410146e-07,5.940329028475553e-07,6.723718565769341e-06,5.8145724449724825e-06,5.814572444972482e-06,6.798942423695459e-07,1.4584004478217324e-06,0.00013447437131538682
0.2,3.9999999999998326,8.518858678358782e-07,6.634996294983562e-07,7.168145291596433e-06,5.943678694421021e-06,5.943678694421021e-06,6.10427515718745e-07,1.510085212893944e-06,0.00014336290583192866
0.21,4.1999999999997835,9.919067283016105e-07,7.37469159383501e-07,7.62424031698372e-06,6.070971179702202e-06,6.070971179702202e-06,5.990975693536456e-07,1.5641612947229792e-06,0.0001524848063396744
0.22,4.399999999999723,1.147181738432943e-06,8.160617673173195e-07,8.092719619005276e-06,6.192867453466808e-06,6.192867453466808e-06,5.862245490804766e-07,1.6199911732378632e-06,0.00016185439238010552
0.23,4.59999999999965,1.318648048637568e-06,8.994035501797299e-07,8.574032522575602e-06,6.30875351008474e-06,6.30875351008474e-06,5.71833801654728e-07,1.6776326681549485e-06,0.00017148065045151205
0.24,4.79999999999956,1.5072684827143035e-06,9.876251683377138e-07,9.068642353521611e-06,6.417997614974319e-06,6.417997614974319e-06,5.559535555004275e-07,1.7371448596998075e-06,0.00018137284707043223
0.25,4.999999999999454,1.714032464625773e-06,1.0808619867679333e-06,9.577026660541096e-06,6.519949377830438e-06,6.519949377830438e-06,4.627167370702081e-07,1.7985880699252554e-06,0.00019154053321082193
0.26,5.199999999999326,1.9399569737136144e-06,1.1792542183397644e-06,1.0099677425367537e-05,6.6179202956872125e-06,6.6179202956872125e-06,4.4022291638769476e-07,1.8629496324209345e-06,0.00020199354850735073
0.27,5.399999999999174,2.1860876515978523e-06,1.282948908436647e-06,1.0637467898142145e-05,6.70762959717791e-06,6.70762959717791e-06,4.161585758271009e-07,1.929457298707971e-06,0.0002127493579628429
0.28,5.599999999998996,2.4535003139811484e-06,1.3921002139458798e-06,1.1190948206606868e-05,6.788393010208497e-06,6.788393010208497e-06,3.9055305594058877e-07,1.998181273863343e-06,0.00022381896413213736
0.29,5.799999999998785,2.7433021637360568e-06,1.506867877863091e-06,1.1760685388317779e-05,6.8595045014872805e-06,6.8595045014872805e-06,3.634391331773549e-07,2.0691932824676583e-06,0.00023521370776635557
0.3,5.99999999999854,3.0566329251259296e-06,1.6274173997294658e-06,1.2347263657572092e-05,6.920235142305366e-06,6.9202351423053664e-06,2.4288961131098004e-07,2.142566546003958e-06,0.00024694527315144183
0.31,6.199999999998254,3.3946660123754086e-06,1.7539202086668202e-06,1.2951284658098967e-05,6.974656194107067e-06,6.974656194107067e-06,2.0835048659666075e-07,2.2194974014689923e-06,0.00025902569316197933
