iteration,total_cost,jerk_cost,time_cost,position_cost
0,19.30742200750457,18.07914611949067,0.8707025494004801,0.35757333861342094
1,3.1616326097405154,3.1137312023971067,0.04662118642158594,0.001280220921822992
2,0.25174870646653963,0.1901039457234967,0.041805111946408416,0.01983964879663451
3,0.110145441482801,0.024014215545979167,0.050768186846487984,0.03536303909033384
4,0.10155309225357509,0.006384256824127652,0.05520425336527952,0.03996458206416791
5,0.10091545322822881,0.006780403382624414,0.05468379388721747,0.03945125595838693
6,0.10088117262840932,0.007379823324195074,0.05436756539303567,0.03913378391117857
7,0.10088115412136145,0.007399954586740321,0.0543575431894492,0.039123656345171925
8,0.10088115279346728,0.007400834410143514,0.05435710210121347,0.039123216282110296
9,0.10088115228517638,0.007400787593600445,0.05435712426689069,0.03912324042468525
10,0.10088115224440677,0.007400768204332558,0.05435713383578061,0.0391232502042936
11,0.10088115224341315,0.00740076711653153,0.05435713437563732,0.03912325075124431
