iteration,total_cost,jerk_cost,time_cost,position_cost
0,44554.31748499971,39035.514938078864,3709.331088524269,1809.4714583965745
1,24594.70748310147,21667.373435310834,1996.7812305440502,930.5528172465857
2,3562.4613839521844,3523.9478124779853,35.93183986924166,2.581731604957614
3,3558.6194899772577,3520.7716215416326,35.36814513018212,2.4797233054427372
4,3471.0990383150074,3453.3454650575018,17.615841090431218,0.13773216707426025
5,3461.8866523403444,3444.344330740812,17.41336613167494,0.12895546785736667
6,1629.2086341881886,1579.2986514364643,40.039318743509725,9.870664008214522
7,1185.2720086412698,1148.554035814625,29.433949532365585,7.28402329427929
8,182.61643385562272,179.06342885959666,2.8914961803794514,0.661508815646605
9,49.608045254751275,48.80916520776339,0.6647142327011072,0.1341658142867746
10,0.10088169510433387,0.007354717024050274,0.05438006648255082,0.03914691159773278
11,0.10088111830196866,0.007402672830859239,0.05435609720034871,0.03912234827076072
