iteration,total_cost,jerk_cost,time_cost,position_cost
0,316351.05038270104,315995.7145352771,301.21241168090603,54.123435743060696
1,154120.91550060245,153948.12110190178,146.7964681356583,25.997930565007913
2,1190.9734562305869,1190.755516993682,0.1288158209233437,0.08912341598151159
3,1163.157961590392,1162.9283217349225,0.13179749981807803,0.09784235565151313
4,493.98634071306077,493.57217571169303,0.22639202908196926,0.18777297228575685
5,158.7754230954504,158.23760838544584,0.3089037573740075,0.22891095263056183
6,114.64296095168365,114.21235323841769,0.24423963885962582,0.18636807440633074
7,37.98332184446978,37.74684925562649,0.1315415308199389,0.10493105802334439
8,0.3688293219448804,0.25836106827369026,0.06300810815178651,0.047460145519403564
9,0.11173219718527744,0.0024248757232536084,0.06242764688094409,0.046879674581079736
10,0.10934220168204856,9.943480634888816e-05,0.06239662328033727,0.0468461435953624
